PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
998,1743,513,853,355,559,278,408,321,226,269,189,173,223,154,192,136,171
61,97,33,50,20,32,15,23,18,14,15,10,5,13,7,9,5,10
0,0,1715,1021,546,826,368,548,285,403,320,229,262,199,169,224,156,190
0,0,98,64,32,45,19,31,12,24,18,12,13,9,8,13,6,10
0,0,0,0,1670,1072,564,809,536,381,287,399,315,237,259,201,173,221
0,0,0,0,91,64,30,45,30,18,15,23,17,10,14,8,8,11
0,0,0,0,0,0,1616,1126,576,799,530,386,302,389,314,240,255,205
0,0,0,0,0,0,91,63,26,47,31,18,11,22,17,8,15,7
0,0,0,0,0,0,0,0,1608,1143,579,795,520,400,303,387,307,248
0,0,0,0,0,0,0,0,90,54,27,46,28,17,11,22,17,7
0,0,0,0,0,0,0,0,0,0,1582,1167,598,784,406,514,307,383
0,0,0,0,0,0,0,0,0,0,90,55,22,43,15,29,10,23
0,0,0,0,0,0,0,0,0,0,0,0,1570,1190,777,603,412,509
0,0,0,0,0,0,0,0,0,0,0,0,87,46,43,23,14,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1549,1211,766,614
0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,45,45,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532,1230
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,43
