PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
1336,1405,1294,1442,1263,1479,1238,1504,1211,1540,1184,1565,1168,1592,1147,1613,1124,1638
90,68,85,77,79,76,73,81,66,78,63,82,61,72,59,73,55,74
0,0,647,719,633,739,618,755,606,769,589,785,584,798,571,809,562,818
0,0,45,38,40,37,37,38,34,39,32,41,30,35,29,37,27,39
0,0,0,0,421,493,415,501,402,515,393,523,390,530,381,539,376,545
0,0,0,0,25,27,23,27,22,26,19,30,21,24,21,23,18,25
0,0,0,0,0,0,376,310,390,298,393,293,400,291,284,406,689,1
0,0,0,0,0,0,21,17,20,16,22,16,17,16,14,19,33,0
0,0,0,0,0,0,0,0,237,310,238,311,236,316,229,325,223,332
0,0,0,0,0,0,0,0,13,19,13,17,13,14,13,12,12,12
0,0,0,0,0,0,0,0,0,0,192,266,193,268,190,270,188,272
0,0,0,0,0,0,0,0,0,0,9,16,10,12,10,12,9,13
0,0,0,0,0,0,0,0,0,0,0,0,227,169,224,169,157,237
0,0,0,0,0,0,0,0,0,0,0,0,9,9,11,10,7,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,205,139,207
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,6,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
