PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
609,1731,861,308,561,216,416,172,336,135,118,275,232,103,199,95,177,84
396,103,40,210,26,143,14,107,10,86,72,8,6,64,5,55,3,51
0,0,1717,621,327,844,560,222,583,3,329,140,1,392,230,102,95,201
0,0,88,412,210,38,20,144,123,0,8,90,0,80,5,68,53,5
0,0,0,0,648,1692,842,331,230,554,170,412,325,142,268,122,228,107
0,0,0,0,426,71,26,219,144,17,116,11,8,92,7,75,4,66
0,0,0,0,0,0,1682,663,341,833,547,234,402,181,464,5,268,120
0,0,0,0,0,0,55,436,221,23,14,150,12,114,98,0,6,78
0,0,0,0,0,0,0,0,1664,682,347,822,539,243,398,187,320,149
0,0,0,0,0,0,0,0,47,442,228,20,13,150,7,116,6,92
0,0,0,0,0,0,0,0,0,0,1641,700,809,361,532,247,400,188
0,0,0,0,0,0,0,0,0,0,39,454,22,225,12,153,7,113
0,0,0,0,0,0,0,0,0,0,0,0,1619,720,804,365,534,244
0,0,0,0,0,0,0,0,0,0,0,0,39,455,15,232,10,156
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602,734,800,370
0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,464,14,232
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594,743
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,465
