nMATCH,nETICHETTE_SBAGLIATE,RATE,nALGO,OVERLAP
76,596,0.12751677852349,1,5
76,596,0.12751677852349,1,5
76,596,0.12751677852349,1,5
76,596,0.12751677852349,1,5
76,596,0.12751677852349,1,5
76,596,0.12751677852349,1,5
76,596,0.12751677852349,1,5
76,596,0.12751677852349,1,5
76,596,0.12751677852349,1,5
96,2156,0.0445269016697588,2,5
96,2156,0.0445269016697588,2,5
96,2156,0.0445269016697588,2,5
96,2156,0.0445269016697588,2,5
96,2156,0.0445269016697588,2,5
96,2156,0.0445269016697588,2,5
96,2156,0.0445269016697588,2,5
96,2156,0.0445269016697588,2,5
96,2156,0.0445269016697588,2,5
71,587,0.120954003407155,3,5
71,587,0.120954003407155,3,5
71,587,0.120954003407155,3,5
71,587,0.120954003407155,3,5
71,587,0.120954003407155,3,5
71,587,0.120954003407155,3,5
71,587,0.120954003407155,3,5
71,587,0.120954003407155,3,5
71,587,0.120954003407155,3,5
0,488,0,4,5
0,488,0,4,5
0,488,0,4,5
0,488,0,4,5
0,488,0,4,5
0,488,0,4,5
0,488,0,4,5
0,488,0,4,5
0,488,0,4,5
30,542,0.0553505535055351,5,5
30,542,0.0553505535055351,5,5
30,542,0.0553505535055351,5,5
30,542,0.0553505535055351,5,5
30,542,0.0553505535055351,5,5
30,542,0.0553505535055351,5,5
30,542,0.0553505535055351,5,5
30,542,0.0553505535055351,5,5
30,542,0.0553505535055351,5,5
48,564,0.0851063829787234,6,5
48,564,0.0851063829787234,6,5
48,564,0.0851063829787234,6,5
48,564,0.0851063829787234,6,5
48,564,0.0851063829787234,6,5
48,564,0.0851063829787234,6,5
48,564,0.0851063829787234,6,5
48,564,0.0851063829787234,6,5
48,564,0.0851063829787234,6,5
49,328,0.149390243902439,1,10
49,328,0.149390243902439,1,10
49,328,0.149390243902439,1,10
49,328,0.149390243902439,1,10
49,328,0.149390243902439,1,10
49,328,0.149390243902439,1,10
49,328,0.149390243902439,1,10
49,328,0.149390243902439,1,10
33,1029,0.032069970845481,2,10
33,1029,0.032069970845481,2,10
33,1029,0.032069970845481,2,10
33,1029,0.032069970845481,2,10
33,1029,0.032069970845481,2,10
33,1029,0.032069970845481,2,10
33,1029,0.032069970845481,2,10
33,1029,0.032069970845481,2,10
38,1042,0.036468330134357,3,10
38,1042,0.036468330134357,3,10
38,1042,0.036468330134357,3,10
38,1042,0.036468330134357,3,10
38,1042,0.036468330134357,3,10
38,1042,0.036468330134357,3,10
38,1042,0.036468330134357,3,10
38,1042,0.036468330134357,3,10
0,239,0,4,10
0,239,0,4,10
0,239,0,4,10
0,239,0,4,10
0,239,0,4,10
0,239,0,4,10
0,239,0,4,10
0,239,0,4,10
20,273,0.0732600732600733,5,10
20,273,0.0732600732600733,5,10
20,273,0.0732600732600733,5,10
20,273,0.0732600732600733,5,10
20,273,0.0732600732600733,5,10
20,273,0.0732600732600733,5,10
20,273,0.0732600732600733,5,10
20,273,0.0732600732600733,5,10
58,1064,0.0545112781954887,6,10
58,1064,0.0545112781954887,6,10
58,1064,0.0545112781954887,6,10
58,1064,0.0545112781954887,6,10
58,1064,0.0545112781954887,6,10
58,1064,0.0545112781954887,6,10
58,1064,0.0545112781954887,6,10
58,1064,0.0545112781954887,6,10
32,214,0.149532710280374,1,15
32,214,0.149532710280374,1,15
32,214,0.149532710280374,1,15
32,214,0.149532710280374,1,15
32,214,0.149532710280374,1,15
32,214,0.149532710280374,1,15
32,214,0.149532710280374,1,15
23,694,0.0331412103746398,2,15
23,694,0.0331412103746398,2,15
23,694,0.0331412103746398,2,15
23,694,0.0331412103746398,2,15
23,694,0.0331412103746398,2,15
23,694,0.0331412103746398,2,15
23,694,0.0331412103746398,2,15
26,700,0.0371428571428571,3,15
26,700,0.0371428571428571,3,15
26,700,0.0371428571428571,3,15
26,700,0.0371428571428571,3,15
26,700,0.0371428571428571,3,15
26,700,0.0371428571428571,3,15
26,700,0.0371428571428571,3,15
0,161,0,4,15
0,161,0,4,15
0,161,0,4,15
0,161,0,4,15
0,161,0,4,15
0,161,0,4,15
0,161,0,4,15
13,185,0.0702702702702703,5,15
13,185,0.0702702702702703,5,15
13,185,0.0702702702702703,5,15
13,185,0.0702702702702703,5,15
13,185,0.0702702702702703,5,15
13,185,0.0702702702702703,5,15
13,185,0.0702702702702703,5,15
18,196,0.0918367346938776,6,15
18,196,0.0918367346938776,6,15
18,196,0.0918367346938776,6,15
18,196,0.0918367346938776,6,15
18,196,0.0918367346938776,6,15
18,196,0.0918367346938776,6,15
18,196,0.0918367346938776,6,15
27,162,0.166666666666667,1,20
27,162,0.166666666666667,1,20
27,162,0.166666666666667,1,20
27,162,0.166666666666667,1,20
27,162,0.166666666666667,1,20
27,162,0.166666666666667,1,20
26,161,0.161490683229814,2,20
26,161,0.161490683229814,2,20
26,161,0.161490683229814,2,20
26,161,0.161490683229814,2,20
26,161,0.161490683229814,2,20
26,161,0.161490683229814,2,20
17,531,0.032015065913371,3,20
17,531,0.032015065913371,3,20
17,531,0.032015065913371,3,20
17,531,0.032015065913371,3,20
17,531,0.032015065913371,3,20
17,531,0.032015065913371,3,20
0,122,0,4,20
0,122,0,4,20
0,122,0,4,20
0,122,0,4,20
0,122,0,4,20
0,122,0,4,20
15,143,0.104895104895105,5,20
15,143,0.104895104895105,5,20
15,143,0.104895104895105,5,20
15,143,0.104895104895105,5,20
15,143,0.104895104895105,5,20
15,143,0.104895104895105,5,20
22,530,0.0415094339622641,6,20
22,530,0.0415094339622641,6,20
22,530,0.0415094339622641,6,20
22,530,0.0415094339622641,6,20
22,530,0.0415094339622641,6,20
22,530,0.0415094339622641,6,20
20,128,0.15625,1,25
20,128,0.15625,1,25
20,128,0.15625,1,25
20,128,0.15625,1,25
20,128,0.15625,1,25
13,416,0.03125,2,25
13,416,0.03125,2,25
13,416,0.03125,2,25
13,416,0.03125,2,25
13,416,0.03125,2,25
20,126,0.158730158730159,3,25
20,126,0.158730158730159,3,25
20,126,0.158730158730159,3,25
20,126,0.158730158730159,3,25
20,126,0.158730158730159,3,25
0,96,0,4,25
0,96,0,4,25
0,96,0,4,25
0,96,0,4,25
0,96,0,4,25
15,118,0.127118644067797,5,25
15,118,0.127118644067797,5,25
15,118,0.127118644067797,5,25
15,118,0.127118644067797,5,25
15,118,0.127118644067797,5,25
16,120,0.133333333333333,6,25
16,120,0.133333333333333,6,25
16,120,0.133333333333333,6,25
16,120,0.133333333333333,6,25
16,120,0.133333333333333,6,25
18,106,0.169811320754717,1,30
18,106,0.169811320754717,1,30
18,106,0.169811320754717,1,30
18,106,0.169811320754717,1,30
18,106,0.169811320754717,2,30
18,106,0.169811320754717,2,30
18,106,0.169811320754717,2,30
18,106,0.169811320754717,2,30
11,353,0.0311614730878187,3,30
11,353,0.0311614730878187,3,30
11,353,0.0311614730878187,3,30
11,353,0.0311614730878187,3,30
0,78,0,4,30
0,78,0,4,30
0,78,0,4,30
0,78,0,4,30
13,101,0.128712871287129,5,30
13,101,0.128712871287129,5,30
13,101,0.128712871287129,5,30
13,101,0.128712871287129,5,30
13,355,0.0366197183098592,6,30
13,355,0.0366197183098592,6,30
13,355,0.0366197183098592,6,30
13,355,0.0366197183098592,6,30
12,88,0.136363636363636,1,35
12,88,0.136363636363636,1,35
12,88,0.136363636363636,1,35
10,86,0.116279069767442,2,35
10,86,0.116279069767442,2,35
10,86,0.116279069767442,2,35
14,307,0.0456026058631922,3,35
14,307,0.0456026058631922,3,35
14,307,0.0456026058631922,3,35
0,71,0,4,35
0,71,0,4,35
0,71,0,4,35
8,85,0.0941176470588235,5,35
8,85,0.0941176470588235,5,35
8,85,0.0941176470588235,5,35
8,84,0.0952380952380952,6,35
8,84,0.0952380952380952,6,35
8,84,0.0952380952380952,6,35
13,80,0.1625,1,40
13,80,0.1625,1,40
13,80,0.1625,2,40
13,80,0.1625,2,40
7,263,0.026615969581749,3,40
7,263,0.026615969581749,3,40
0,61,0,4,40
0,61,0,4,40
11,73,0.150684931506849,5,40
11,73,0.150684931506849,5,40
12,73,0.164383561643836,6,40
12,73,0.164383561643836,6,40
7,71,0.0985915492957746,1,45
7,71,0.0985915492957746,2,45
7,233,0.0300429184549356,3,45
0,54,0,4,45
4,63,0.0634920634920635,5,45
5,64,0.078125,6,45
