PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
3239,900,1637,432,1060,319,808,226,637,190,531,158,444,147,386,131,341,118
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3261,877,1600,469,1062,317,789,245,629,198,518,171,431,160,386,131
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3200,937,1604,464,1065,314,784,250,624,203,522,167,440,151
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3200,936,1580,488,1061,317,776,258,616,211,516,173
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3161,974,1581,486,1035,343,772,261,615,212
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3158,976,1552,515,1027,351,772,261
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3111,1022,1531,535,1024,353
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3065,1067,1541,525
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3077,1054
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
