PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
3244,895,1637,432,1060,319,804,230,637,190,531,158,444,147,386,131,339,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3260,878,1601,468,1064,315,787,247,629,198,518,171,431,160,387,130
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3200,937,1604,464,1065,314,781,253,624,203,522,167,440,151
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3199,937,1584,484,1062,316,774,260,615,212,517,172
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3165,970,1579,488,1035,343,774,259,616,211
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3156,978,1551,516,1027,351,773,260
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3113,1020,1532,534,1024,353
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3069,1063,1541,525
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3075,1056
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
