PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
583,553,593,545,617,517,635,501,630,502,636,498,631,499,643,493,636,497
126,277,131,269,143,260,142,258,146,257,145,255,151,252,152,244,153,245
0,0,287,282,305,261,319,249,319,249,315,252,321,243,320,248,322,246
0,0,72,128,73,130,72,128,73,127,75,125,79,124,76,122,75,123
0,0,0,0,215,164,211,169,208,170,215,161,212,164,215,165,217,161
0,0,0,0,48,86,48,84,49,85,52,84,54,81,52,79,51,82
0,0,0,0,0,0,161,123,161,121,155,128,162,119,159,125,164,122
0,0,0,0,0,0,35,65,38,64,39,62,41,62,38,61,35,62
0,0,0,0,0,0,0,0,133,95,127,101,132,94,129,98,127,98
0,0,0,0,0,0,0,0,28,51,27,52,31,50,30,50,35,47
0,0,0,0,0,0,0,0,0,0,107,79,105,81,106,83,109,80
0,0,0,0,0,0,0,0,0,0,28,42,29,41,26,41,25,42
0,0,0,0,0,0,0,0,0,0,0,0,86,75,87,75,86,74
0,0,0,0,0,0,0,0,0,0,0,0,23,35,22,35,24,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,62,82,63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,15,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29
