nMATCH,nETICHETTE_SBAGLIATE,RATE,nALGO,OVERLAP
29,381,0.0761154855643045,1,5
29,381,0.0761154855643045,1,5
29,381,0.0761154855643045,1,5
29,381,0.0761154855643045,1,5
29,381,0.0761154855643045,1,5
29,381,0.0761154855643045,1,5
29,381,0.0761154855643045,1,5
29,381,0.0761154855643045,1,5
29,381,0.0761154855643045,1,5
5,397,0.0125944584382872,2,5
5,397,0.0125944584382872,2,5
5,397,0.0125944584382872,2,5
5,397,0.0125944584382872,2,5
5,397,0.0125944584382872,2,5
5,397,0.0125944584382872,2,5
5,397,0.0125944584382872,2,5
5,397,0.0125944584382872,2,5
5,397,0.0125944584382872,2,5
12,436,0.0275229357798165,3,5
12,436,0.0275229357798165,3,5
12,436,0.0275229357798165,3,5
12,436,0.0275229357798165,3,5
12,436,0.0275229357798165,3,5
12,436,0.0275229357798165,3,5
12,436,0.0275229357798165,3,5
12,436,0.0275229357798165,3,5
12,436,0.0275229357798165,3,5
15,221,0.0678733031674208,4,5
15,221,0.0678733031674208,4,5
15,221,0.0678733031674208,4,5
15,221,0.0678733031674208,4,5
15,221,0.0678733031674208,4,5
15,221,0.0678733031674208,4,5
15,221,0.0678733031674208,4,5
15,221,0.0678733031674208,4,5
15,221,0.0678733031674208,4,5
14,217,0.0645161290322581,5,5
14,217,0.0645161290322581,5,5
14,217,0.0645161290322581,5,5
14,217,0.0645161290322581,5,5
14,217,0.0645161290322581,5,5
14,217,0.0645161290322581,5,5
14,217,0.0645161290322581,5,5
14,217,0.0645161290322581,5,5
14,217,0.0645161290322581,5,5
18,541,0.033271719038817,6,5
18,541,0.033271719038817,6,5
18,541,0.033271719038817,6,5
18,541,0.033271719038817,6,5
18,541,0.033271719038817,6,5
18,541,0.033271719038817,6,5
18,541,0.033271719038817,6,5
18,541,0.033271719038817,6,5
18,541,0.033271719038817,6,5
0,174,0,1,10
0,174,0,1,10
0,174,0,1,10
0,174,0,1,10
0,174,0,1,10
0,174,0,1,10
0,174,0,1,10
0,174,0,1,10
0,174,0,2,10
0,174,0,2,10
0,174,0,2,10
0,174,0,2,10
0,174,0,2,10
0,174,0,2,10
0,174,0,2,10
0,174,0,2,10
2,204,0.00980392156862745,3,10
2,204,0.00980392156862745,3,10
2,204,0.00980392156862745,3,10
2,204,0.00980392156862745,3,10
2,204,0.00980392156862745,3,10
2,204,0.00980392156862745,3,10
2,204,0.00980392156862745,3,10
2,204,0.00980392156862745,3,10
9,128,0.0703125,4,10
9,128,0.0703125,4,10
9,128,0.0703125,4,10
9,128,0.0703125,4,10
9,128,0.0703125,4,10
9,128,0.0703125,4,10
9,128,0.0703125,4,10
9,128,0.0703125,4,10
9,130,0.0692307692307692,5,10
9,130,0.0692307692307692,5,10
9,130,0.0692307692307692,5,10
9,130,0.0692307692307692,5,10
9,130,0.0692307692307692,5,10
9,130,0.0692307692307692,5,10
9,130,0.0692307692307692,5,10
9,130,0.0692307692307692,5,10
6,248,0.0241935483870968,6,10
6,248,0.0241935483870968,6,10
6,248,0.0241935483870968,6,10
6,248,0.0241935483870968,6,10
6,248,0.0241935483870968,6,10
6,248,0.0241935483870968,6,10
6,248,0.0241935483870968,6,10
6,248,0.0241935483870968,6,10
1,117,0.00854700854700855,1,15
1,117,0.00854700854700855,1,15
1,117,0.00854700854700855,1,15
1,117,0.00854700854700855,1,15
1,117,0.00854700854700855,1,15
1,117,0.00854700854700855,1,15
1,117,0.00854700854700855,1,15
