Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,47","0,38","0,56","0,45","0,46","0,37","0,35","0,36","0,43","0,39","0,58","0,47","0,48","0,38","0,56","0,45","0,57","0,67","0,47","0,55","0,92","0,31","0,33","0,32"
,"0,50","4,00","0,00","0,00","2,00","5,00","0,00","0,00","2,00","5,00","0,00","0,00","0,50","3,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00"
S02,"0,46","0,45","0,56","0,50","0,66","0,55","0,51","0,53","0,45","0,56","0,57","0,56","0,58","0,49","0,47","0,48","0,82","0,27","0,33","0,30","0,81","0,44","0,34","0,38"
,"0,50","1,00","0,00","0,00","2,00","5,00","0,00","0,00","0,50","4,00","0,00","0,00","0,50","4,50","0,00","0,00","3,50","5,00","0,00","0,00","0,50","1,50","0,00","0,00"
S03,"0,70","0,51","0,58","0,54","0,65","0,70","0,56","0,62","0,76","0,61","0,52","0,56","0,73","0,53","0,59","0,56","0,73","0,48","0,55","0,52","0,74","0,77","0,53","0,63"
,"2,00","2,50","0,00","0,00","3,50","4,00","0,00","0,00","1,00","3,00","0,00","0,00","1,00","3,00","0,00","0,00","1,50","5,00","0,00","0,00","0,50","2,50","0,00","0,00"
S04,"0,67","0,33","0,00","0,00","0,63","0,33","0,00","0,00","0,64","0,33","0,00","0,00","0,64","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,70","0,33","0,00","0,00"
,"0,50","1,00","0,00","0,00","0,50","1,50","0,00","0,00","0,50","2,50","0,00","0,00","1,00","3,00","0,00","0,00","4,50","5,00","0,00","0,00","0,50","1,00","0,00","0,00"
S05,"0,49","0,58","0,60","0,59","0,51","0,56","0,56","0,56","0,57","0,53","0,57","0,55","0,56","0,52","0,55","0,53","0,63","0,33","0,49","0,39","0,74","0,55","0,57","0,56"
,"2,00","4,50","0,00","0,00","1,00","5,00","0,00","0,00","3,50","5,00","0,00","0,00","2,00","3,00","0,00","0,00","2,00","2,50","0,00","0,00","0,50","5,00","0,00","0,00"
S06,"0,56","0,35","0,35","0,35","0,44","0,32","0,31","0,31","0,54","0,42","0,39","0,41","0,58","0,33","0,35","0,34","0,90","0,37","0,35","0,36","0,58","0,34","0,36","0,35"
,"2,00","2,50","0,00","0,00","2,50","5,00","0,00","0,00","0,50","1,50","0,00","0,00","0,50","2,00","0,00","0,00","1,00","2,00","0,00","0,00","1,00","2,50","0,00","0,00"
S07,"0,76","0,35","0,54","0,43","0,92","0,31","0,33","0,32","0,59","0,42","0,41","0,42","0,32","0,40","0,44","0,42","0,90","0,64","0,33","0,44","0,82","0,38","0,50","0,43"
,"4,50","5,00","0,00","0,00","0,50","1,00","0,00","0,00","0,50","2,50","0,00","0,00","0,50","3,00","0,00","0,00","4,50","5,00","0,00","0,00","0,50","4,00","0,00","0,00"
S08,"0,43","0,39","0,44","0,42","0,35","0,43","0,47","0,45","0,42","0,43","0,58","0,49","0,33","0,42","0,51","0,46","0,70","0,57","0,34","0,42","0,70","0,40","0,33","0,36"
,"1,50","2,50","0,00","0,00","3,50","4,50","0,00","0,00","0,50","5,00","0,00","0,00","1,50","4,00","0,00","0,00","1,50","3,00","0,00","0,00","2,50","4,00","0,00","0,00"
S09,"0,47","0,48","0,52","0,50","0,51","0,33","0,53","0,40","0,55","0,48","0,55","0,51","0,56","0,48","0,58","0,52","0,81","0,94","0,34","0,50","0,54","0,49","0,51","0,50"
,"2,00","5,00","0,00","0,00","1,50","4,50","0,00","0,00","1,00","2,50","0,00","0,00","0,50","3,50","0,00","0,00","3,00","3,50","0,00","0,00","1,00","1,50","0,00","0,00"
S10,"0,95","0,33","0,00","0,00","0,96","0,33","0,00","0,00","0,56","0,33","0,00","0,00","0,45","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,95","0,33","0,00","0,00"
,"2,00","3,50","0,00","0,00","0,50","3,50","0,00","0,00","3,00","3,50","0,00","0,00","3,00","5,00","0,00","0,00","1,00","1,50","0,00","0,00","0,50","3,50","0,00","0,00"
