Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,50","0,37","0,54","0,44","0,40","0,63","0,19","0,30","0,49","0,35","0,45","0,40","0,50","0,38","0,47","0,42","0,57","0,67","0,47","0,55","0,92","0,31","0,33","0,32"
,"0,50","2,00","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00"
S02,"0,46","0,45","0,56","0,50","0,62","0,55","0,50","0,52","0,45","0,47","0,56","0,51","0,45","0,45","0,55","0,50","0,81","0,27","0,33","0,30","0,81","0,44","0,34","0,38"
,"0,50","1,00","0,00","0,00","1,00","2,50","0,00","0,00","1,00","2,00","0,00","0,00","0,50","1,00","0,00","0,00","1,00","1,50","0,00","0,00","0,50","1,50","0,00","0,00"
S03,"0,70","0,51","0,58","0,54","0,70","0,50","0,56","0,53","0,72","0,52","0,58","0,55","0,72","0,52","0,58","0,55","0,76","0,59","0,33","0,43","0,74","0,77","0,53","0,63"
,"2,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00","1,00","1,50","0,00","0,00","0,50","2,50","0,00","0,00","2,00","2,50","0,00","0,00","0,50","2,50","0,00","0,00"
S04,"0,67","0,33","0,00","0,00","0,63","0,33","0,00","0,00","0,64","0,33","0,00","0,00","0,63","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,70","0,33","0,00","0,00"
,"0,50","1,00","0,00","0,00","0,50","1,50","0,00","0,00","0,50","2,50","0,00","0,00","0,50","2,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00"
S05,"0,53","0,50","0,46","0,48","0,51","0,53","0,48","0,50","0,34","0,31","0,32","0,32","0,45","0,39","0,44","0,42","0,63","0,33","0,49","0,39","0,74","0,46","0,50","0,48"
,"0,50","1,00","0,00","0,00","1,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00","2,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00"
S06,"0,56","0,35","0,35","0,35","0,37","0,33","0,33","0,33","0,54","0,42","0,39","0,41","0,58","0,33","0,35","0,34","0,90","0,37","0,35","0,36","0,58","0,34","0,36","0,35"
,"2,00","2,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,50","0,00","0,00","0,50","2,00","0,00","0,00","1,00","2,00","0,00","0,00","1,00","2,50","0,00","0,00"
S07,"0,55","0,38","0,41","0,39","0,92","0,31","0,33","0,32","0,59","0,42","0,41","0,42","0,32","0,37","0,40","0,38","0,86","0,36","0,44","0,40","0,85","0,37","0,41","0,39"
,"0,50","2,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","2,50","0,00","0,00","1,00","2,50","0,00","0,00","1,50","2,50","0,00","0,00","1,50","2,50","0,00","0,00"
S08,"0,43","0,39","0,44","0,42","0,36","0,32","0,39","0,35","0,41","0,43","0,51","0,46","0,34","0,41","0,39","0,40","0,69","0,40","0,33","0,36","0,30","0,57","0,37","0,45"
,"1,50","2,50","0,00","0,00","1,50","2,50","0,00","0,00","0,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00","1,00","2,50","0,00","0,00","0,50","2,50","0,00","0,00"
S09,"0,53","0,37","0,39","0,38","0,53","0,38","0,41","0,40","0,55","0,48","0,55","0,51","0,55","0,48","0,55","0,51","0,81","0,60","0,34","0,43","0,54","0,49","0,51","0,50"
,"1,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00","1,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00","1,00","2,00","0,00","0,00","1,00","1,50","0,00","0,00"
S10,"0,59","0,33","0,00","0,00","0,58","0,33","0,00","0,00","0,43","0,33","0,00","0,00","0,41","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,51","0,33","0,00","0,00"
,"0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,50","0,00","0,00","1,50","2,50","0,00","0,00","1,00","1,50","0,00","0,00","1,00","2,00","0,00","0,00"
