Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,49","0,39","0,54","0,45","0,47","0,63","0,24","0,34","0,50","0,38","0,55","0,45","0,49","0,41","0,47","0,43","0,92","0,64","0,34","0,45","0,50","0,52","0,44","0,48"
,"1,00","2,50","0,00","0,00","0,50","2,50","0,00","0,00","1,00","5,00","0,00","0,00","2,00","4,00","0,00","0,00","2,00","4,50","0,00","0,00","1,50","2,50","0,00","0,00"
S02,"0,82","0,61","0,34","0,43","0,57","0,59","0,24","0,35","0,44","0,39","0,44","0,42","0,42","0,44","0,47","0,45","0,83","0,61","0,34","0,44","0,82","0,61","0,34","0,43"
,"4,00","5,00","0,00","0,00","2,00","5,00","0,00","0,00","1,50","2,00","0,00","0,00","2,50","4,00","0,00","0,00","3,50","5,00","0,00","0,00","4,50","5,00","0,00","0,00"
S03,"0,76","0,50","0,57","0,53","0,77","0,79","0,55","0,65","0,16","0,40","0,33","0,36","0,76","0,53","0,55","0,54","0,76","0,92","0,34","0,49","0,76","0,61","0,51","0,56"
,"1,00","4,50","0,00","0,00","1,50","2,00","0,00","0,00","0,50","2,50","0,00","0,00","1,50","3,00","0,00","0,00","1,50","2,00","0,00","0,00","0,50","1,50","0,00","0,00"
S04,"1,00","0,33","0,00","0,00","0,66","0,33","0,00","0,00","0,62","0,33","0,00","0,00","0,62","0,33","0,00","0,00","1,00","0,33","0,00","0,00","1,00","0,33","0,00","0,00"
,"0,50","1,00","0,00","0,00","0,50","1,50","0,00","0,00","0,50","1,00","0,00","0,00","2,50","4,00","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00"
S05,"0,53","0,56","0,51","0,53","0,63","0,56","0,61","0,58","0,64","0,22","0,32","0,26","0,26","0,31","0,32","0,31","0,64","0,79","0,51","0,62","0,62","0,78","0,49","0,60"
,"0,50","3,00","0,00","0,00","0,50","5,00","0,00","0,00","1,00","4,50","0,00","0,00","2,00","5,00","0,00","0,00","2,00","5,00","0,00","0,00","4,00","5,00","0,00","0,00"
S06,"0,87","0,30","0,32","0,31","0,41","0,41","0,39","0,40","0,54","0,41","0,41","0,41","0,51","0,35","0,45","0,39","0,87","0,32","0,36","0,34","0,87","0,33","0,33","0,33"
,"1,50","4,00","0,00","0,00","1,50","5,00","0,00","0,00","2,50","4,00","0,00","0,00","1,00","5,00","0,00","0,00","4,50","5,00","0,00","0,00","1,00","3,50","0,00","0,00"
S07,"0,54","0,35","0,45","0,40","0,44","0,34","0,41","0,37","0,33","0,38","0,44","0,41","0,32","0,37","0,48","0,42","0,94","0,65","0,44","0,53","0,87","0,38","0,41","0,39"
,"1,00","5,00","0,00","0,00","4,00","4,50","0,00","0,00","2,00","3,00","0,00","0,00","1,00","2,50","0,00","0,00","1,50","5,00","0,00","0,00","2,00","5,00","0,00","0,00"
S08,"0,33","0,41","0,47","0,44","0,40","0,38","0,46","0,41","0,65","0,32","0,32","0,32","0,68","0,36","0,35","0,36","0,71","0,57","0,34","0,43","0,62","0,51","0,38","0,43"
,"3,50","5,00","0,00","0,00","0,50","5,00","0,00","0,00","3,50","4,00","0,00","0,00","0,50","2,50","0,00","0,00","0,50","5,00","0,00","0,00","2,00","4,00","0,00","0,00"
S09,"0,81","0,61","0,33","0,43","0,51","0,47","0,52","0,49","0,57","0,53","0,61","0,56","0,57","0,54","0,63","0,58","0,81","0,61","0,33","0,43","0,81","0,27","0,33","0,30"
,"3,50","5,00","0,00","0,00","1,00","2,50","0,00","0,00","2,00","2,50","0,00","0,00","2,00","5,00","0,00","0,00","3,50","5,00","0,00","0,00","3,50","5,00","0,00","0,00"
S10,"1,00","0,33","0,00","0,00","0,31","0,33","0,00","0,00","0,69","0,33","0,00","0,00","0,13","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,78","0,33","0,00","0,00"
,"0,50","1,50","0,00","0,00","0,50","4,50","0,00","0,00","1,00","2,00","0,00","0,00","1,50","2,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00"
