Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,49","0,69","0,49","0,57","0,34","0,35","0,32","0,34","0,49","0,41","0,49","0,45","0,48","0,39","0,48","0,43","0,92","0,97","0,34","0,50","0,92","0,31","0,33","0,32"
,"3,00","5,00","0,00","0,00","1,00","3,50","0,00","0,00","2,00","4,00","0,00","0,00","2,50","3,00","0,00","0,00","2,50","3,00","0,00","0,00","2,00","2,50","0,00","0,00"
S02,"0,49","0,56","0,48","0,52","0,40","0,43","0,44","0,44","0,42","0,45","0,59","0,51","0,41","0,39","0,42","0,40","0,82","0,61","0,35","0,44","0,82","0,44","0,35","0,39"
,"0,50","2,00","0,00","0,00","0,50","4,50","0,00","0,00","3,00","4,00","0,00","0,00","1,00","1,50","0,00","0,00","2,50","5,00","0,00","0,00","1,00","2,00","0,00","0,00"
S03,"0,69","0,58","0,57","0,57","0,67","0,62","0,64","0,63","0,65","0,48","0,58","0,52","0,76","0,58","0,58","0,58","0,76","0,92","0,34","0,50","0,71","0,51","0,56","0,54"
,"1,50","2,50","0,00","0,00","0,50","5,00","0,00","0,00","1,00","3,00","0,00","0,00","1,50","3,50","0,00","0,00","2,00","3,50","0,00","0,00","3,00","4,00","0,00","0,00"
S04,"1,00","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,60","0,33","0,00","0,00","0,61","0,33","0,00","0,00","1,00","0,33","0,00","0,00","1,00","0,33","0,00","0,00"
,"3,00","4,00","0,00","0,00","2,00","4,00","0,00","0,00","2,50","4,50","0,00","0,00","0,50","4,00","0,00","0,00","0,50","1,00","0,00","0,00","3,50","4,00","0,00","0,00"
S05,"0,56","0,50","0,51","0,51","0,53","0,54","0,56","0,55","0,33","0,27","0,20","0,23","0,26","0,23","0,27","0,25","0,45","0,64","0,45","0,53","0,57","0,48","0,50","0,49"
,"1,50","2,50","0,00","0,00","2,50","4,00","0,00","0,00","1,00","3,50","0,00","0,00","0,50","2,50","0,00","0,00","1,00","3,50","0,00","0,00","1,00","4,00","0,00","0,00"
S06,"0,56","0,63","0,31","0,41","0,32","0,42","0,44","0,43","0,57","0,39","0,50","0,44","0,57","0,39","0,52","0,44","0,91","0,64","0,34","0,44","0,35","0,66","0,46","0,55"
,"1,50","3,50","0,00","0,00","2,00","4,00","0,00","0,00","3,00","4,50","0,00","0,00","2,00","5,00","0,00","0,00","1,50","3,50","0,00","0,00","0,50","4,00","0,00","0,00"
S07,"0,92","0,31","0,33","0,32","0,91","0,31","0,33","0,32","0,86","0,34","0,34","0,34","0,81","0,35","0,34","0,34","0,92","0,47","0,34","0,39","0,92","0,47","0,34","0,39"
,"4,00","4,50","0,00","0,00","4,00","5,00","0,00","0,00","1,50","3,00","0,00","0,00","0,50","4,50","0,00","0,00","2,00","2,50","0,00","0,00","0,50","1,00","0,00","0,00"
S08,"0,70","0,68","0,34","0,45","0,70","0,65","0,36","0,46","0,65","0,35","0,43","0,38","0,64","0,45","0,43","0,44","0,71","0,57","0,33","0,42","0,69","0,56","0,37","0,45"
,"1,50","2,00","0,00","0,00","2,50","4,50","0,00","0,00","1,00","4,50","0,00","0,00","1,00","4,50","0,00","0,00","3,00","4,50","0,00","0,00","1,00","4,00","0,00","0,00"
S09,"0,54","0,45","0,57","0,50","0,57","0,51","0,59","0,55","0,61","0,45","0,51","0,48","0,55","0,49","0,64","0,55","0,82","0,61","0,34","0,43","0,81","0,60","0,33","0,43"
,"1,00","5,00","0,00","0,00","1,50","2,50","0,00","0,00","1,00","4,50","0,00","0,00","0,50","5,00","0,00","0,00","1,50","4,00","0,00","0,00","1,50","2,00","0,00","0,00"
S10,"1,00","0,33","0,00","0,00","0,35","0,33","0,00","0,00","0,63","0,33","0,00","0,00","0,63","0,33","0,00","0,00","1,00","0,33","0,00","0,00","1,00","0,33","0,00","0,00"
,"0,50","1,00","0,00","0,00","3,50","5,00","0,00","0,00","0,50","2,00","0,00","0,00","0,50","3,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00"
