Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,92","0,31","0,33","0,32","0,32","0,33","0,24","0,28","0,47","0,36","0,48","0,41","0,47","0,31","0,23","0,27","0,92","0,72","0,34","0,46","0,92","0,31","0,33","0,32"
,"2,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,00","0,00","0,00","0,50","1,00","0,00","0,00"
S02,"0,44","0,46","0,63","0,53","0,61","0,54","0,49","0,51","0,45","0,57","0,67","0,62","0,79","0,36","0,35","0,35","0,82","0,61","0,34","0,44","0,81","0,44","0,34","0,38"
,"0,50","2,00","0,00","0,00","1,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00","0,50","1,50","0,00","0,00","0,50","2,50","0,00","0,00","0,50","1,50","0,00","0,00"
S03,"0,70","0,51","0,57","0,54","0,77","0,79","0,57","0,66","0,68","0,50","0,58","0,54","0,76","0,46","0,55","0,50","0,75","0,78","0,54","0,64","0,75","0,78","0,54","0,63"
,"2,00","2,50","0,00","0,00","0,50","2,50","0,00","0,00","2,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00","1,50","2,50","0,00","0,00","0,50","2,50","0,00","0,00"
S04,"0,70","0,33","0,00","0,00","0,68","0,33","0,00","0,00","0,62","0,33","0,00","0,00","0,61","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,64","0,33","0,00","0,00"
,"0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,50","0,00","0,00","1,00","1,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","2,00","0,00","0,00"
S05,"0,53","0,49","0,46","0,47","0,59","0,54","0,57","0,55","0,28","0,30","0,32","0,31","0,28","0,30","0,32","0,31","0,67","0,56","0,33","0,42","0,58","0,42","0,46","0,44"
,"0,50","1,00","0,00","0,00","2,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00","0,50","2,00","0,00","0,00"
S06,"0,57","0,36","0,32","0,34","0,30","0,36","0,41","0,38","0,52","0,44","0,44","0,44","0,51","0,41","0,38","0,40","0,91","0,30","0,33","0,32","0,57","0,32","0,31","0,31"
,"1,00","1,50","0,00","0,00","1,00","2,00","0,00","0,00","1,00","2,50","0,00","0,00","0,50","1,50","0,00","0,00","1,00","1,50","0,00","0,00","1,00","1,50","0,00","0,00"
S07,"0,48","0,37","0,43","0,40","0,33","0,35","0,41","0,38","0,54","0,35","0,35","0,35","0,36","0,34","0,40","0,37","0,92","0,31","0,33","0,32","0,63","0,30","0,26","0,28"
,"0,50","1,00","0,00","0,00","1,50","2,50","0,00","0,00","2,00","2,50","0,00","0,00","0,50","2,50","0,00","0,00","2,00","2,50","0,00","0,00","2,00","2,50","0,00","0,00"
S08,"0,41","0,39","0,43","0,41","0,31","0,40","0,39","0,40","0,53","0,38","0,40","0,39","0,67","0,36","0,35","0,35","0,70","0,57","0,34","0,42","0,56","0,69","0,38","0,49"
,"1,50","2,50","0,00","0,00","1,50","2,00","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,50","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,00","0,00","0,00"
S09,"0,59","0,35","0,37","0,36","0,54","0,37","0,39","0,38","0,53","0,50","0,58","0,54","0,54","0,51","0,60","0,55","0,81","0,60","0,34","0,43","0,57","0,37","0,41","0,39"
,"0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,00","0,00","0,00","0,50","1,50","0,00","0,00","0,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00"
S10,"0,73","0,33","0,00","0,00","0,29","0,33","0,00","0,00","0,18","0,33","0,00","0,00","0,18","0,33","0,00","0,00","1,00","0,33","0,00","0,00","1,00","0,33","0,00","0,00"
,"0,50","1,00","0,00","0,00","1,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00","2,00","2,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00"
