A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.606901725431358,0.556962025316456,0.266666666666667,0.569381598793363,0.493975903614458,0.225,0.568539325842697,0.490566037735849,0.173913043478261,0.56071964017991,0.512820512820513,0.222222222222222,0.569548872180451,0.545454545454545,0.142857142857143,0.568539325842697,0.5,0.0833333333333333,0.531413612565445,0.545454545454545,0.1,0.538922155688623,0.470588235294118,0.0909090909090909,0.543624161073825,0.470588235294118,0.142857142857143
0.309452363090773,0.227848101265823,0.533333333333333,0.315987933634992,0.27710843373494,0.45,0.301123595505618,0.30188679245283,0.521739130434783,0.32383808095952,0.307692307692308,0.444444444444444,0.349624060150376,0.333333333333333,0.5,0.289887640449438,0.230769230769231,0.75,0.295811518324607,0.227272727272727,0.8,0.31437125748503,0.294117647058824,0.454545454545455,0.278523489932886,0.294117647058824,0.285714285714286
0.0836459114778695,0.215189873417722,0.2,0.114630467571644,0.228915662650602,0.325,0.130337078651685,0.207547169811321,0.304347826086957,0.11544227886057,0.179487179487179,0.333333333333333,0.0808270676691729,0.121212121212121,0.357142857142857,0.141573033707865,0.269230769230769,0.166666666666667,0.172774869109948,0.227272727272727,0.1,0.146706586826347,0.235294117647059,0.454545454545455,0.177852348993289,0.235294117647059,0.571428571428571
0,0,0,0.569386987589319,0.487654320987654,0.246753246753247,0.567891972993248,0.474358974358974,0.236842105263158,0.57579185520362,0.509433962264151,0.241379310344828,0.567567567567568,0.526315789473684,0.15,0.544256120527307,0.516129032258065,0.176470588235294,0.540178571428571,0.48,0.1,0.522193211488251,0.478260869565217,0.125,0.541666666666667,0.529411764705882,0.111111111111111
0,0,0,0.310643098909364,0.290123456790123,0.467532467532468,0.328582145536384,0.307692307692308,0.5,0.317873303167421,0.264150943396226,0.482758620689655,0.28978978978979,0.263157894736842,0.55,0.333333333333333,0.290322580645161,0.529411764705882,0.290178571428571,0.28,0.5,0.31331592689295,0.304347826086957,0.625,0.306547619047619,0.235294117647059,0.444444444444444
0,0,0,0.119969913501316,0.222222222222222,0.285714285714286,0.103525881470368,0.217948717948718,0.263157894736842,0.106334841628959,0.226415094339623,0.275862068965517,0.142642642642643,0.210526315789474,0.3,0.12241054613936,0.193548387096774,0.294117647058824,0.169642857142857,0.24,0.4,0.164490861618799,0.217391304347826,0.25,0.151785714285714,0.235294117647059,0.444444444444444
0,0,0,0,0,0,0.568480300187617,0.484076433121019,0.24,0.563063063063063,0.481012658227848,0.216216216216216,0.563205417607223,0.530612244897959,0.166666666666667,0.555722891566265,0.473684210526316,0.136363636363636,0.533834586466165,0.535714285714286,0.105263157894737,0.524663677130045,0.52,0,0.528497409326425,0.5,0.142857142857143
0,0,0,0,0,0,0.324953095684803,0.305732484076433,0.506666666666667,0.326576576576577,0.278481012658228,0.513513513513513,0.299097065462754,0.204081632653061,0.6,0.323795180722892,0.263157894736842,0.590909090909091,0.31015037593985,0.285714285714286,0.631578947368421,0.278026905829596,0.24,0.454545454545455,0.27720207253886,0.25,0.571428571428571
0,0,0,0,0,0,0.10656660412758,0.210191082802548,0.253333333333333,0.11036036036036,0.240506329113924,0.27027027027027,0.137697516930023,0.26530612244898,0.233333333333333,0.120481927710843,0.263157894736842,0.272727272727273,0.156015037593985,0.178571428571429,0.263157894736842,0.197309417040359,0.24,0.545454545454545,0.194300518134715,0.25,0.285714285714286
0,0,0,0,0,0,0,0,0,0.115124153498871,0.248447204968944,0.25974025974026,0.562218890554723,0.513157894736842,0.105263157894737,0.558060879368658,0.48,0.142857142857143,0.536731634182909,0.514285714285714,0.0454545454545455,0.524436090225564,0.5,0.157894736842105,0.522222222222222,0.44,0
0,0,0,0,0,0,0,0,0,0.322799097065463,0.279503105590062,0.532467532467532,0.311094452773613,0.25,0.605263157894737,0.296505073280722,0.26,0.571428571428571,0.305847076461769,0.257142857142857,0.545454545454545,0.308270676691729,0.285714285714286,0.473684210526316,0.3,0.32,0.285714285714286
0,0,0,0,0,0,0,0,0,0.562076749435666,0.472049689440994,0.207792207792208,0.126686656671664,0.236842105263158,0.289473684210526,0.14543404735062,0.26,0.285714285714286,0.157421289355322,0.228571428571429,0.409090909090909,0.167293233082707,0.214285714285714,0.368421052631579,0.177777777777778,0.24,0.714285714285714
0,0,0,0,0,0,0,0,0,0,0,0,0.558348968105066,0.503311258278146,0.151898734177215,0.551204819277108,0.493333333333333,0.136363636363636,0.540449438202247,0.489795918367347,0.115384615384615,0.52623688155922,0.514285714285714,0.0476190476190476,0.521495327102804,0.413793103448276,0.133333333333333
0,0,0,0,0,0,0,0,0,0,0,0,0.298686679174484,0.251655629139073,0.556962025316456,0.321536144578313,0.266666666666667,0.568181818181818,0.293258426966292,0.285714285714286,0.538461538461538,0.286356821589205,0.257142857142857,0.523809523809524,0.304672897196262,0.310344827586207,0.4
0,0,0,0,0,0,0,0,0,0,0,0,0.14296435272045,0.245033112582781,0.291139240506329,0.127259036144578,0.24,0.295454545454545,0.166292134831461,0.224489795918367,0.346153846153846,0.187406296851574,0.228571428571429,0.428571428571429,0.173831775700935,0.275862068965517,0.466666666666667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548908954100828,0.483443708609272,0.117647058823529,0.538288288288288,0.471428571428571,0.111111111111111,0.532058492688414,0.520833333333333,0.0740740740740741,0.520833333333333,0.472222222222222,0.0666666666666667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31489841986456,0.28476821192053,0.552941176470588,0.297297297297297,0.3,0.511111111111111,0.292463442069741,0.229166666666667,0.518518518518518,0.294642857142857,0.305555555555556,0.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136192626034612,0.231788079470199,0.329411764705882,0.164414414414414,0.228571428571429,0.377777777777778,0.175478065241845,0.25,0.407407407407407,0.18452380952381,0.222222222222222,0.533333333333333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535058117735283,0.482517482517482,0.0963855421686747,0.529279279279279,0.52112676056338,0.0697674418604651,0.530133928571429,0.51063829787234,0.0476190476190476
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296587926509186,0.293706293706294,0.542168674698795,0.295795795795796,0.253521126760563,0.488372093023256,0.290178571428571,0.276595744680851,0.476190476190476
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168353955755531,0.223776223776224,0.36144578313253,0.174924924924925,0.225352112676056,0.441860465116279,0.1796875,0.212765957446809,0.476190476190476
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529808773903262,0.496551724137931,0.1,0.526472781506339,0.459459459459459,0.0967741935483871
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294338207724035,0.268965517241379,0.5,0.292319164802386,0.297297297297297,0.354838709677419
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175853018372703,0.23448275862069,0.4,0.181208053691275,0.243243243243243,0.548387096774194
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52682563338301,0.475862068965517,0.0645161290322581
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291356184798808,0.282758620689655,0.467741935483871
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0.241379310344828,0.467741935483871
