A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.00831408775981524,0.0418326693227092,0.0523255813953488,0.096162736939436,0.315369261477046,0.448275862068966,0.014345210550671,0.0796812749003984,0.0919540229885057,0.883225208526413,0.586,0.443820224719101,0.880333951762523,0.569169960474308,0.427745664739884,0.0245939675174014,0.138339920948617,0.121387283236994,0.87360594795539,0.550295857988166,0.436781609195402,0.0961182994454713,0.299227799227799,0.42,0.0432780847145488,0.177902621722846,0.184
0.90161662817552,0.667330677290837,0.563953488372093,0.891816920943135,0.622754491017964,0.488505747126437,0.100879222582138,0.304780876494024,0.459770114942529,0.101482854494903,0.304,0.466292134831461,0.0987940630797774,0.314229249011858,0.46242774566474,0.876102088167053,0.549407114624506,0.433526011560694,0.0278810408921933,0.153846153846154,0.149425287356322,0.0346580406654344,0.167953667953668,0.153333333333333,0.864180478821363,0.51685393258427,0.416
0.0900692840646651,0.290836653386454,0.383720930232558,0.0120203421174295,0.06187624750499,0.0632183908045977,0.884775566867191,0.615537848605578,0.448275862068966,0.015291936978684,0.11,0.0898876404494382,0.0208719851576994,0.116600790513834,0.109826589595376,0.0993039443155452,0.312252964426877,0.445086705202312,0.0985130111524164,0.29585798816568,0.413793103448276,0.869223659889094,0.532818532818533,0.426666666666667,0.0925414364640884,0.305243445692884,0.4
0,0,0,0.00924214417744917,0.0438247011952191,0.0465116279069767,0.0166204986149584,0.0876494023904383,0.0823529411764706,0.886005560704356,0.57258064516129,0.450549450549451,0.880333951762523,0.56,0.433333333333333,0.021355617455896,0.137254901960784,0.117647058823529,0.100371747211896,0.286274509803922,0.406976744186047,0.871889400921659,0.523255813953488,0.383561643835616,0.865137614678899,0.515037593984962,0.4
0,0,0,0.895563770794824,0.629482071713147,0.465116279069767,0.884579870729455,0.605577689243028,0.411764705882353,0.0120481927710843,0.100806451612903,0.0879120879120879,0.0241187384044527,0.12,0.1,0.874651810584958,0.541176470588235,0.447058823529412,0.871747211895911,0.556862745098039,0.430232558139535,0.0949308755760369,0.310077519379845,0.465753424657534,0.0908256880733945,0.304511278195489,0.416666666666667
0,0,0,0.0951940850277264,0.326693227091633,0.488372093023256,0.0987996306555863,0.306772908366534,0.505882352941176,0.10194624652456,0.326612903225806,0.461538461538462,0.0955473098330241,0.32,0.466666666666667,0.103992571959146,0.32156862745098,0.435294117647059,0.0278810408921933,0.156862745098039,0.162790697674419,0.0331797235023042,0.166666666666667,0.150684931506849,0.0440366972477064,0.180451127819549,0.183333333333333
0,0,0,0,0,0,0.0140056022408964,0.0828402366863905,0.0952380952380952,0.0124653739612188,0.103030303030303,0.0847457627118644,0.0166204986149584,0.108433734939759,0.087719298245614,0.0180555555555556,0.125748502994012,0.120689655172414,0.0263522884882108,0.154761904761905,0.142857142857143,0.0263522884882108,0.142857142857143,0.145833333333333,0.0371900826446281,0.15819209039548,0.170731707317073
0,0,0,0,0,0,0.88515406162465,0.627218934911243,0.46031746031746,0.883656509695291,0.575757575757576,0.423728813559322,0.102493074792244,0.325301204819277,0.508771929824561,0.104166666666667,0.329341317365269,0.379310344827586,0.10124826629681,0.297619047619048,0.392857142857143,0.0984743411927878,0.308571428571429,0.479166666666667,0.0977961432506887,0.310734463276836,0.439024390243902
0,0,0,0,0,0,0.100840336134454,0.289940828402367,0.444444444444444,0.10387811634349,0.321212121212121,0.491525423728814,0.880886426592798,0.566265060240964,0.403508771929825,0.877777777777778,0.544910179640719,0.5,0.872399445214979,0.547619047619048,0.464285714285714,0.875173370319001,0.548571428571429,0.375,0.865013774104683,0.531073446327684,0.390243902439024
0,0,0,0,0,0,0,0,0,0.0148148148148148,0.105691056910569,0.0869565217391304,0.0241635687732342,0.118110236220472,0.136363636363636,0.0223463687150838,0.136363636363636,0.15,0.0262172284644195,0.151515151515152,0.13953488372093,0.033271719038817,0.16030534351145,0.138888888888889,0.0493601462522852,0.190839694656489,0.2
0,0,0,0,0,0,0,0,0,0.1,0.317073170731707,0.5,0.102230483271375,0.330708661417323,0.454545454545455,0.111731843575419,0.325757575757576,0.45,0.104868913857678,0.287878787878788,0.465116279069767,0.870609981515712,0.50381679389313,0.388888888888889,0.857404021937843,0.488549618320611,0.433333333333333
0,0,0,0,0,0,0,0,0,0.885185185185185,0.577235772357724,0.41304347826087,0.87360594795539,0.551181102362205,0.409090909090909,0.865921787709497,0.537878787878788,0.4,0.868913857677903,0.560606060606061,0.395348837209302,0.0961182994454713,0.33587786259542,0.472222222222222,0.093235831809872,0.320610687022901,0.366666666666667
0,0,0,0,0,0,0,0,0,0,0,0,0.0275862068965517,0.14,0.0625,0.0395348837209302,0.137254901960784,0.142857142857143,0.0417633410672854,0.156862745098039,0.176470588235294,0.0413793103448276,0.168316831683168,0.193548387096774,0.0482758620689655,0.182692307692308,0.142857142857143
0,0,0,0,0,0,0,0,0,0,0,0,0.87816091954023,0.59,0.4375,0.869767441860465,0.57843137254902,0.371428571428571,0.867749419953596,0.53921568627451,0.411764705882353,0.862068965517241,0.534653465346535,0.419354838709677,0.864367816091954,0.548076923076923,0.428571428571429
0,0,0,0,0,0,0,0,0,0,0,0,0.0942528735632184,0.27,0.5,0.0906976744186047,0.284313725490196,0.485714285714286,0.0904872389791183,0.303921568627451,0.411764705882353,0.096551724137931,0.297029702970297,0.387096774193548,0.0873563218390805,0.269230769230769,0.428571428571429
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10803324099723,0.25609756097561,0.4,0.0997229916897507,0.265060240963855,0.379310344827586,0.0220994475138122,0.126436781609195,0.173913043478261,0.0328767123287671,0.134831460674157,0.166666666666667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880886426592798,0.621951219512195,0.5,0.875346260387812,0.602409638554217,0.448275862068966,0.0994475138121547,0.28735632183908,0.565217391304348,0.101369863013699,0.303370786516854,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110803324099723,0.121951219512195,0.1,0.0249307479224377,0.132530120481928,0.172413793103448,0.878453038674033,0.586206896551724,0.260869565217391,0.865753424657534,0.561797752808989,0.333333333333333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868852459016393,0.561643835616438,0.407407407407407,0.100977198697068,0.32,0.391304347826087,0.100323624595469,0.32,0.428571428571429
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229508196721311,0.150684931506849,0.185185185185185,0.0293159609120521,0.16,0.130434782608696,0.0355987055016181,0.173333333333333,0.0952380952380952
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108196721311475,0.287671232876712,0.407407407407407,0.86970684039088,0.52,0.478260869565217,0.864077669902913,0.506666666666667,0.476190476190476
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335820895522388,0.223880597014925,0.210526315789474,0.0512820512820513,0.227272727272727,0.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932835820895522,0.298507462686567,0.473684210526316,0.0879120879120879,0.318181818181818,0.333333333333333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873134328358209,0.477611940298507,0.315789473684211,0.860805860805861,0.454545454545455,0.466666666666667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329218106995885,0.224137931034483,0.142857142857143
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102880658436214,0.241379310344828,0.357142857142857
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864197530864197,0.53448275862069,0.5
