A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.171614100185529,0.101736972704715,0.120689655172414,0.185013876040703,0.0925,0.105263157894737,0.184944237918216,0.0818858560794045,0.0862068965517241,0.179796107506951,0.0525,0.0701754385964912,0.356610800744879,0.506203473945409,0.224137931034483,0.162488393686165,0.03,0.0701754385964912,0.190298507462687,0.540942928039702,0.120689655172414,0.168987929433612,0.524630541871921,0.142857142857143,0.326869806094183,0.430992736077482,0.2
0.602040816326531,0.352357320099256,0.689655172413793,0.614246068455134,0.385,0.701754385964912,0.613382899628253,0.379652605459057,0.758620689655172,0.619091751621872,0.38,0.771929824561403,0.642458100558659,0.491315136476427,0.775862068965517,0.635097493036212,0.415,0.807017543859649,0.638992537313433,0.431761786600496,0.793103448275862,0.639740018570102,0.445812807881773,0.775510204081633,0.673130193905817,0.561743341404358,0.8
0.226345083487941,0.54590570719603,0.189655172413793,0.200740055504163,0.5225,0.192982456140351,0.201672862453532,0.538461538461538,0.155172413793103,0.201112140871177,0.5675,0.157894736842105,0.000931098696461825,0.00248138957816377,0,0.202414113277623,0.555,0.12280701754386,0.170708955223881,0.0272952853598015,0.0862068965517241,0.191272051996286,0.0295566502463054,0.0816326530612245,0,0.00726392251815981,0
0,0,0,0.181146025878004,0.085,0.0714285714285714,0.195167286245353,0.0689655172413793,0.107142857142857,0.172541743970315,0.04,0.0689655172413793,0.358736059479554,0.505,0.233333333333333,0.170686456400742,0.04,0.0714285714285714,0.171641791044776,0.0344827586206897,0.0714285714285714,0.336431226765799,0.455445544554455,0.192307692307692,0.184842883548983,0.0289855072463768,0.0555555555555556
0,0,0,0.611829944547135,0.395,0.642857142857143,0.613382899628253,0.389162561576355,0.75,0.62152133580705,0.385,0.758620689655172,0.641263940520446,0.49,0.766666666666667,0.636363636363636,0.415,0.821428571428571,0.638059701492537,0.433497536945813,0.785714285714286,0.663568773234201,0.53960396039604,0.807692307692308,0.646950092421442,0.473429951690821,0.777777777777778
0,0,0,0.207024029574861,0.52,0.285714285714286,0.191449814126394,0.541871921182266,0.142857142857143,0.205936920222635,0.575,0.172413793103448,0,0.005,0,0.192949907235622,0.545,0.107142857142857,0.190298507462687,0.532019704433498,0.142857142857143,0,0.00495049504950495,0,0.168207024029575,0.497584541062802,0.166666666666667
0,0,0,0,0,0,0.197771587743733,0.0746268656716418,0.15,0.215686274509804,0.575757575757576,0.217391304347826,0.363128491620112,0.507462686567164,0.25,0.211111111111111,0.544117647058823,0.125,0.162011173184358,0.037037037037037,0.0555555555555556,0.337950138504155,0.459259259259259,0.133333333333333,0.18232044198895,0.0291970802919708,0.0833333333333333
0,0,0,0,0,0,0.615598885793872,0.373134328358209,0.7,0.619047619047619,0.378787878787879,0.695652173913043,0.636871508379888,0.485074626865672,0.75,0.158333333333333,0.0294117647058824,0.0625,0.634078212290503,0.42962962962963,0.833333333333333,0.662049861495845,0.533333333333333,0.866666666666667,0.646408839779006,0.481751824817518,0.833333333333333
0,0,0,0,0,0,0.186629526462396,0.552238805970149,0.15,0.165266106442577,0.0454545454545455,0.0869565217391304,0,0.00746268656716418,0,0.630555555555556,0.426470588235294,0.8125,0.20391061452514,0.533333333333333,0.111111111111111,0,0.00740740740740741,0,0.171270718232044,0.489051094890511,0.0833333333333333
0,0,0,0,0,0,0,0,0,0.333333333333333,0.39,0.285714285714286,0.333333333333333,0.372549019607843,0.2,0.338289962825279,0.485148514851485,0.142857142857143,0.303370786516854,0.252427184466019,0.214285714285714,0,0.0099009900990099,0,0.1875,0.0294117647058824,0
