B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
670000,-151,990,267,63,990,80,-9,1019,0,1
670062,-151,1000,257,81,981,80,-9,1000,38,1
670125,-161,1000,257,54,990,50,-19,1019,29,1
670187,-161,1000,247,54,981,70,-9,1019,48,1
670250,-161,1019,237,54,981,50,-19,1019,29,1
670312,-171,1009,247,45,1000,50,-19,1019,19,1
670375,-151,1009,217,54,981,70,-19,1028,9,1
670437,-161,1009,257,45,990,40,-9,1019,19,1
670500,-161,990,227,45,990,60,-9,1028,9,1
670562,-151,980,267,45,981,70,-9,1019,19,1
670625,-171,1000,247,45,1000,50,-9,1028,38,1
670687,-171,1019,227,45,1000,70,0,1028,9,1
670750,-161,1009,247,36,990,70,0,1009,38,1
670812,-161,990,247,54,990,50,0,1000,29,1
670875,-171,1000,247,54,972,60,0,1038,19,1
670937,-161,1000,237,45,990,70,-9,1009,9,1
671000,-161,1009,227,54,981,40,0,1028,0,1
671062,-161,990,237,54,990,60,-9,1009,9,1
671125,-191,1009,247,36,990,80,0,1028,19,1
671187,-171,1009,237,36,990,80,9,1000,19,1
671250,-171,1000,247,45,981,60,-9,1009,19,1
671312,-171,980,257,27,1000,60,-19,1019,9,1
671375,-171,990,257,45,981,70,-19,1028,19,1
671437,-171,990,257,27,990,60,-19,1019,19,1
671500,-171,1000,247,45,990,70,-29,1019,48,1
671562,-181,1009,247,36,981,60,0,1009,29,1
671625,-171,1000,267,45,990,60,0,1009,29,1
671687,-171,1000,247,36,990,60,-19,1028,0,1
671750,-181,1000,247,36,990,70,-19,1028,9,1
671812,-171,990,267,54,981,80,0,1000,29,1
671875,-171,990,267,36,990,80,-9,1009,29,1
671937,-181,1000,257,36,990,90,-19,1038,0,1
672000,-171,1000,257,45,990,80,-19,1019,29,1
672062,-171,980,257,45,990,80,-9,1019,19,1
672125,-181,1000,237,45,981,80,-9,1028,29,1
672187,-171,990,277,54,981,80,0,1009,38,1
672250,-181,980,257,36,981,80,-19,1019,38,1
672312,-171,990,257,54,990,60,-19,1000,29,1
672375,-171,1000,267,45,981,60,-9,1009,38,1
672437,-171,990,257,63,981,70,-29,1009,48,1
672500,-191,1009,257,36,981,70,-19,1019,29,1
672562,-171,1000,257,54,990,90,0,1019,29,1
672625,-171,990,287,45,981,80,-9,1019,38,1
672687,-171,990,277,36,990,101,0,1019,19,1
672750,-181,1009,257,45,990,70,-9,1019,38,1
