Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,38","0,37","0,45","0,69","0,33","0,27","0,30","0,49","0,47","0,43","0,51","0,46","0,46","0,38","0,50","0,44","0,92","0,64","0,34","0,44","0,44","0,39","0,44","0,69"
,"3,00","4,00","0,00","0,00","2,00","3,50","0,00","0,00","0,50","3,00","0,00","0,00","0,50","3,00","0,00","0,00","0,50","1,00","0,00","0,00","1,00","4,00","0,00","0,00"
S02,"0,45","0,42","0,53","0,58","0,64","0,54","0,51","0,52","0,45","0,55","0,65","0,59","0,66","0,54","0,52","0,25","0,43","0,40","0,83","0,61","0,35","0,45","0,39","0,51"
,"4,00","4,00","0,00","0,00","0,50","3,00","0,00","0,00","2,00","3,00","0,00","0,00","2,00","4,00","0,00","0,00","3,50","4,00","0,00","0,00","1,00","3,50","0,00","0,00"
S03,"0,54","0,69","0,51","0,58","0,52","0,50","0,77","0,79","0,10","0,12","0,65","0,49","0,77","0,55","0,56","0,56","0,53","0,51","0,75","0,78","0,53","0,52","0,75","0,78"
,"2,00","2,50","0,00","0,00","0,50","2,00","0,00","0,00","1,50","4,00","0,00","0,00","1,50","3,00","0,00","0,00","1,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00"
S04,"0,00","0,00","0,00","0,62","0,00","0,00","0,62","0,33","0,00","0,00","0,14","0,33","0,00","0,00","0,00","0,61","0,00","0,00","1,00","0,33","0,00","0,00","0,63","0,33"
,"1,50","1,50","0,00","0,00","2,00","2,00","0,00","0,00","4,50","4,00","0,00","0,00","4,00","3,50","0,00","0,00","2,00","2,00","0,00","0,00","2,00","2,00","0,00","0,00"
S05,"0,53","0,57","0,56","0,57","0,59","0,54","0,57","0,56","0,31","0,29","0,38","0,33","0,41","0,34","0,48","0,40","0,35","0,56","0,43","0,64","0,50","0,48","0,49","0,62"
,"1,00","3,00","0,00","0,00","2,00","3,00","0,00","0,00","3,50","4,00","0,00","0,00","1,00","3,00","0,00","0,00","1,50","3,50","0,00","0,00","1,00","3,50","0,00","0,00"
S06,"0,45","0,40","0,47","0,29","0,41","0,38","0,40","0,32","0,34","0,35","0,52","0,44","0,41","0,38","0,40","0,54","0,91","0,64","0,34","0,44","0,26","0,31","0,86","0,32"
,"1,00","4,00","0,00","0,00","1,00","2,00","0,00","0,00","1,00","2,00","0,00","0,00","0,50","1,50","0,00","0,00","1,50","3,00","0,00","0,00","1,00","4,00","0,00","0,00"
S07,"0,47","0,42","0,76","0,36","0,42","0,39","0,92","0,31","0,33","0,44","0,38","0,57","0,29","0,27","0,28","0,89","0,32","0,84","0,36","0,50","0,35","0,34","0,34","0,92"
,"2,50","4,00","0,00","0,00","1,50","4,00","0,00","0,00","0,50","3,50","0,00","0,00","1,50","3,50","0,00","0,00","1,50","2,50","0,00","0,00","3,50","3,50","0,00","0,00"
S08,"0,46","0,40","0,43","0,44","0,33","0,33","0,47","0,49","0,53","0,38","0,40","0,39","0,38","0,67","0,38","0,33","0,58","0,34","0,43","0,71","0,38","0,49","0,54","0,34"
,"1,50","3,50","0,00","0,00","1,00","2,50","0,00","0,00","0,50","1,00","0,00","0,00","1,00","2,50","0,00","0,00","0,50","3,50","0,00","0,00","1,50","2,00","0,00","0,00"
S09,"0,51","0,47","0,55","0,51","0,66","0,50","0,57","0,35","0,48","0,57","0,52","0,58","0,54","0,50","0,59","0,54","0,77","0,34","0,47","0,82","0,38","0,43","0,40","0,80"
,"2,00","3,00","0,00","0,00","3,50","3,50","0,00","0,00","1,50","3,50","0,00","0,00","0,50","1,00","0,00","0,00","3,00","3,50","0,00","0,00","3,00","3,50","0,00","0,00"
S10,"0,00","0,00","0,64","0,33","0,00","0,00","0,33","0,33","0,00","0,00","0,18","0,33","0,00","0,00","0,18","0,33","0,00","0,00","0,00","1,00","0,00","0,00","0,63","0,33"
,"2,00","2,00","0,00","0,00","4,50","4,00","0,00","0,00","4,50","4,00","0,00","0,00","2,00","2,00","0,00","0,00","1,50","1,50","0,00","0,00","2,00","2,00","0,00","0,00"
