Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,92","0,31","0,33","0,32","0,50","0,35","0,44","0,39","0,47","0,38","0,50","0,43","0,46","0,33","0,24","0,28","0,92","0,64","0,34","0,44","0,50","0,35","0,41","0,38"
,"0,50","2,50","0,00","0,00","2,00","2,50","0,00","0,00","1,50","2,00","0,00","0,00","1,00","2,50","0,00","0,00","1,00","2,00","0,00","0,00","1,00","2,50","0,00","0,00"
S02,"0,53","0,41","0,55","0,47","0,43","0,27","0,21","0,23","0,48","0,42","0,50","0,46","0,48","0,40","0,49","0,44","0,87","0,96","0,34","0,50","0,87","0,29","0,33","0,31"
,"1,50","2,00","0,00","0,00","1,50","2,00","0,00","0,00","2,00","2,50","0,00","0,00","1,00","1,50","0,00","0,00","1,00","1,50","0,00","0,00","0,50","2,50","0,00","0,00"
S03,"0,74","0,51","0,56","0,53","0,71","0,60","0,60","0,60","0,71","0,52","0,59","0,55","0,76","0,50","0,56","0,53","0,70","0,68","0,53","0,60","0,76","0,59","0,34","0,43"
,"1,00","2,00","0,00","0,00","1,00","2,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","2,00","0,00","0,00","0,50","2,50","0,00","0,00","0,50","2,00","0,00","0,00"
S04,"0,35","0,33","0,00","0,00","0,63","0,33","0,00","0,00","0,60","0,33","0,00","0,00","0,61","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,67","0,33","0,00","0,00"
,"0,50","2,50","0,00","0,00","1,00","1,50","0,00","0,00","0,50","2,00","0,00","0,00","0,50","1,50","0,00","0,00","1,00","1,50","0,00","0,00","0,50","2,00","0,00","0,00"
S05,"0,61","0,40","0,43","0,42","0,66","0,41","0,51","0,45","0,55","0,47","0,53","0,50","0,14","0,36","0,31","0,33","0,83","0,61","0,34","0,43","0,67","0,39","0,47","0,43"
,"0,50","1,50","0,00","0,00","0,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00","0,50","2,50","0,00","0,00","0,50","1,50","0,00","0,00","0,50","1,50","0,00","0,00"
S06,"0,57","0,33","0,33","0,33","0,52","0,34","0,40","0,37","0,49","0,39","0,42","0,41","0,53","0,35","0,40","0,37","0,93","0,64","0,37","0,47","0,93","0,31","0,33","0,32"
,"1,00","2,00","0,00","0,00","1,00","2,00","0,00","0,00","2,00","2,50","0,00","0,00","0,50","1,50","0,00","0,00","0,50","2,50","0,00","0,00","2,00","2,50","0,00","0,00"
S07,"0,55","0,34","0,45","0,38","0,45","0,36","0,48","0,41","0,43","0,35","0,43","0,38","0,43","0,35","0,45","0,39","0,95","0,32","0,33","0,32","0,95","0,32","0,33","0,32"
,"0,50","1,00","0,00","0,00","0,50","1,50","0,00","0,00","0,50","1,50","0,00","0,00","0,50","1,50","0,00","0,00","2,00","2,50","0,00","0,00","1,00","1,50","0,00","0,00"
S08,"0,57","0,30","0,41","0,35","0,85","0,29","0,33","0,31","0,37","0,38","0,43","0,41","0,43","0,38","0,42","0,40","0,86","0,29","0,33","0,31","0,85","0,31","0,33","0,32"
,"0,50","1,00","0,00","0,00","1,50","2,50","0,00","0,00","1,50","2,00","0,00","0,00","0,50","1,50","0,00","0,00","1,00","1,50","0,00","0,00","1,00","2,00","0,00","0,00"
S09,"0,84","0,28","0,33","0,31","0,51","0,32","0,48","0,38","0,51","0,46","0,57","0,51","0,55","0,37","0,41","0,39","0,84","0,95","0,34","0,50","0,84","0,61","0,33","0,43"
,"0,50","2,50","0,00","0,00","0,50","2,50","0,00","0,00","1,00","1,50","0,00","0,00","1,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00","1,50","2,50","0,00","0,00"
S10,"0,64","0,33","0,00","0,00","0,29","0,33","0,00","0,00","0,65","0,33","0,00","0,00","0,49","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,72","0,33","0,00","0,00"
,"1,50","2,50","0,00","0,00","0,50","2,50","0,00","0,00","1,00","2,00","0,00","0,00","0,50","2,50","0,00","0,00","0,50","1,00","0,00","0,00","2,00","2,50","0,00","0,00"
