B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
620000,101,1009,306,-163,1000,282,116,980,-58,1
620031,40,1000,297,-318,898,242,135,1038,-126,1
620062,90,980,316,-236,925,242,67,971,-58,1
620093,80,1000,326,-263,925,252,19,980,-106,1
620125,90,1000,297,-236,935,202,-19,990,-77,1
620156,70,980,336,-272,916,222,67,1028,-87,1
620187,90,980,297,-227,972,232,155,1009,-106,1
620218,70,1000,336,-318,925,242,145,1028,-87,1
620250,80,1000,297,-236,990,212,135,1019,-87,1
620281,70,980,336,-254,879,252,67,980,-116,1
620312,40,1009,316,-245,972,232,0,980,-135,1
620343,90,990,306,-272,925,222,58,1028,-135,1
620375,90,990,287,-209,907,222,184,990,-67,1
620406,80,1009,316,-245,925,292,174,1009,-38,1
620437,70,1000,297,-236,953,181,203,1057,-155,1
620468,80,980,326,-227,870,252,116,990,-135,1
620500,60,990,306,-281,944,242,48,971,-145,1
620531,90,1009,316,-236,953,222,0,1000,-87,1
620562,70,990,316,-245,935,212,126,1019,-97,1
620593,90,1019,306,-154,1000,313,165,1000,-77,1
620625,50,1019,287,-263,898,202,233,1047,-184,1
620656,111,1019,306,-236,990,202,116,1028,-145,1
620687,60,980,306,-263,888,222,0,990,-126,1
620718,60,1000,326,-281,944,252,0,990,-126,1
620750,80,990,297,-236,935,202,87,1028,-135,1
620781,60,970,316,-272,907,242,77,1009,-58,1
620812,111,1019,336,-118,990,292,155,980,-38,1
620843,50,1019,306,-254,898,181,203,1047,-126,1
620875,111,1000,287,-218,935,232,116,1009,-116,1
620906,50,990,316,-290,907,242,19,1000,-155,1
620937,101,990,287,-245,972,212,19,1028,-126,1
620968,40,990,316,-245,898,202,106,1038,-116,1
621000,90,1009,297,-181,953,242,165,971,-77,1
621031,90,1000,316,-254,944,242,203,1047,-165,1
621062,70,1019,287,-227,990,181,155,1009,-58,1
621093,60,980,326,-309,851,272,58,1000,-126,1
621125,40,1000,306,-272,953,242,-19,990,-145,1
621156,101,1000,297,-236,925,222,19,1000,-116,1
621187,80,980,316,-227,925,212,126,1047,-116,1
621218,131,1019,297,-118,972,282,145,1009,-58,1
621250,60,1009,306,-263,935,191,233,1066,-155,1
621281,101,1009,316,-281,916,232,135,1009,-135,1
621312,30,970,336,-290,925,262,-9,971,-135,1
621343,80,1000,287,-254,953,222,-19,961,-77,1
621375,70,990,306,-245,907,202,38,1047,-48,1
621406,111,980,306,-145,1037,262,135,1009,-67,1
621437,101,1009,287,-272,888,212,194,1038,-126,1
621468,70,1009,287,-245,962,181,126,1000,-48,1
621500,60,980,326,-327,861,262,29,971,-97,1
621531,60,1000,306,-300,944,222,-9,971,-106,1
621562,101,1000,297,-227,925,212,29,1038,-116,1
621593,80,960,306,-263,925,212,77,1047,-48,1
621625,131,1009,297,-163,1009,272,145,1000,-48,1
621656,60,1019,306,-281,907,171,203,1066,-126,1
621687,80,1019,306,-254,1000,202,87,1000,-87,1
621718,30,970,356,-336,833,282,0,980,-135,1
621750,80,980,297,-272,953,222,-29,980,-77,1
621781,90,1000,297,-245,925,212,48,1019,-87,1
621812,101,990,326,-163,907,202,135,1019,-48,1
