Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,46","0,38","0,53","0,44","0,41","0,35","0,36","0,36","0,48","0,41","0,53","0,46","0,90","0,31","0,32","0,32","0,93","0,98","0,37","0,54","0,92","0,31","0,33","0,32"
,"0,50","4,00","0,00","0,00","1,50","4,50","0,00","0,00","3,00","5,00","0,00","0,00","1,50","5,00","0,00","0,00","0,50","3,50","0,00","0,00","1,50","4,50","0,00","0,00"
S02,"0,55","0,42","0,57","0,48","0,33","0,36","0,30","0,33","0,48","0,42","0,52","0,46","0,48","0,44","0,52","0,48","0,88","0,63","0,34","0,44","0,87","0,29","0,33","0,31"
,"0,50","1,00","0,00","0,00","0,50","2,00","0,00","0,00","0,50","3,50","0,00","0,00","0,50","3,50","0,00","0,00","0,50","3,50","0,00","0,00","1,50","2,50","0,00","0,00"
S03,"0,69","0,51","0,64","0,57","0,79","0,65","0,58","0,61","0,71","0,53","0,62","0,57","0,77","0,52","0,57","0,54","0,77","0,79","0,56","0,66","0,73","0,51","0,56","0,53"
,"1,50","4,50","0,00","0,00","3,50","5,00","0,00","0,00","1,00","2,00","0,00","0,00","1,50","3,50","0,00","0,00","1,00","3,50","0,00","0,00","1,00","3,00","0,00","0,00"
S04,"1,00","0,33","0,00","0,00","0,64","0,33","0,00","0,00","0,62","0,33","0,00","0,00","0,62","0,33","0,00","0,00","1,00","0,33","0,00","0,00","1,00","0,33","0,00","0,00"
,"2,00","4,00","0,00","0,00","0,50","1,00","0,00","0,00","2,00","4,00","0,00","0,00","2,00","4,00","0,00","0,00","1,50","2,00","0,00","0,00","2,00","4,00","0,00","0,00"
S05,"0,63","0,76","0,54","0,63","0,58","0,69","0,53","0,60","0,60","0,49","0,59","0,54","0,54","0,47","0,56","0,51","0,83","0,78","0,34","0,47","0,65","0,75","0,52","0,61"
,"3,00","5,00","0,00","0,00","1,50","2,50","0,00","0,00","1,00","2,50","0,00","0,00","3,50","4,00","0,00","0,00","2,00","3,00","0,00","0,00","2,00","3,00","0,00","0,00"
S06,"0,32","0,40","0,51","0,45","0,52","0,34","0,40","0,37","0,46","0,40","0,47","0,43","0,44","0,36","0,52","0,42","0,93","0,31","0,33","0,32","0,91","0,31","0,33","0,32"
,"1,50","3,00","0,00","0,00","0,50","1,50","0,00","0,00","2,00","4,50","0,00","0,00","3,00","5,00","0,00","0,00","4,50","5,00","0,00","0,00","0,50","2,50","0,00","0,00"
S07,"0,95","0,65","0,34","0,45","0,40","0,45","0,48","0,47","0,35","0,36","0,54","0,43","0,89","0,33","0,32","0,32","0,96","0,65","0,37","0,47","0,95","0,65","0,35","0,46"
,"2,50","4,00","0,00","0,00","2,00","5,00","0,00","0,00","0,50","5,00","0,00","0,00","0,50","1,50","0,00","0,00","0,50","4,00","0,00","0,00","1,50","4,00","0,00","0,00"
S08,"0,86","0,29","0,33","0,31","0,85","0,29","0,33","0,31","0,33","0,41","0,53","0,46","0,44","0,38","0,42","0,40","0,86","0,62","0,34","0,44","0,85","0,29","0,33","0,31"
,"1,00","3,50","0,00","0,00","0,50","3,50","0,00","0,00","0,50","5,00","0,00","0,00","1,00","2,00","0,00","0,00","2,00","3,50","0,00","0,00","1,00","2,00","0,00","0,00"
S09,"0,84","0,61","0,34","0,44","0,54","0,45","0,53","0,49","0,47","0,46","0,57","0,51","0,49","0,48","0,61","0,54","0,84","0,61","0,34","0,44","0,84","0,61","0,33","0,43"
,"1,50","3,50","0,00","0,00","1,50","2,00","0,00","0,00","3,00","4,50","0,00","0,00","2,00","3,50","0,00","0,00","1,50","3,50","0,00","0,00","1,50","2,50","0,00","0,00"
S10,"0,65","0,33","0,00","0,00","0,33","0,33","0,00","0,00","0,68","0,33","0,00","0,00","0,51","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,78","0,33","0,00","0,00"
,"2,00","2,50","0,00","0,00","2,00","5,00","0,00","0,00","1,00","4,50","0,00","0,00","1,50","2,00","0,00","0,00","3,00","3,50","0,00","0,00","0,50","1,50","0,00","0,00"
