TIME_SAMPLE,MINACCX1,MINACCY1,MINACCZ1,MINACCX2,MINACCY2,MINACCZ2,MINACCX3,MINACCY3,MINACCZ3,MAXACCX1,MAXACCY1,MAXACCZ1,MAXACCX2,MAXACCY2,MAXACCZ2,MAXACCX3,MAXACCY3,MAXACCZ3,MEDIANACCX1,MEDIANACCY1,MEDIANACCZ1,MEDIANACCX2,MEDIANACCY2,MEDIANACCZ2,MEDIANACCX3,MEDIANACCY3,MEDIANACCZ3,MEANACCX1,MEANACCY1,MEANACCZ1,MEANCACCX2,MEANACCY2,MEANACCZ2,MEANACCX3,MEANACCY3,MEANACCZ3,ARMEMANX1,ARMMEANY1,ARMMEANZ1,ARMMEANX2,ARMMEANY2,ARMMEANZ2,ARMMEANX3,ARMMEANY3,ARMMEANZ3,RMSX1,RMSY1,RMSZ1,RMSX2,RMSY2,RMSZ2,RMSX3,RMSY3,RMSZ3,VARX1,VARY1,VARZ1,VARX2,VARY2,VARZ2,VARX3,VARY3,VARZ3,STDX1,STDY1,STDZ1,STDX2,STDY2,STDZ2,STDX3,STDY3,STDZ3,KURTX1,KURTY1,KURTZ1,KURTX2,KURTY2,KURTZ2,KURTX3,KURTY3,KURTZ3,SKEWX1,SKEWY1,SKEWZ1,SKEWX2,SKEWY2,SKEWZ2,SKEWX3,SKEWY3,SKEWZ3,MODEX1,MODEY1,MODEZ1,MODEX2,MODEY2,MODEZ2,MODEX3,MODEY3,MODEZ3,TRIMX1,TRIMY1,TRIMZ1,TRIMX2,TRIMY2,TRIMZ2,TRIMX3,TRIMY3,TRIMZ3,ENTROPYX1,ENTROPYY1,ENTROPYZ1,ENTROPYX2,ENTROPYY2,ENTROPYZ2,ENTROPYX3,ENTROPYY3,ENTROPYZ3,RANGEX1,RANGEY1,RANGEZ1,RANGEX2,RANGEY2,RANGEZ2,RANGEX3,RANGEY3,RANGEZ3,SMV1,SMV2,SMV3,SMA1,SMA2,SMA3,EVA1,EVA2,EVA3,AAE1,AAE2,AAE3,FREEZE
440000,-3141,49,-1445,-1527,472,-949,-543,571,-514,4373,2421,1336,2090,2000,888,291,2000,233,-80,1009,237,100,981,80,-116,1000,-97,-81.3352349904917,1045.70442814453,242.121706058136,104.478945938604,979.805487639228,83.3952730236349,-107.619396903015,1003.95327356697,-103.104319478403,0,989.688521932646,0,0,967.425583746868,0,0,997.37857661925,0,342.982456150224,1069.55231134305,278.707118139655,292.51920390106,986.225319801765,152.640433288466,134.028172177514,1008.22160628966,126.583749079831,111051.713673919,50458.103374408,19059.9150749146,74671.9202767146,12625.0175894429,16348.7717059105,6383.35048235357,8590.96575082978,5394.4103101414,333.244225267174,224.628812431549,138.057651272628,273.261633378553,112.361103543187,127.862315425267,79.8958727491826,92.6874627489057,73.4466494139889,33.0505662147658,14.7715355103601,42.6373931684235,12.934202566791,17.1462752593218,19.9769613543753,8.44829395444181,40.4491439552188,5.64361261319057,-0.546219886551978,2.21312793723426,-2.08129146473,1.06104967921921,1.79134548406002,-0.646040065762809,0.463587030814491,4.64685920587397,0.128869389792564,-90,1009,227,100,981,70,-106,1009,-97,-72.9544219740417,1026.21340175068,242.405070932689,95.0485964382735,975.346211892544,84.8970721400543,-109.586175671597,996.993057651675,-104.778750377302,0.9105006588673,0.9105006588673,0.9105006588673,0.9105006588673,0.9105006588673,0.9105006588673,0.9105006588673,0.9105006588673,0.9105006588673,7514,2372,2781,3617,1528,1837,834,1429,747,1118.75218598908,1025.60702236362,1020.47384191505,1464.55664221679,1275.77098614507,1235.47622928552,116274.847173653,87099.302040777,10105.7030959456,1339256.76962782,1081506.96794349,1050497.80385765,1
497515,-4676,-147,-1118,-1509,379,-808,-388,495,-398,1696,3382,752,2963,2212,575,368,1457,213,-85,1019,267,104.5,981,80,-87,1019,-101.5,-109.027777777778,1015.85555555556,254.705555555556,104.338888888889,976.444444444444,68.9444444444444,-88.5444444444445,1009.95,-101.288888888889,0,997.32511840712,0,0,944.686363964992,0,0,987.001010729358,0,523.101652538863,1076.53378436949,307.315301350981,453.181806783988,993.242613306985,178.065250212761,158.258508635572,1020.38788104219,136.027897465516,263210.563469895,127671.76672874,29732.9575108628,195573.66663563,33271.9801365612,27104.4773432651,17301.7577901924,21310.8187150838,8290.20657976412,513.040508605212,357.311862003964,172.432472321378,442.237115850344,182.406085799134,164.634374731601,131.536146325611,145.982254795176,91.0505715510019,38.4816653887768,14.0464028773963,33.0216356551494,12.5099101155496,14.3715697807287,8.83682019579948,3.49778873971145,3.72879290809762,3.708859954087,-3.40357898557059,1.34295031810792,-3.92718060904025,1.29634086427297,1.78376136570304,-1.24838484548996,0.303122484180549,-0.125839019626322,-0.00723357573463853,0,1019,267,127,990,30,-19,942,-77,-101.006172839506,1008.78395061728,262.259259259259,94.3148148148148,968.302469135802,75.4197530864197,-90.1604938271605,1011.74691358025,-101.216049382716,0.917056315576877,0.917056315576877,0.917056315576877,0.917056315576877,0.917056315576877,0.917056315576877,0.917056315576877,0.917056315576877,0.917056315576877,6372,3529,1870,4472,1833,1383,756,962,611,1150.55967320778,1069.74137362564,1031.65265845366,1566.71111111111,1426.52777777778,1251.71666666667,317386.624573744,221108.459245855,25961.5605200412,1527003.02222222,1223611.87222222,1084740.77222222,2
500328,-3272,107,-2792,-1490,388,-1020,-669,666,-699,3010,2990,1584,2163,2037,939,388,2095,456,-50,1019,277,118,953,111,-58,980,-58,-83.8408602150538,1118.54301075269,256.412903225806,105.621505376344,979.08064516129,90.8752688172043,-63.289247311828,1013.33655913978,-65.9903225806452,0,901.711997286951,0,0,928.803158848709,0,0,989.955202983514,0,599.685015887149,1196.97286240471,372.903815901606,557.339588764607,1004.52662740282,269.598554605104,162.990853361684,1028.74536542418,134.432159010945,352972.368619281,181801.051431184,73388.5914372027,299793.873810434,50529.1678704124,64494.4149958911,22584.7741576675,31499.9156695256,13732.0483454287,594.114777310985,426.381345078773,270.903287977837,547.534358566139,224.786938834115,253.957506279872,150.282314853304,177.482155918632,117.183822882805,7.71239096440363,4.17692643074123,38.3173622608138,3.64675108680442,4.38943946680957,6.43184836936012,4.40618945295669,12.3720215162244,6.56097433496507,-1.22617734114222,0.746107870924761,-3.47884585195428,0.350221115818836,0.753035342294785,-0.518744943959172,-0.497919980267639,2.5353110810818,-0.584298229961405,-111,1009,297,90,953,151,-77,952,-58,-46.7732696897375,1105.6062052506,266.804295942721,92.0572792362769,970.366348448687,95.8162291169451,-60.0536992840095,993.963007159905,-62.4832935560859,0.878793954388256,0.878793954388256,0.878793954388256,0.878793954388256,0.878793954388256,0.878793954388256,0.878793954388256,0.878793954388256,0.878793954388256,6282,2883,4376,3653,1649,1959,1057,1429,1155,1293.56318465486,1133.9038206793,1033.71774114088,1789.21397849462,1591.94301075269,1229.18602150538,391969.959599195,352599.690925036,37258.4642080714,1931423.40752688,1392384.54301075,1102955.05053763,1
514859,-4989,147,-445,-518,537,-404,-660,676,-543,2696,2490,1217,2790,1657,282,436,1571,242,-60,1019,267,127,972,101,-58,1009,-77,-70.5584415584416,1022.25974025974,261.268398268398,136.852813852814,971.255411255411,75.051948051948,-58.5541125541126,1009.09956709957,-79.974025974026,0,967.409241210574,0,0,956.651908069511,0,0,997.077882006764,0,443.578194593259,1042.476235364,289.322622839245,327.882046418581,978.715847402457,128.586874974021,152.313387347823,1015.26279198862,120.994615457453,192616.960700169,41923.210502541,15513.5624317711,89163.9347637868,14610.8866553736,10949.1885940147,19856.7437982308,12530.8465650292,8279.69497459059,438.881488217684,204.751582417673,124.553452107002,298.603306685956,120.875500641667,104.638370562689,140.913958848053,111.941263906699,90.9928292481918,76.2533595951762,17.7549183254027,23.8015542302799,29.2918081691376,9.31030131797441,5.78054224979493,4.49869099963399,6.87455264165133,5.57062431744212,-5.03889148729428,1.67002806566768,0.304054195206595,3.20446269920927,1.02336205496121,-1.17589951119522,-0.147347688447223,0.795837053301542,-0.480923659163446,-121,1029,257,181,953,111,29,1009,-126,-60.0096618357488,1018.21256038647,265.671497584541,123.086956521739,967.396135265701,81.3140096618358,-57.792270531401,1005.84057971014,-78.1256038647343,0.874908317198621,0.874908317198621,0.874908317198621,0.874908317198621,0.874908317198621,0.874908317198621,0.874908317198621,0.874908317198621,0.874908317198621,7685,2343,1662,3308,1120,686,1096,895,785,1109.28162853377,1020.62658690068,1027.20765027904,1486.11255411255,1300.5367965368,1221.92207792208,201988.416147837,96428.9846193906,21020.4211998815,1367225.8961039,1081925.93073593,1068597.6017316,2
518468,-4989,0,-1366,-1636,481,-959,-660,533,-572,2121,4313,1267,2363,2074,929,611,2342,300,-50,1029,277,109,962,121,-29,990,-48,-87.074658254469,1117.3301787592,266.309148264984,95.5562565720294,979.345951629863,102.560462670873,-41.6246056782334,1016.01997896951,-64.1829652996845,0,0,0,0,931.113774129699,0,0,994.998833369908,0,620.527451093393,1200.71952622248,361.823321066675,542.489116610074,1003.84394537531,264.707586222979,149.819551468101,1029.44962529498,124.071084743387,377869.660736067,193504.126656705,60058.7064320108,285463.615516077,48635.3149283303,59614.1434456805,20735.0936676075,27498.849074105,11286.048593724,614.711038404279,439.891039527637,245.068778982576,534.287951872468,220.534158189452,244.160077501791,143.996852978138,165.82776930932,106.235815964881,10.4830980326966,6.53374383354379,14.5159126288859,3.87970152464861,4.99308697328625,6.07410903769177,4.84512785708426,13.7592323774909,5.23566581154662,-1.47760599527907,0.979606116021703,-1.56089848306943,0.431145983014292,0.813756329574883,-0.288324043557565,-0.341869602739392,2.51091746443294,-0.779924643220163,-90,1009,287,163,962,161,-38,971,-48,-49.0070175438596,1102.18479532164,275.022222222222,78.7286549707602,970.612865497076,103.858479532164,-39.1730994152047,998.900584795322,-59.812865497076,0.875839770335902,0.875839770335902,0.875839770335902,0.875839770335902,0.875839770335902,0.875839770335902,0.875839770335902,0.875839770335902,0.875839770335902,7110,4313,2633,3999,1593,1888,1271,1809,872,1298.57412684924,1128.27252739766,1033.28042739108,1793.84121976866,1585.33859095689,1212.90641430074,416523.570277275,332825.373498866,31361.3636022829,1957697.81388013,1372067.21451104,1097606.06309148,1
533328,-5000,-980,-1881,-900,342,-767,-524,514,-553,2595,4696,1316,3272,2444,535,368,1685,291,-50,1019,267,118,972,101,-48,1009,-87,-80.3166023166023,1017.5250965251,252.861003861004,128.451737451737,982.795366795367,77.953667953668,-62.046332046332,1012.96911196911,-93.957528957529,0,1485.35552417464,264.584919623884,0,933.48578674982,0,0,993.296367257524,0,663.778612439454,1123.74774405913,347.171132680693,527.126804434823,1012.87117415988,197.528415433008,157.037166984991,1022.45723589195,137.759639033783,435834.046661279,228333.265840591,56808.4457214689,262375.853281853,60253.9230792254,33068.3776899823,20891.5869923079,19387.2316003711,10189.040824878,660.17728426634,477.842302271985,238.345223827684,512.226369178563,245.466745363248,181.847127252487,144.539223023745,139.238039344035,100.940778800632,29.4672496071049,28.8938840350956,35.8210080488623,16.085861839102,17.939478875856,8.63512997250532,3.11662197100747,6.98110840591228,6.80097803978211,-3.09909352871204,2.7713977458955,-3.48955718656782,2.42936426951978,2.83146033879889,-1.61720001362778,-0.222301359614448,0.540189151373012,-0.425158861729834,-40,1019,267,45,981,50,19,1000,-38,-46.1459227467811,1004.27896995708,262.93991416309,97.3776824034335,964.19313304721,90.6309012875536,-60.5364806866953,1011.43347639485,-91.5321888412017,0.894353460665987,0.894353460665987,0.894353460665987,0.894353460665987,0.894353460665987,0.894353460665987,0.894353460665987,0.894353460665987,0.894353460665987,7595,5676,3197,4172,2102,1302,892,1171,844,1181.21301043975,1091.8871051045,1033.56302182596,1594.06177606178,1463.39382239382,1244.19305019305,580638.050780636,315361.557013707,22029.7309547905,1823938.83397683,1342788.15830116,1089057.18918919,2
537375,-4959,19,-1742,-1809,361,-1656,-1097,533,-951,2373,3401,1445,2409,2620,989,446,2323,650,-70,1019,247,100,972,70,-38,1000,-87,-115.457894736842,1074.17894736842,234.443421052632,89.5302631578947,978.668421052632,58.2486842105263,-50.6552631578947,1008.91710526316,-94.0605263157895,0,808.599221331356,0,0,934.035699084235,0,0,987.814364534945,0,560.061218458351,1146.4338976055,319.81471403891,507.429425997765,1002.0083438039,236.68019451083,149.619974743031,1021.84887194989,146.213695448963,300733.745260384,160661.667540392,47380.0758459885,249797.635446571,46289.7502531031,52693.9393922058,19846.2947021704,26295.9918018862,12547.5720893142,548.391963161737,400.826231103196,217.669648426207,499.797594478576,215.150529288457,229.55160507434,140.876877812402,162.160389127204,112.015945692183,17.8702067095925,7.79414384373347,21.4387331223032,5.98778358160654,10.3806472200691,11.0855599097824,9.26324862326327,19.5026130499524,11.5596675433009,-2.27913009915482,1.27041726811425,-1.85451888469157,0.335428941984514,1.5105144543224,-0.590188117735718,-1.198833691776,2.72153327776975,-0.833695829297895,-181,1019,257,145,990,141,-48,1000,-97,-78.6359649122807,1054.55555555556,239.228070175439,76.9152046783626,967.111111111111,57.6929824561403,-44.8464912280702,997.033625730994,-90.3187134502924,0.908498349404705,0.908498349404705,0.908498349404705,0.908498349404705,0.908498349404705,0.908498349404705,0.908498349404705,0.908498349404705,0.908498349404705,7332,3382,3187,4218,2259,2645,1543,1790,1601,1216.47732724864,1101.85346860763,1028.31954635215,1646.66973684211,1486.87894736842,1223.36710526316,313598.413114141,292424.855927105,29740.517591866,1730260.70131579,1317522.85789474,1087939.69868421,1
549250,-3777,-676,-1158,-772,685,-777,-466,580,-427,2888,2696,782,3827,3129,454,436,1552,165,-70,1019,237,100,972,70,-58,1000,-116,-70.1307901907357,1018.37057220708,242.141689373297,116.702997275204,976.525885558583,72.275204359673,-64.8392370572207,1008.30517711172,-98.724795640327,0,982.923767453593,232.333329444896,0,963.211354008272,0,0,998.098115099813,0,352.465369238258,1043.70741147265,275.099169634361,335.186206332437,987.914020406949,139.03675047861,125.435350870305,1013.28220836422,126.336193497612,119639.501972871,52389.2885305461,17093.5317818377,98999.9579964563,22432.430339036,14146.057935409,11561.4030464109,10088.9940441625,6231.22733431606,345.889436052724,228.887065013613,130.742234116745,314.642587703026,149.774598443915,118.937201646116,107.523964986466,100.443984609147,78.9381234532216,60.1407008241254,30.035175368989,48.7942011358664,57.1121192532947,119.579254712258,17.3955597921114,4.84039653863048,6.84170930609015,4.15912799276501,-2.52262387179493,1.29752975586775,-4.30509410366737,4.82491285297841,8.5545794231969,-2.30281174947637,-0.131707742791928,0.360510519604366,0.387824617295603,-40,1019,267,45,953,70,-77,990,-145,-62.9214501510574,1017.87311178248,243.060422960725,104.404833836858,967.365558912387,78.3323262839879,-63.4743202416918,1006.83987915408,-100.422960725076,0.891443008774869,0.891443008774869,0.891443008774869,0.891443008774869,0.891443008774869,0.891443008774869,0.891443008774869,0.891443008774869,0.891443008774869,6665,3372,1940,4599,2444,1231,902,972,592,1092.51575623585,1024.16957015598,1023.93675291892,1440.69209809264,1279.33514986376,1215.1280653951,145400.454173502,114785.020498723,13970.3383455535,1289236.55040872,1107655.1226158,1058435.69482289,2
554984,-4989,-833,-3138,-1836,101,-1464,-1145,342,-1048,3252,4705,1821,3854,2814,1000,543,2914,1019,-30,1029,217,145,972,40,-48,1009,-48,-47.5497007268063,1066.07193244976,227.597050021377,123.720179563916,977.071611799915,64.2146216331766,-51.5431808465156,1013.46237708422,-64.9575673364686,0,933.324392475136,0,0,946.033932889104,0,0,999.143548332695,0,470.380677227702,1115.60331470093,316.011833381457,425.397291608171,992.430551381782,199.039564365943,127.919687087609,1022.45992237358,115.189123166067,219020.417091307,108072.941805395,48068.1993456536,165673.880644584,30252.6982383853,35497.0245900325,13708.2120315272,18320.2612246646,9050.01583690386,467.996172090442,328.744493194023,219.244610756236,407.030564754766,173.933028026264,188.406540730497,117.082073911966,135.352359509041,95.1315711890846,18.7797185072563,12.8376857180857,38.7442808639939,8.97199849046182,13.1354882369155,12.0415954434451,8.32310851671729,31.2655492363081,16.2702030011178,-1.75796989334617,1.65072170540881,-2.8753824076243,0.600868371036737,1.56504756317327,-0.625661496787791,-0.729578202066432,3.60611789608933,-0.826881827152226,-50,1029,188,127,972,30,-58,1019,-38,-20.9096199524941,1049.30819477435,231.031472684086,113.070902612827,968.981472684085,65.5048693586698,-48.7580760095012,1003.13942992874,-61.1478622327791,0.883569638146953,0.883569638146953,0.883569638146953,0.883569638146953,0.883569638146953,0.883569638146953,0.883569638146953,0.883569638146953,0.883569638146953,8241,5538,4959,5690,2713,2464,1688,2572,2067,1179.74204288018,1066.30564206905,1026.94369980608,1554.77661393758,1394.68041898247,1185.94837537409,236452.817917986,194820.617776188,21916.7836101303,1565692.216118,1205498.0032065,1075056.27330056,1
701171,-1929,254,-1534,-700,601,-636,-436,704,-873,2141,2539,1415,1672,1648,444,203,1819,446,-131,1009,257,90,962,80,-58,1009,-87,-186.761006289308,1018.33962264151,255.685534591195,69.4716981132076,980.867924528302,62.7610062893082,-65.8176100628931,1010.89308176101,-100.138364779874,-161.891533559683,901.107181160476,214.04523741578,0,957.634173482656,0,0,1000.83795472464,0,492.346767657351,1064.03407639195,369.577712442987,376.637523222755,993.547079278148,171.965277320085,124.923800674022,1016.60304987064,149.493147862575,208839.11973569,95755.1624074516,71663.3055489213,137896.782421782,25192.3558633867,25795.3475837911,11345.3525993153,11650.2100151262,12398.4870631319,456.989189954959,309.443310490713,267.700029041689,371.344560242616,158.721000070522,160.609301050067,106.514565197983,107.936138596515,111.348493762295,11.2334666080403,7.68096437520511,26.6488124933525,6.4966027570497,6.48575876264102,8.39716415311949,3.70841526430292,22.1377288609206,20.8667462221309,-0.884073733178192,0.829148914068469,-3.21780673177416,1.19052185487435,1.20640830493462,-1.4924361185509,-0.367130945850748,2.50056631242652,-1.85502065358243,-131,1009,257,63,944,20,-87,1028,-38,-156.006993006993,1010.02097902098,272.286713286713,44.4405594405594,972.188811188811,72.7412587412587,-64.1398601398601,1007.03496503497,-95.0559440559441,0.940243622954516,0.940243622954516,0.940243622954516,0.940243622954516,0.940243622954516,0.940243622954516,0.940243622954516,0.940243622954516,0.940243622954516,4070,2285,2949,2372,1047,1080,639,1115,1319,1159.49003087593,1050.82960248403,1027.9786048654,1624.03144654088,1374.19496855346,1215.99371069182,233192.238141809,168677.451330929,19506.027025757,1511161.5408805,1158563.67924528,1071435.91823899,2
