kidx_cos,kidx_corr,kidx_city,kidx_sq,nidx,cidx,idx
2,1,1,1,3,1,1
1,2,2,1,2,2,2
1,2,2,1,2,2,1
2,1,2,1,3,1,2
1,2,2,1,2,1,1
1,2,2,1,2,2,2
1,2,2,1,2,2,1
2,1,1,1,3,1,2
2,1,1,1,3,1,1
1,2,2,1,2,2,2
1,2,2,1,2,2,1
1,2,2,1,2,2,2
1,2,1,1,3,1,1
1,2,2,1,2,2,2
1,2,2,1,2,2,1
2,1,1,1,3,1,2
1,2,2,1,2,2,1
2,1,1,1,3,1,2
2,1,1,1,3,1,1
2,1,1,1,3,1,2
2,1,1,1,3,1,1
1,2,2,2,2,2,2
1,2,2,1,2,2,1
2,1,1,1,3,1,2
1,2,2,1,2,2,1
1,2,2,1,2,2,2
1,2,2,1,3,1,1
2,1,1,1,3,1,2
1,2,2,1,2,2,1
1,2,2,1,2,2,2
2,1,1,1,3,1,1
1,2,2,1,2,2,2
1,2,2,1,2,2,1
1,2,2,1,2,2,2
2,1,1,1,3,1,1
1,2,2,2,1,2,2
2,1,1,1,3,1,1
