TIME_SAMPLE,MINACCX1,MINACCY1,MINACCZ1,MINACCX2,MINACCY2,MINACCZ2,MINACCX3,MINACCY3,MINACCZ3,MAXACCX1,MAXACCY1,MAXACCZ1,MAXACCX2,MAXACCY2,MAXACCZ2,MAXACCX3,MAXACCY3,MAXACCZ3,MEDIANACCX1,MEDIANACCY1,MEDIANACCZ1,MEDIANACCX2,MEDIANACCY2,MEDIANACCZ2,MEDIANACCX3,MEDIANACCY3,MEDIANACCZ3,MEANACCX1,MEANACCY1,MEANACCZ1,MEANCACCX2,MEANACCY2,MEANACCZ2,MEANACCX3,MEANACCY3,MEANACCZ3,ARMEMANX1,ARMMEANY1,ARMMEANZ1,ARMMEANX2,ARMMEANY2,ARMMEANZ2,ARMMEANX3,ARMMEANY3,ARMMEANZ3,RMSX1,RMSY1,RMSZ1,RMSX2,RMSY2,RMSZ2,RMSX3,RMSY3,RMSZ3,VARX1,VARY1,VARZ1,VARX2,VARY2,VARZ2,VARX3,VARY3,VARZ3,STDX1,STDY1,STDZ1,STDX2,STDY2,STDZ2,STDX3,STDY3,STDZ3,KURTX1,KURTY1,KURTZ1,KURTX2,KURTY2,KURTZ2,KURTX3,KURTY3,KURTZ3,SKEWX1,SKEWY1,SKEWZ1,SKEWX2,SKEWY2,SKEWZ2,SKEWX3,SKEWY3,SKEWZ3,MODEX1,MODEY1,MODEZ1,MODEX2,MODEY2,MODEZ2,MODEX3,MODEY3,MODEZ3,TRIMX1,TRIMY1,TRIMZ1,TRIMX2,TRIMY2,TRIMZ2,TRIMX3,TRIMY3,TRIMZ3,RANGEX1,RANGEY1,RANGEZ1,RANGEX2,RANGEY2,RANGEZ2,RANGEX3,RANGEY3,RANGEZ3,SMV1,SMV2,SMV3,SMA1,SMA2,SMA3,EVA1,EVA2,EVA3,AAE1,AAE2,AAE3,FREEZE
620000,30,950,257,-336,833,151,-67,942,-184,141,1029,356,-81,1064,323,233,1066,-9,80,1000,306,-254,935,232,97,1009,-97,80.6197916666667,994.927083333333,310.59375,-243.885416666667,935.291666666667,234.177083333333,89.796875,1006.56770833333,-95.4479166666667,72.5756280894717,994.658916926983,309.773528266859,-226.548124417125,933.234832953285,229.547722136973,0,1005.91618063306,-79.2699656649491,84.2976188374658,995.060702712821,311.001641206816,249.393159322117,936.32922450742,236.503897959421,119.133656558506,1006.89398906158,101.174869244624,609.713323516579,267.293084642234,254.870746073298,2731.07580715532,1952.08202443281,1100.92135689354,6161.44019960733,660.393297338569,1131.94491710297,24.6923737926628,16.3491004230274,15.9646718122641,52.2596958195828,44.1823723268999,33.1801349740103,78.4948418662483,25.6981185563957,33.6443890879738,2.76848491613074,2.70276580237281,3.26450670831211,4.26648481534092,2.94547728835295,2.94971327583032,1.84957178929087,2.38906254087864,2.23801692108,0.33686182036232,-0.179504137881034,0.0276518303444112,1.10443704997973,0.287509433867121,0.331863875384201,0.0182534068198075,0.103799492196619,0.032324467709207,80,1000,306,-236,925,242,135,1000,-126,79.9941860465116,995.151162790698,310.546511627907,-247.651162790698,934.651162790698,233.459302325581,89.4476744186046,1006.34302325581,-95.3720930232558,111,79,99,255,231,172,300,124,175,1045.83204487745,996.730907675779,1018.50842482422,1386.140625,1413.35416666667,1198.55208333333,620.662718840427,4064.94126866166,6463.98267428143,1093973.91145833,994843.458333333,1038264.6875,1
622000,30,950,277,-336,833,171,-67,942,-135,151,1029,356,-63,1055,323,233,1057,-9,90,990,316,-236,935,242,116,1009,-87,94.078125,990.322916666667,320.239583333333,-231.630208333333,935.21875,246.760416666667,109.505208333333,1004.96875,-84.0260416666667,87.1518845490268,990.053643236083,319.425442877081,-216.263490316416,933.539625459382,242.87990238828,0,1004.44261568253,-71.3028988762636,96.9910058115356,990.457433251593,320.645865143047,236.64524917761,936.070382191781,248.694528990889,134.384612059318,1005.23132702544,88.2914503694063,559.475539921466,267.842822862129,261.743346422339,2360.71594131762,1601.99378272251,963.282613438047,6099.60206697208,530.595876963351,738.852721422337,23.6532352950176,16.3659042787782,16.1784840582281,48.5871993565962,40.024914524862,31.0367945097113,78.0999492123528,23.0346668515816,27.1818454381291,2.55601361924573,2.60228530118087,2.35812426305192,4.35339391011032,3.63582998536367,3.04390003112063,2.01315894498056,2.43145285407455,2.38124293600664,-0.115749124015514,-0.0236074974018722,0.0437893098177208,0.914874781565588,0.450850227522533,0.25634333384745,-0.268895967965194,-0.0430621295293368,0.16214232027898,90,990,316,-218,925,242,184,980,-106,94.2616279069767,990.360465116279,320.267441860465,-234.436046511628,934.145348837209,246.075581395349,111.552325581395,1004.9011627907,-84.3837209302326,121,79,79,273,222,152,300,115,126,1045.48420941653,996.447896568415,1017.66312041143,1404.640625,1413.609375,1203.78125,578.182665121979,3477.74687619441,6322.38834997206,1093226.953125,994077.703125,1036344.625,1
624000,40,950,277,-336,870,171,-19,942,-155,151,1029,356,-27,1055,343,233,1066,-19,101,990,326,-236,925,252,126,1000,-87,98.609375,988.307291666667,322.494791666667,-221.505208333333,933.25,248.703125,118.713541666667,1002.9375,-85.0364583333333,93.755237683124,988.006856379683,321.827566759534,-186.621677414491,931.890789069229,244.698663578571,0,1002.3571384824,-72.2685945193439,100.760467818485,988.45790828863,322.82487673918,228.204209992571,933.957451297078,250.647879254942,135.223098834235,1003.22650317197,89.4627191907333,431.108393324607,299.292511998255,214.125627181501,3028.37693608202,1327.87434554974,976.199361910995,4214.3311245637,582.823298429319,776.422747600348,20.7631498892776,17.3000726009533,14.6330320570106,55.0306908559399,36.4400102298248,31.2441892503389,64.9178798526546,24.1417335423395,27.8643633984405,2.91196170889272,2.41706004256606,2.50857454374879,5.4140934188912,4.35973150452314,3.01293222230546,1.81841692871067,2.61284529443029,2.68366591896818,-0.0556829317379432,0.180677824909758,-0.15335239392083,1.36713807037617,1.13972970944489,0.0450733121122274,-0.184681335721696,-0.124570067234069,0.180396822215393,101,980,326,-236,916,232,184,1009,-106,98.5639534883721,988.168604651163,322.668604651163,-225.78488372093,930.348837209302,248.616279069767,119.674418604651,1003.18023255814,-85.3779069767442,111,79,79,309,185,172,252,124,136,1044.60747351951,993.035459901367,1015.87298081146,1409.41145833333,1403.45833333333,1207.16666666667,485.395847496252,3949.8092598215,4499.13313737198,1091417.609375,987178.041666667,1032752.28125,1
626000,-10,950,277,-345,842,171,-58,942,-155,161,1058,366,-27,1055,343,262,1066,-9,101,990,326,-236,925,252,126,1009,-87,96.2864583333333,989.723958333333,325.135416666667,-225.348958333333,932.119791666667,250.046875,113.098958333333,1005.91666666667,-83.2083333333333,93.8816379998514,989.341039470204,324.321277974903,-180.962434825507,930.414402818582,244.836671773156,0,1005.3560290935,-63.4158501846267,99.8375503422101,989.916991995625,325.541807990925,234.2217498974,932.993264869402,252.644935713476,141.719959338831,1006.19613727477,89.0851067799775,700.100758071553,384.138061736475,265.814027050611,4099.02418739094,1637.65573189354,1312.86166557592,7331.35664812391,565.270506108201,1017.83071553229,26.4594171907008,19.5994403424301,16.3038040668615,64.0236221045868,40.4679593245514,36.2334329808247,85.6233417248119,23.7754181058547,31.9034593035346,3.50466044838497,3.04909489202337,2.88407714939275,4.63761265290778,3.48923099106015,2.87779217710453,1.71364404551219,2.95284908737589,2.399467946611,-0.361657123996598,0.457079616076255,0.0740970151646963,0.988860487435334,0.661634152806242,0.268428700601192,-0.155801983714892,-0.0763400153550071,0.216718474088632,101,980,326,-236,916,272,194,990,-77,96.7267441860465,989.116279069767,324.976744186047,-229.244186046512,930.587209302326,249.063953488372,113.895348837209,1006.12790697674,-83.6395348837209,171,108,89,318,213,172,320,124,146,1046.70269885999,993.890580102785,1019.66991921639,1411.25,1407.515625,1206.90104166667,782.966650250597,5202.9510279076,7566.62539576574,1095880.65625,989165.723958333,1040451.36979167,1
628000,-10,950,287,-390,842,121,-67,923,-155,161,1058,376,-18,1064,353,281,1076,-9,90,990,326,-236,925,252,116,1009,-77,93.40625,988.03125,327.619791666667,-228.588541666667,931.875,254.416666666667,111.828125,1005.859375,-80.8072916666667,87.418433999498,987.680980288335,326.805241101391,-176.176200697044,929.768681790002,248.906639645284,0,1004.89550832977,-62.0160834853888,98.2220592161795,988.207341603977,328.024984757259,238.812088349117,932.956568299582,256.924640377939,151.310439026306,1006.337695454,86.7335178866855,927.677028795812,349.821007853403,267.053637652705,4803.51044393543,2027.50261780105,1289.14485165794,10443.7137598168,967.514152486911,998.083087914486,30.4577909375551,18.7035025557622,16.3417758414655,69.3073621192975,45.0277982784085,35.904663369233,102.194489870133,31.1048895270006,31.592453021481,2.69775247922134,3.541835371024,2.68589434614642,3.97449969912385,3.03444081016199,4.03855468339627,1.6145627728157,2.55106373389918,2.24889023022305,-0.119000660418276,0.339041621762584,-0.00699841306702826,0.898512602875853,0.649164273642136,-0.0782714850655361,-0.0597695638018371,-0.188056050879984,0.108673825694067,70,990,316,-245,916,242,-19,990,-97,93.7441860465116,987.633720930233,327.633720930233,-232.703488372093,930.313953488372,254.447674418605,112.005813953488,1006.36627906977,-81.1802325581395,171,108,89,372,222,232,348,153,146,1045.72033927633,995.900485977779,1020.75491279209,1409.16145833333,1414.88020833333,1209.421875,964.508127407984,6095.88248021616,10841.4768211982,1093801.71354167,993449.442708333,1043133.109375,1
630000,10,941,287,-372,842,90,-87,933,-135,191,1019,386,109,1083,353,300,1095,0,90,990,336,-245,920.5,262,111,1009,-77,92.3697916666667,986.276041666667,333.942708333333,-227.651041666667,931.697916666667,261.223958333333,110.864583333333,1004.578125,-76.21875,67.4574808177749,985.993763426799,332.986259904934,-206.042335682954,928.881600049019,253.273502051363,0,1003.22156728578,0,99.2722214838236,986.41620114179,334.422519987814,245.378311235936,933.169263853027,264.369641395654,158.821014300165,1005.2522511995,82.9166876046875,1329.72117691972,277.939108856893,322.368428228621,8429.42209315007,2758.23287521815,1662.00717168412,13000.8716186736,1361.97292212042,1071.4597513089,36.4653421335893,16.6715058964958,17.954621361327,91.8118842696852,52.5188811306767,40.7677221792452,114.021364746584,36.9049173162658,32.733159812473,2.79035674169729,2.76346468393718,3.04297562363864,5.02076781838361,3.48213809820092,4.75796883575068,1.54685409374199,2.07045601484846,2.12295982237505,-0.0679141089301374,-0.380034944518976,0.181170955043885,1.38563098020818,0.90528626077634,-0.482538225889016,-0.0657932911324352,-0.119601218937684,0.25877535958312,70,990,346,-272,907,242,233,1028,-77,92.3546511627907,986.761627906977,333.616279069767,-235.174418604651,928.994186046512,262.110465116279,111.447674418605,1004.83139534884,-76.9418604651163,181,78,99,481,241,263,387,162,135,1046.19376157358,999.31395420371,1020.17539614702,1412.58854166667,1424.34375,1209.41145833333,1383.01807334203,10294.6211004122,13658.3067991352,1094710.31770833,1000906.69791667,1042631.38020833,1
632000,0,931,287,-400,814,90,-87,923,-135,181,1019,386,145,1120,363,320,1085,38,101,980,336,-254,925,262,111,1009,-87,91.0833333333333,983.958333333333,339.03125,-233.317708333333,927.364583333333,260.760416666667,109.84375,1004.31770833333,-75.9739583333333,0,983.629872815408,338.078652913657,-539.356017687744,924.326292545014,252.639326983095,0,1002.95721689875,0,99.6718051908362,984.121668460426,339.504525620303,255.452488651673,928.956824211976,263.891687850653,162.069236747755,1004.99251914712,83.4116611052276,1646.87260034904,323.139616055847,322.815772251309,10875.4639779668,2971.1857547993,1651.42921029668,14275.1377617801,1363.00324498255,1191.66947534904,40.5816781361865,17.9760845585418,17.9670746715015,104.285492653422,54.5085842303696,40.6377805778894,119.478607967201,36.9188738314503,34.5205659766615,2.50261289459293,2.6169410695979,2.61608904726498,5.78262878899299,4.21186935841266,5.06912233773418,1.57686900333217,2.10058102851521,2.72380773726618,-0.273345104691476,-0.266151314045075,-0.0199257767811049,1.52664955614704,0.965942141065949,-0.591921542076858,-0.0518743025526592,-0.169538717553167,0.598858668879425,111,980,336,-236,925,232,262,1019,-106,91.3837209302326,984.337209302326,339.197674418605,-242.906976744186,924.151162790698,261.936046511628,110.25,1004.70930232558,-77.3372093023256,181,88,99,545,306,273,407,162,173,1045.69031460425,997.765433827848,1020.48888030055,1414.07291666667,1430.390625,1212.40625,1694.71579646848,12786.7893172386,14828.0408277742,1093693.25,997855.578125,1043233.90625,1
634000,0,931,287,-400,814,101,-116,923,-155,191,1029,376,181,1129,363,291,1085,38,90,980,336,-254,916,262,111,1004.5,-77,89.9427083333333,984.979166666667,337.276041666667,-237.473958333333,926.572916666667,260.104166666667,110.96875,1002.06770833333,-78.0625,0,984.677168885678,336.359361098853,0,923.717077992745,253.587559935198,0,1000.69458895244,0,98.5242408834834,985.130030545884,337.727215182609,257.959208257817,928.089805730027,262.87796202167,159.827869649403,1002.74994546248,85.1104674330171,1625.80298320244,298.774432809773,306.138061736474,10202.2087423647,2828.0470113438,1458.24040139616,13300.1560863874,1374.92209315009,1156.05890052356,40.3212472922458,17.2850927914713,17.4968014715969,101.005983695842,53.1793852102843,38.1869140072376,115.326302665036,37.0799419248478,34.0008661731368,2.55019781682359,2.93302913803921,2.6095637671469,7.60250349580564,5.28008593671068,4.70955187509794,1.59926779119073,2.29766864241961,3.32601709961025,-0.181585116291522,-0.0127537651506322,-0.205959486880009,1.84035116242754,1.25381286003783,-0.201087265611822,-0.124103409977552,-0.114236569387832,0.506023302813781,111,980,336,-263,907,262,252,1028,-87,90.3430232558139,984.970930232558,337.627906976744,-247.860465116279,922.93023255814,260.139534883721,112.348837209302,1002.09302325581,-79.0639534883721,191,98,89,581,315,262,407,162,193,1045.96335981132,997.337466334984,1018.03372719587,1412.19791666667,1433.296875,1211.96354166667,1652.10129505742,12193.7010016617,13999.5361890075,1094247.875,996998.463541667,1038296.19270833,1
636000,-10,931,287,-372,833,70,-106,914,-165,191,1029,396,254,1120,353,359,1095,29,90,990,336,-254,925,272,126,1009,-87,89.390625,984.614583333333,340.505208333333,-230.817708333333,930.104166666667,265.098958333333,119.026041666667,1002.71354166667,-81.046875,0,984.207338461389,339.405188623334,0,927.067060291745,253.437213817683,0,1000.87459847356,0,99.1787370105105,984.81769675069,341.059142293044,258.0785672523,931.719121212682,268.59742762171,172.987038893092,1003.6324365565,88.2171504017218,1855.40158704188,402.112456369982,379.518297338569,13397.5110983857,3022.50218150087,1876.89591513961,15839.8160722077,1853.27353294066,1220.02396924084,43.074372741131,20.0527418666372,19.4812293590155,115.747618111068,54.9772878696364,43.3231568002565,125.856331077176,43.0496635636176,34.9288415101451,2.49367776136234,2.66111781516418,3.28522802236516,6.77388461886172,4.38873190552712,7.13995275365567,1.68246579223267,2.02015322138643,3.25561474587952,-0.272822914125062,-0.0842123665649289,0.266102108237273,1.80859220756289,1.2029515006025,-1.13689247165959,-0.0523005939793772,0.0393134842863431,0.563063466126641,101,990,346,-318,944,272,242,1028,-97,90.0174418604651,984.779069767442,340.186046511628,-243.872093023256,925.901162790698,267.325581395349,119.029069767442,1002.36627906977,-82.4418604651163,201,98,109,626,287,283,465,181,194,1046.78633297599,1002.22582054237,1020.94933358704,1414.71875,1439.69791666667,1225.453125,1960.69545636771,15629.9156301854,16643.7883439104,1096023.65625,1006849.64583333,1044984.84895833,1
638000,-30,931,267,-390,851,121,-106,895,-165,191,1058,396,118,1074,353,359,1085,29,85,990,336,-240.5,925,262,106,1019,-97,80.1875,987.34375,334.005208333333,-232.307291666667,931.755208333333,258.46875,115.135416666667,1002.02083333333,-90.734375,0,986.922684664933,332.700250030033,0,929.787835238572,254.187545172691,0,999.885157556632,0,89.5121616504335,987.55615874069,334.656719328429,252.484498286528,932.768462807536,260.334480364524,156.565814169846,1003.07249343372,96.5707048833479,1590.67670157068,421.682264397906,437.921438699825,9832.95743346421,1899.12824498255,973.01472513089,11315.6255453752,2119.71684118674,1098.89766034031,39.8832884999555,20.5349035643683,20.9265725502249,99.1612698257955,43.5789885722758,31.1931839530832,106.374929120424,46.0403827219837,33.1496253423823,2.62764202265291,3.80907622221443,3.57909796304134,4.21898848464412,3.66927931692913,5.43093358682321,2.14232708649524,1.87118224779275,3.68646175365191,-0.231641553726415,0.487601970617926,0.155191053554472,1.03228428974105,0.749943775944354,-0.38055120663511,0.199178107599813,-0.282469762261061,0.700437776267967,101,990,326,-218,898,262,19,1028,-97,80.7325581395349,986.563953488372,333.616279069767,-239.53488372093,929.244186046512,258.662790697674,113.779069767442,1002.93604651163,-92.296511627907,221,127,129,508,223,232,465,190,194,1046.40421756819,1000.30472295244,1018.50767872616,1402.16145833333,1426.48958333333,1218.65104166667,1670.76883239739,11277.0926047887,11937.8246665734,1095274.71354167,1001579.46875,1039993.18229167,1
