PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
0.804434479322372,NaN,0.786248131539611,NaN,0.769556552067763,NaN,0.759342301943199,NaN,0.753114100647733,NaN,0.747135027404086,NaN,0.734678624813154,NaN,0.726955655206776,NaN,0.720229197807673,NaN
0.195565520677628,NaN,0.213751868460389,NaN,0.230443447932237,NaN,0.240657698056801,NaN,0.246885899352267,NaN,0.252864972595914,NaN,0.265321375186846,NaN,0.273044344793224,NaN,0.279770802192327,NaN
0,0,0.733931240657698,NaN,0.728948679621325,NaN,0.725460886895865,NaN,0.720976581963129,NaN,0.719481813652217,NaN,0.716492277030394,NaN,0.714000996512207,NaN,0.711011459890384,NaN
0,0,0.266068759342302,NaN,0.271051320378675,NaN,0.274539113104136,NaN,0.279023418036871,NaN,0.280518186347783,NaN,0.283507722969606,NaN,0.285999003487793,NaN,0.288988540109616,NaN
0,0,0,0,0.740181268882175,NaN,0.734894259818731,NaN,0.733383685800604,NaN,0.731117824773414,NaN,0.73036253776435,NaN,0.725075528700906,NaN,0.722809667673716,NaN
0,0,0,0,0.259818731117825,NaN,0.265105740181269,NaN,0.266616314199396,NaN,0.268882175226586,NaN,0.26963746223565,NaN,0.274924471299094,NaN,0.277190332326284,NaN
0,0,0,0,0,0,0.734939759036145,NaN,0.734939759036145,NaN,0.733935742971888,NaN,0.726907630522088,NaN,0.723895582329317,NaN,0.723895582329317,NaN
0,0,0,0,0,0,0.265060240963855,NaN,0.265060240963855,NaN,0.266064257028112,NaN,0.273092369477912,NaN,0.276104417670683,NaN,0.276104417670683,NaN
0,0,0,0,0,0,0,0,0.721804511278195,NaN,0.721804511278195,NaN,0.720551378446115,NaN,0.715538847117794,NaN,0.710526315789474,NaN
0,0,0,0,0,0,0,0,0.278195488721804,NaN,0.278195488721804,NaN,0.279448621553885,NaN,0.284461152882206,NaN,0.289473684210526,NaN
0,0,0,0,0,0,0,0,0,0,0.72809667673716,NaN,0.726586102719033,NaN,0.726586102719033,NaN,0.725075528700906,NaN
0,0,0,0,0,0,0,0,0,0,0.27190332326284,NaN,0.273413897280967,NaN,0.273413897280967,NaN,0.274924471299094,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.702464788732394,NaN,0.702464788732394,NaN,0.702464788732394,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.297535211267606,NaN,0.297535211267606,NaN,0.297535211267606,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706827309236948,NaN,0.706827309236948,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293172690763052,NaN,0.293172690763052,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702947845804989,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297052154195011,NaN
