A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.496050552922591,0.166666666666667,0.264705882352941,0.4913112164297,0.166666666666667,0.235294117647059,0.503949447077409,0.166666666666667,0.264705882352941,0.502369668246445,0.166666666666667,0.264705882352941,0.500789889415482,0.166666666666667,0.264705882352941,0.499210110584518,0.166666666666667,0.264705882352941,0.499210110584518,0.166666666666667,0.264705882352941,0.499210110584518,0.166666666666667,0.264705882352941,0.499210110584518,0.166666666666667,0.264705882352941
0.244865718799368,0.814814814814815,0.647058823529412,0.251184834123223,0.814814814814815,0.676470588235294,0.248025276461295,0.814814814814815,0.676470588235294,0.248025276461295,0.814814814814815,0.676470588235294,0.251184834123223,0.814814814814815,0.676470588235294,0.252764612954186,0.814814814814815,0.676470588235294,0.252764612954186,0.814814814814815,0.676470588235294,0.252764612954186,0.814814814814815,0.676470588235294,0.252764612954186,0.814814814814815,0.676470588235294
0.259083728278041,0.0185185185185185,0.0882352941176471,0.257503949447077,0.0185185185185185,0.0882352941176471,0.248025276461295,0.0185185185185185,0.0588235294117647,0.249605055292259,0.0185185185185185,0.0588235294117647,0.248025276461295,0.0185185185185185,0.0588235294117647,0.248025276461295,0.0185185185185185,0.0588235294117647,0.248025276461295,0.0185185185185185,0.0588235294117647,0.248025276461295,0.0185185185185185,0.0588235294117647,0.248025276461295,0.0185185185185185,0.0588235294117647
0,0,0,0.46031746031746,0.0925925925925926,0.333333333333333,0.457142857142857,0.0925925925925926,0.333333333333333,0.450793650793651,0.111111111111111,0.222222222222222,0.450793650793651,0.111111111111111,0.166666666666667,0.450793650793651,0.111111111111111,0.111111111111111,0.447619047619048,0.111111111111111,0.111111111111111,0.447619047619048,0.111111111111111,0.111111111111111,0.447619047619048,0.111111111111111,0.111111111111111
0,0,0,0.279365079365079,0.87037037037037,0.611111111111111,0.276190476190476,0.87037037037037,0.611111111111111,0.282539682539683,0.851851851851852,0.722222222222222,0.282539682539683,0.851851851851852,0.777777777777778,0.282539682539683,0.851851851851852,0.833333333333333,0.285714285714286,0.851851851851852,0.833333333333333,0.285714285714286,0.851851851851852,0.833333333333333,0.285714285714286,0.851851851851852,0.833333333333333
0,0,0,0.26031746031746,0.037037037037037,0.0555555555555556,0.266666666666667,0.037037037037037,0.0555555555555556,0.266666666666667,0.037037037037037,0.0555555555555556,0.266666666666667,0.037037037037037,0.0555555555555556,0.266666666666667,0.037037037037037,0.0555555555555556,0.266666666666667,0.037037037037037,0.0555555555555556,0.266666666666667,0.037037037037037,0.0555555555555556,0.266666666666667,0.037037037037037,0.0555555555555556
0,0,0,0,0,0,0.454976303317536,0.111111111111111,0.111111111111111,0.445497630331754,0.0833333333333333,0.111111111111111,0.445497630331754,0.0833333333333333,0.111111111111111,0.440758293838863,0.0833333333333333,0.111111111111111,0.436018957345972,0.0833333333333333,0.111111111111111,0.436018957345972,0.0833333333333333,0.111111111111111,0.436018957345972,0.0833333333333333,0.111111111111111
0,0,0,0,0,0,0.28436018957346,0.861111111111111,0.666666666666667,0.298578199052133,0.888888888888889,0.666666666666667,0.303317535545024,0.916666666666667,0.666666666666667,0.308056872037915,0.916666666666667,0.666666666666667,0.312796208530806,0.916666666666667,0.666666666666667,0.312796208530806,0.916666666666667,0.666666666666667,0.312796208530806,0.916666666666667,0.666666666666667
0,0,0,0,0,0,0.260663507109005,0.0277777777777778,0.222222222222222,0.255924170616114,0.0277777777777778,0.222222222222222,0.251184834123223,0,0.222222222222222,0.251184834123223,0,0.222222222222222,0.251184834123223,0,0.222222222222222,0.251184834123223,0,0.222222222222222,0.251184834123223,0,0.222222222222222
0,0,0,0,0,0,0,0,0,0.455128205128205,0.037037037037037,0,0.435897435897436,0.037037037037037,0,0.429487179487179,0.037037037037037,0,0.423076923076923,0.037037037037037,0,0.416666666666667,0.037037037037037,0,0.416666666666667,0.037037037037037,0
0,0,0,0,0,0,0,0,0,0.301282051282051,0.962962962962963,1,0.307692307692308,0.962962962962963,1,0.314102564102564,0.962962962962963,1,0.307692307692308,0.962962962962963,1,0.314102564102564,0.962962962962963,1,0.314102564102564,0.962962962962963,1
0,0,0,0,0,0,0,0,0,0.243589743589744,0,0,0.256410256410256,0,0,0.256410256410256,0,0,0.269230769230769,0,0,0.269230769230769,0,0,0.269230769230769,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.464,0.05,0,0.456,0.05,0,0.456,0.05,0,0.448,0.05,0,0.44,0.05,0
0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.95,1,0.288,0.95,1,0.288,0.95,1,0.288,0.95,1,0.296,0.95,1
0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0,0.256,0,0,0.256,0,0,0.264,0,0,0.264,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42156862745098,0.0526315789473684,0,0.431372549019608,0.0526315789473684,0,0.441176470588235,0.0526315789473684,0,0.450980392156863,0.0526315789473684,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245098039215686,0.947368421052632,0.714285714285714,0.235294117647059,0.947368421052632,0.714285714285714,0.225490196078431,0.947368421052632,0.857142857142857,0.254901960784314,0.947368421052632,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.285714285714286,0.333333333333333,0,0.285714285714286,0.333333333333333,0,0.142857142857143,0.294117647058824,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471264367816092,0.0588235294117647,0,0.471264367816092,0.0588235294117647,0,0.471264367816092,0.0588235294117647,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275862068965517,0.941176470588235,1,0.275862068965517,0.941176470588235,1,0.275862068965517,0.941176470588235,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252873563218391,0,0,0.252873563218391,0,0,0.252873563218391,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423076923076923,0.0769230769230769,0,0.423076923076923,0.0769230769230769,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269230769230769,0.923076923076923,1,0.269230769230769,0.923076923076923,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692307692308,0,0,0.307692307692308,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394366197183099,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267605633802817,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338028169014085,0,0
