A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.782511210762332,NaN,NaN,0.791230692575984,NaN,NaN,0.794718485301445,NaN,NaN,0.796213253612357,NaN,NaN,0.797209765819631,NaN,NaN,0.797708021923269,NaN,NaN,0.798455406078724,NaN,NaN,0.798704534130543,NaN,NaN,0.798953662182362,NaN,NaN
0.0754857997010463,NaN,NaN,0.0682610861983059,NaN,NaN,0.065520677628301,NaN,NaN,0.064773293472845,NaN,NaN,0.0632785251619332,NaN,NaN,0.0630293971101146,NaN,NaN,0.062780269058296,NaN,NaN,0.0625311410064773,NaN,NaN,0.0622820129546587,NaN,NaN
0.142002989536622,NaN,NaN,0.14050822122571,NaN,NaN,0.139760837070254,NaN,NaN,0.139013452914798,NaN,NaN,0.139511709018435,NaN,NaN,0.139262580966617,NaN,NaN,0.13876432486298,NaN,NaN,0.13876432486298,NaN,NaN,0.13876432486298,NaN,NaN
0,0,0,0.719980069755854,NaN,NaN,0.720478325859492,NaN,NaN,0.720478325859492,NaN,NaN,0.721474838066766,NaN,NaN,0.722471350274041,NaN,NaN,0.722471350274041,NaN,NaN,0.723966118584953,NaN,NaN,0.723966118584953,NaN,NaN
0,0,0,0.161933233682113,NaN,NaN,0.160936721474838,NaN,NaN,0.160438465371201,NaN,NaN,0.158943697060289,NaN,NaN,0.158445440956652,NaN,NaN,0.158943697060289,NaN,NaN,0.157947184853014,NaN,NaN,0.157947184853014,NaN,NaN
0,0,0,0.118086696562033,NaN,NaN,0.11858495266567,NaN,NaN,0.119083208769307,NaN,NaN,0.119581464872945,NaN,NaN,0.119083208769307,NaN,NaN,0.11858495266567,NaN,NaN,0.118086696562033,NaN,NaN,0.118086696562033,NaN,NaN
0,0,0,0,0,0,0.722809667673716,NaN,NaN,0.721299093655589,NaN,NaN,0.722809667673716,NaN,NaN,0.722809667673716,NaN,NaN,0.723564954682779,NaN,NaN,0.722054380664653,NaN,NaN,0.722054380664653,NaN,NaN
0,0,0,0,0,0,0.106495468277946,NaN,NaN,0.108761329305136,NaN,NaN,0.108761329305136,NaN,NaN,0.108006042296073,NaN,NaN,0.107250755287009,NaN,NaN,0.109516616314199,NaN,NaN,0.109516616314199,NaN,NaN
0,0,0,0,0,0,0.170694864048338,NaN,NaN,0.169939577039275,NaN,NaN,0.168429003021148,NaN,NaN,0.169184290030211,NaN,NaN,0.169184290030211,NaN,NaN,0.168429003021148,NaN,NaN,0.168429003021148,NaN,NaN
0,0,0,0,0,0,0,0,0,0.126506024096386,NaN,NaN,0.126506024096386,NaN,NaN,0.125502008032129,NaN,NaN,0.123493975903614,NaN,NaN,0.123493975903614,NaN,NaN,0.123493975903614,NaN,NaN
0,0,0,0,0,0,0,0,0,0.15863453815261,NaN,NaN,0.160642570281124,NaN,NaN,0.160642570281124,NaN,NaN,0.163654618473896,NaN,NaN,0.161646586345382,NaN,NaN,0.161646586345382,NaN,NaN
