A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.715495764823119,NaN,NaN,0.716243148978575,NaN,NaN,0.718734429496761,NaN,NaN,0.718485301444943,NaN,NaN,0.720229197807673,NaN,NaN,0.720478325859492,NaN,NaN,0.721474838066766,NaN,NaN,0.721723966118585,NaN,NaN,0.721474838066766,NaN,NaN
0.176382660687593,NaN,NaN,0.17339312406577,NaN,NaN,0.109865470852018,NaN,NaN,0.109865470852018,NaN,NaN,0.170403587443946,NaN,NaN,0.170154459392128,NaN,NaN,0.168659691081216,NaN,NaN,0.168659691081216,NaN,NaN,0.16791230692576,NaN,NaN
0.108121574489287,NaN,NaN,0.110363726955655,NaN,NaN,0.171400099651221,NaN,NaN,0.171649227703039,NaN,NaN,0.109367214748381,NaN,NaN,0.109367214748381,NaN,NaN,0.109865470852018,NaN,NaN,0.109616342800199,NaN,NaN,0.110612855007474,NaN,NaN
0,0,0,0.694070752366716,NaN,NaN,0.695565520677628,NaN,NaN,0.695565520677628,NaN,NaN,0.695565520677628,NaN,NaN,0.695565520677628,NaN,NaN,0.695565520677628,NaN,NaN,0.695565520677628,NaN,NaN,0.695565520677628,NaN,NaN
0,0,0,0.150473343298455,NaN,NaN,0.145490782262083,NaN,NaN,0.160438465371201,NaN,NaN,0.160438465371201,NaN,NaN,0.160438465371201,NaN,NaN,0.160438465371201,NaN,NaN,0.159940209267564,NaN,NaN,0.159940209267564,NaN,NaN
0,0,0,0.155455904334828,NaN,NaN,0.158943697060289,NaN,NaN,0.143996013951171,NaN,NaN,0.143996013951171,NaN,NaN,0.143996013951171,NaN,NaN,0.143996013951171,NaN,NaN,0.144494270054808,NaN,NaN,0.144494270054808,NaN,NaN
0,0,0,0,0,0,0.681268882175227,NaN,NaN,0.68429003021148,NaN,NaN,0.686555891238671,NaN,NaN,0.686555891238671,NaN,NaN,0.686555891238671,NaN,NaN,0.686555891238671,NaN,NaN,0.686555891238671,NaN,NaN
0,0,0,0,0,0,0.167673716012085,NaN,NaN,0.169939577039275,NaN,NaN,0.169939577039275,NaN,NaN,0.169939577039275,NaN,NaN,0.171450151057402,NaN,NaN,0.171450151057402,NaN,NaN,0.142749244712991,NaN,NaN
0,0,0,0,0,0,0.151057401812689,NaN,NaN,0.145770392749245,NaN,NaN,0.143504531722054,NaN,NaN,0.143504531722054,NaN,NaN,0.141993957703928,NaN,NaN,0.141993957703928,NaN,NaN,0.170694864048338,NaN,NaN
0,0,0,0,0,0,0,0,0,0.655622489959839,NaN,NaN,0.657630522088353,NaN,NaN,0.657630522088353,NaN,NaN,0.172690763052209,NaN,NaN,0.172690763052209,NaN,NaN,0.171686746987952,NaN,NaN
0,0,0,0,0,0,0,0,0,0.173694779116466,NaN,NaN,0.171686746987952,NaN,NaN,0.172690763052209,NaN,NaN,0.171686746987952,NaN,NaN,0.171686746987952,NaN,NaN,0.172690763052209,NaN,NaN
0,0,0,0,0,0,0,0,0,0.170682730923695,NaN,NaN,0.170682730923695,NaN,NaN,0.169678714859438,NaN,NaN,0.655622489959839,NaN,NaN,0.655622489959839,NaN,NaN,0.655622489959839,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.644110275689223,NaN,NaN,0.644110275689223,NaN,NaN,0.644110275689223,NaN,NaN,0.645363408521303,NaN,NaN,0.647869674185464,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.182957393483709,NaN,NaN,0.182957393483709,NaN,NaN,0.182957393483709,NaN,NaN,0.182957393483709,NaN,NaN,0.170426065162907,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.172932330827068,NaN,NaN,0.172932330827068,NaN,NaN,0.172932330827068,NaN,NaN,0.171679197994987,NaN,NaN,0.181704260651629,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661631419939577,NaN,NaN,0.661631419939577,NaN,NaN,0.661631419939577,NaN,NaN,0.661631419939577,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178247734138973,NaN,NaN,0.178247734138973,NaN,NaN,0.178247734138973,NaN,NaN,0.178247734138973,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16012084592145,NaN,NaN,0.16012084592145,NaN,NaN,0.16012084592145,NaN,NaN,0.16012084592145,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644366197183099,NaN,NaN,0.644366197183099,NaN,NaN,0.644366197183099,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193661971830986,NaN,NaN,0.200704225352113,NaN,NaN,0.200704225352113,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161971830985915,NaN,NaN,0.154929577464789,NaN,NaN,0.154929577464789,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192771084337349,NaN,NaN,0.198795180722892,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156626506024096,NaN,NaN,0.14859437751004,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650602409638554,NaN,NaN,0.652610441767068,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657596371882086,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206349206349206,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136054421768707,NaN,NaN
