A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.732685600398605,NaN,NaN,0.728450423517688,NaN,NaN,0.720478325859492,NaN,NaN,0.713253612356751,NaN,NaN,0.70802192326856,NaN,NaN,0.70627802690583,NaN,NaN,0.701544593921276,NaN,NaN,0.695814648729447,NaN,NaN,0.692077727952167,NaN,NaN
0.129048330842053,NaN,NaN,0.132785251619332,NaN,NaN,0.13876432486298,NaN,NaN,0.143746885899352,NaN,NaN,0.148231190832088,NaN,NaN,0.151968111609367,NaN,NaN,0.159940209267564,NaN,NaN,0.164922770303936,NaN,NaN,0.166666666666667,NaN,NaN
0.138266068759342,NaN,NaN,0.13876432486298,NaN,NaN,0.140757349277529,NaN,NaN,0.142999501743896,NaN,NaN,0.143746885899352,NaN,NaN,0.141753861484803,NaN,NaN,0.138515196811161,NaN,NaN,0.139262580966617,NaN,NaN,0.141255605381166,NaN,NaN
0,0,0,0.377179870453413,NaN,NaN,0.685102142501246,NaN,NaN,0.680119581464873,NaN,NaN,0.672645739910314,NaN,NaN,0.672147483806677,NaN,NaN,0.668161434977579,NaN,NaN,0.668161434977579,NaN,NaN,0.668161434977579,NaN,NaN
0,0,0,0.257598405580468,NaN,NaN,0.176880916791231,NaN,NaN,0.185849526656702,NaN,NaN,0.191330343796712,NaN,NaN,0.195814648729447,NaN,NaN,0.203288490284006,NaN,NaN,0.207274539113104,NaN,NaN,0.209267563527653,NaN,NaN
0,0,0,0.365221723966119,NaN,NaN,0.138016940707524,NaN,NaN,0.134030891878426,NaN,NaN,0.136023916292975,NaN,NaN,0.132037867463876,NaN,NaN,0.128550074738416,NaN,NaN,0.124564025909317,NaN,NaN,0.122571001494768,NaN,NaN
0,0,0,0,0,0,0.687311178247734,NaN,NaN,0.685045317220544,NaN,NaN,0.689577039274924,NaN,NaN,0.683534743202417,NaN,NaN,0.680513595166163,NaN,NaN,0.154078549848943,NaN,NaN,0.676737160120846,NaN,NaN
0,0,0,0,0,0,0.152567975830816,NaN,NaN,0.154833836858006,NaN,NaN,0.145770392749245,NaN,NaN,0.15785498489426,NaN,NaN,0.163897280966767,NaN,NaN,0.166918429003021,NaN,NaN,0.172960725075529,NaN,NaN
0,0,0,0,0,0,0.16012084592145,NaN,NaN,0.16012084592145,NaN,NaN,0.164652567975831,NaN,NaN,0.158610271903323,NaN,NaN,0.155589123867069,NaN,NaN,0.679003021148036,NaN,NaN,0.150302114803625,NaN,NaN
0,0,0,0,0,0,0,0,0,0.655622489959839,NaN,NaN,0.654618473895582,NaN,NaN,0.654618473895582,NaN,NaN,0.654618473895582,NaN,NaN,0.651606425702811,NaN,NaN,0.651606425702811,NaN,NaN
0,0,0,0,0,0,0,0,0,0.198795180722892,NaN,NaN,0.201807228915663,NaN,NaN,0.204819277108434,NaN,NaN,0.203815261044177,NaN,NaN,0.204819277108434,NaN,NaN,0.204819277108434,NaN,NaN
0,0,0,0,0,0,0,0,0,0.145582329317269,NaN,NaN,0.143574297188755,NaN,NaN,0.140562248995984,NaN,NaN,0.141566265060241,NaN,NaN,0.143574297188755,NaN,NaN,0.143574297188755,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.657894736842105,NaN,NaN,0.718045112781955,NaN,NaN,0.655388471177945,NaN,NaN,0.654135338345865,NaN,NaN,0.654135338345865,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.18796992481203,NaN,NaN,0.278195488721804,NaN,NaN,0.18796992481203,NaN,NaN,0.19047619047619,NaN,NaN,0.19047619047619,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.154135338345865,NaN,NaN,0.0037593984962406,NaN,NaN,0.156641604010025,NaN,NaN,0.155388471177945,NaN,NaN,0.155388471177945,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723564954682779,NaN,NaN,0.669184290030212,NaN,NaN,0.663141993957704,NaN,NaN,0.663141993957704,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27190332326284,NaN,NaN,0.170694864048338,NaN,NaN,0.170694864048338,NaN,NaN,0.170694864048338,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00453172205438067,NaN,NaN,0.16012084592145,NaN,NaN,0.166163141993958,NaN,NaN,0.166163141993958,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644366197183099,NaN,NaN,0.149647887323944,NaN,NaN,0.147887323943662,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205985915492958,NaN,NaN,0.205985915492958,NaN,NaN,0.207746478873239,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149647887323944,NaN,NaN,0.644366197183099,NaN,NaN,0.644366197183099,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652610441767068,NaN,NaN,0.652610441767068,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190763052208835,NaN,NaN,0.188755020080321,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156626506024096,NaN,NaN,0.15863453815261,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648526077097506,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1859410430839,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165532879818594,NaN,NaN
