PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
0.793971101145989,NaN,0.792725460886896,NaN,0.789237668161435,NaN,0.787742899850523,NaN,0.7847533632287,NaN,0.782262082710513,NaN,0.781265570503239,NaN,0.779023418036871,NaN,0.777777777777778,NaN
0.206028898854011,NaN,0.207274539113104,NaN,0.210762331838565,NaN,0.212257100149477,NaN,0.2152466367713,NaN,0.217737917289487,NaN,0.218734429496761,NaN,0.220976581963129,NaN,0.222222222222222,NaN
0,0,0.733432984554061,NaN,0.733432984554061,NaN,0.732934728450424,NaN,0.731439960139512,NaN,0.731439960139512,NaN,0.731439960139512,NaN,0.731439960139512,NaN,0.731439960139512,NaN
0,0,0.266567015445939,NaN,0.266567015445939,NaN,0.267065271549576,NaN,0.268560039860488,NaN,0.268560039860488,NaN,0.268560039860488,NaN,0.268560039860488,NaN,0.268560039860488,NaN
0,0,0,0,0.738670694864048,NaN,0.738670694864048,NaN,0.738670694864048,NaN,0.738670694864048,NaN,0.738670694864048,NaN,0.738670694864048,NaN,0.737915407854985,NaN
0,0,0,0,0.261329305135952,NaN,0.261329305135952,NaN,0.261329305135952,NaN,0.261329305135952,NaN,0.261329305135952,NaN,0.261329305135952,NaN,0.262084592145015,NaN
0,0,0,0,0,0,0.754016064257028,NaN,0.753012048192771,NaN,0.753012048192771,NaN,0.753012048192771,NaN,0.753012048192771,NaN,0.753012048192771,NaN
0,0,0,0,0,0,0.245983935742972,NaN,0.246987951807229,NaN,0.246987951807229,NaN,0.246987951807229,NaN,0.246987951807229,NaN,0.246987951807229,NaN
0,0,0,0,0,0,0,0,0.74812030075188,NaN,0.74812030075188,NaN,0.74812030075188,NaN,0.741854636591479,NaN,0.741854636591479,NaN
0,0,0,0,0,0,0,0,0.25187969924812,NaN,0.25187969924812,NaN,0.25187969924812,NaN,0.258145363408521,NaN,0.258145363408521,NaN
0,0,0,0,0,0,0,0,0,0,0.765861027190332,NaN,0.765861027190332,NaN,0.765861027190332,NaN,0.765861027190332,NaN
0,0,0,0,0,0,0,0,0,0,0.234138972809668,NaN,0.234138972809668,NaN,0.234138972809668,NaN,0.234138972809668,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.776408450704225,NaN,0.78169014084507,NaN,0.78169014084507,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.223591549295775,NaN,0.21830985915493,NaN,0.21830985915493,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696787148594378,NaN,0.696787148594378,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303212851405622,NaN,0.303212851405622,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72562358276644,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27437641723356,NaN
