A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.862232187344295,NaN,NaN,0.85949177877429,NaN,NaN,0.859242650722471,NaN,NaN,0.859242650722471,NaN,NaN,0.858744394618834,NaN,NaN,0.858495266567015,NaN,NaN,0.869456900847035,NaN,NaN,0.869456900847035,NaN,NaN,0.869456900847035,NaN,NaN
0.137518684603886,NaN,NaN,0.000249128051818635,NaN,NaN,0.14050822122571,NaN,NaN,0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN,0.130293971101146,NaN,NaN,0.130293971101146,NaN,NaN,0.130293971101146,NaN,NaN
0.000249128051818635,NaN,NaN,0.140259093173891,NaN,NaN,0.000249128051818635,NaN,NaN,0.14050822122571,NaN,NaN,0.141006477329347,NaN,NaN,0.141255605381166,NaN,NaN,0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN
0,0,0,0.767812655705032,NaN,NaN,0.768809167912307,NaN,NaN,0.767812655705032,NaN,NaN,0.769307424015944,NaN,NaN,0.770802192326856,NaN,NaN,0.770802192326856,NaN,NaN,0.770802192326856,NaN,NaN,0.770802192326856,NaN,NaN
0,0,0,0.23168908819133,NaN,NaN,0.00049825610363727,NaN,NaN,0.23168908819133,NaN,NaN,0.230194319880419,NaN,NaN,0.228699551569507,NaN,NaN,0.228699551569507,NaN,NaN,0.228699551569507,NaN,NaN,0.228699551569507,NaN,NaN
0,0,0,0.00049825610363727,NaN,NaN,0.230692575984056,NaN,NaN,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN
0,0,0,0,0,0,0.756797583081571,NaN,NaN,0.732628398791541,NaN,NaN,0.756797583081571,NaN,NaN,0.776435045317221,NaN,NaN,0.774924471299094,NaN,NaN,0.73036253776435,NaN,NaN,0.737915407854985,NaN,NaN
0,0,0,0,0,0,0.212990936555891,NaN,NaN,0.0709969788519638,NaN,NaN,0.0287009063444109,NaN,NaN,0.000755287009063444,NaN,NaN,0.000755287009063444,NaN,NaN,0.074773413897281,NaN,NaN,0.0634441087613293,NaN,NaN
0,0,0,0,0,0,0.0302114803625378,NaN,NaN,0.196374622356495,NaN,NaN,0.214501510574018,NaN,NaN,0.222809667673716,NaN,NaN,0.224320241691843,NaN,NaN,0.194864048338369,NaN,NaN,0.198640483383686,NaN,NaN
0,0,0,0,0,0,0,0,0,0.727911646586345,NaN,NaN,0.727911646586345,NaN,NaN,0.729919678714859,NaN,NaN,0.73995983935743,NaN,NaN,0.747991967871486,NaN,NaN,0.747991967871486,NaN,NaN
0,0,0,0,0,0,0,0,0,0.0973895582329317,NaN,NaN,0.0963855421686747,NaN,NaN,0.177710843373494,NaN,NaN,0.0552208835341365,NaN,NaN,0.034136546184739,NaN,NaN,0.034136546184739,NaN,NaN
0,0,0,0,0,0,0,0,0,0.174698795180723,NaN,NaN,0.17570281124498,NaN,NaN,0.0923694779116466,NaN,NaN,0.204819277108434,NaN,NaN,0.217871485943775,NaN,NaN,0.217871485943775,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.69047619047619,NaN,NaN,0.68796992481203,NaN,NaN,0.681704260651629,NaN,NaN,0.68671679197995,NaN,NaN,0.69047619047619,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.179197994987469,NaN,NaN,0.180451127819549,NaN,NaN,0.137844611528822,NaN,NaN,0.136591478696742,NaN,NaN,0.130325814536341,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.130325814536341,NaN,NaN,0.131578947368421,NaN,NaN,0.180451127819549,NaN,NaN,0.176691729323308,NaN,NaN,0.179197994987469,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681268882175227,NaN,NaN,0.688821752265861,NaN,NaN,0.681268882175227,NaN,NaN,0.72809667673716,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146525679758308,NaN,NaN,0.128398791540786,NaN,NaN,0.146525679758308,NaN,NaN,0.211480362537764,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172205438066465,NaN,NaN,0.182779456193353,NaN,NaN,0.172205438066465,NaN,NaN,0.0604229607250755,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681338028169014,NaN,NaN,0.688380281690141,NaN,NaN,0.688380281690141,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123239436619718,NaN,NaN,0.11443661971831,NaN,NaN,0.112676056338028,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195422535211268,NaN,NaN,0.197183098591549,NaN,NaN,0.198943661971831,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684738955823293,NaN,NaN,0.684738955823293,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110441767068273,NaN,NaN,0.106425702811245,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204819277108434,NaN,NaN,0.208835341365462,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675736961451247,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113378684807256,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210884353741497,NaN,NaN
