A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.859990034877927,NaN,NaN,0.859242650722471,NaN,NaN,0.858993522670653,NaN,NaN,0.858993522670653,NaN,NaN,0.858495266567015,NaN,NaN,0.858495266567015,NaN,NaN,0.858495266567015,NaN,NaN,0.858495266567015,NaN,NaN,0.858495266567015,NaN,NaN
0.139760837070254,NaN,NaN,0.14050822122571,NaN,NaN,0.140757349277529,NaN,NaN,0.140757349277529,NaN,NaN,0.141255605381166,NaN,NaN,0.141255605381166,NaN,NaN,0.141255605381166,NaN,NaN,0.141255605381166,NaN,NaN,0.141255605381166,NaN,NaN
0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN,0.000249128051818635,NaN,NaN
0,0,0,0.767314399601395,NaN,NaN,0.76831091180867,NaN,NaN,0.767314399601395,NaN,NaN,0.769307424015944,NaN,NaN,0.769307424015944,NaN,NaN,0.770802192326856,NaN,NaN,0.770802192326856,NaN,NaN,0.770802192326856,NaN,NaN
0,0,0,0.232187344294968,NaN,NaN,0.231190832087693,NaN,NaN,0.232187344294968,NaN,NaN,0.230194319880419,NaN,NaN,0.230194319880419,NaN,NaN,0.228699551569507,NaN,NaN,0.228699551569507,NaN,NaN,0.228699551569507,NaN,NaN
0,0,0,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN,0.00049825610363727,NaN,NaN
0,0,0,0,0,0,0.736404833836858,NaN,NaN,0.737915407854985,NaN,NaN,0.739425981873112,NaN,NaN,0.737915407854985,NaN,NaN,0.737915407854985,NaN,NaN,0.737915407854985,NaN,NaN,0.737915407854985,NaN,NaN
0,0,0,0,0,0,0.20392749244713,NaN,NaN,0.202416918429003,NaN,NaN,0.202416918429003,NaN,NaN,0.20392749244713,NaN,NaN,0.200151057401813,NaN,NaN,0.200151057401813,NaN,NaN,0.200906344410876,NaN,NaN
0,0,0,0,0,0,0.0596676737160121,NaN,NaN,0.0596676737160121,NaN,NaN,0.0581570996978852,NaN,NaN,0.0581570996978852,NaN,NaN,0.0619335347432024,NaN,NaN,0.0619335347432024,NaN,NaN,0.061178247734139,NaN,NaN
0,0,0,0,0,0,0,0,0,0.728915662650602,NaN,NaN,0.731927710843373,NaN,NaN,0.732931726907631,NaN,NaN,0.73995983935743,NaN,NaN,0.762048192771084,NaN,NaN,0.762048192771084,NaN,NaN
0,0,0,0,0,0,0,0,0,0.177710843373494,NaN,NaN,0.191767068273092,NaN,NaN,0.190763052208835,NaN,NaN,0.206827309236948,NaN,NaN,0.236947791164659,NaN,NaN,0.236947791164659,NaN,NaN
0,0,0,0,0,0,0,0,0,0.0933734939759036,NaN,NaN,0.0763052208835341,NaN,NaN,0.0763052208835341,NaN,NaN,0.0532128514056225,NaN,NaN,0.00100401606425703,NaN,NaN,0.00100401606425703,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.68671679197995,NaN,NaN,0.68671679197995,NaN,NaN,0.684210526315789,NaN,NaN,0.68671679197995,NaN,NaN,0.68796992481203,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.181704260651629,NaN,NaN,0.181704260651629,NaN,NaN,0.182957393483709,NaN,NaN,0.177944862155388,NaN,NaN,0.179197994987469,NaN,NaN
