PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
0.780104712041885,0.741935483870968,0.767015706806283,0.734345351043643,0.767670157068063,0.734345351043643,0.763743455497382,0.736242884250474,0.762434554973822,0.736242884250474,0.762434554973822,0.732447817836812,0.763089005235602,0.730550284629981,0.763089005235602,0.732447817836812,0.763743455497382,0.736242884250474
0.219895287958115,0.258064516129032,0.232984293193717,0.265654648956357,0.232329842931937,0.265654648956357,0.236256544502618,0.263757115749526,0.237565445026178,0.263757115749526,0.237565445026178,0.267552182163188,0.236910994764398,0.269449715370019,0.236910994764398,0.267552182163188,0.236256544502618,0.263757115749526
0,0,0.676741130091984,0.646616541353383,0.678055190538765,0.661654135338346,0.676741130091984,0.654135338345865,0.679369250985545,0.661654135338346,0.676741130091984,0.665413533834586,0.678055190538765,0.669172932330827,0.679369250985545,0.669172932330827,0.680683311432326,0.669172932330827
0,0,0.323258869908016,0.353383458646617,0.321944809461235,0.338345864661654,0.323258869908016,0.345864661654135,0.320630749014455,0.338345864661654,0.323258869908016,0.334586466165414,0.321944809461235,0.330827067669173,0.320630749014455,0.330827067669173,0.319316688567674,0.330827067669173
0,0,0,0,0.688,0.629213483146067,0.684,0.640449438202247,0.682,0.646067415730337,0.686,0.646067415730337,0.686,0.646067415730337,0.684,0.646067415730337,0.686,0.646067415730337
0,0,0,0,0.312,0.370786516853933,0.316,0.359550561797753,0.318,0.353932584269663,0.314,0.353932584269663,0.314,0.353932584269663,0.316,0.353932584269663,0.314,0.353932584269663
0,0,0,0,0,0,0.639473684210526,0.530769230769231,0.639473684210526,0.538461538461538,0.634210526315789,0.530769230769231,0.642105263157895,0.530769230769231,0.644736842105263,0.538461538461538,0.644736842105263,0.538461538461538
0,0,0,0,0,0,0.360526315789474,0.469230769230769,0.360526315789474,0.461538461538462,0.365789473684211,0.469230769230769,0.357894736842105,0.469230769230769,0.355263157894737,0.461538461538462,0.355263157894737,0.461538461538462
0,0,0,0,0,0,0,0,0.654838709677419,0.642857142857143,0.680645161290323,0.653061224489796,0.683870967741935,0.653061224489796,0.680645161290323,0.663265306122449,0.680645161290323,0.673469387755102
0,0,0,0,0,0,0,0,0.345161290322581,0.357142857142857,0.319354838709677,0.346938775510204,0.316129032258064,0.346938775510204,0.319354838709677,0.336734693877551,0.319354838709677,0.326530612244898
0,0,0,0,0,0,0,0,0,0,0.595330739299611,0.560975609756098,0.607003891050584,0.560975609756098,0.618677042801556,0.585365853658537,0.618677042801556,0.585365853658537
0,0,0,0,0,0,0,0,0,0,0.404669260700389,0.439024390243902,0.392996108949416,0.439024390243902,0.381322957198444,0.414634146341463,0.381322957198444,0.414634146341463
0,0,0,0,0,0,0,0,0,0,0,0,0.607476635514019,0.493506493506494,0.602803738317757,0.506493506493506,0.607476635514019,0.506493506493506
0,0,0,0,0,0,0,0,0,0,0,0,0.392523364485981,0.506493506493506,0.397196261682243,0.493506493506494,0.392523364485981,0.493506493506494
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563157894736842,0.446153846153846,0.557894736842105,0.446153846153846
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436842105263158,0.553846153846154,0.442105263157895,0.553846153846154
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613496932515337,0.53968253968254
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386503067484663,0.46031746031746
