PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
540,2197,540,2197,540,2197,540,2197,540,2197,540,2197,540,2197,540,2197,540,2197
41,122,41,122,41,122,41,122,41,122,41,122,41,122,41,122,41,122
0,0,518,852,518,852,518,852,518,852,518,852,518,852,518,852,518,852
0,0,31,49,31,49,31,49,31,49,31,49,31,49,31,49,31,49
0,0,0,0,347,565,347,565,347,565,347,565,347,565,347,565,347,565
0,0,0,0,21,33,21,33,21,33,21,33,21,33,21,33,21,33
0,0,0,0,0,0,415,272,415,272,415,272,415,272,415,272,415,272
0,0,0,0,0,0,24,14,24,14,24,14,24,14,24,14,24,14
0,0,0,0,0,0,0,0,230,319,230,319,230,319,230,319,230,319
0,0,0,0,0,0,0,0,13,18,13,18,13,18,13,18,13,18
0,0,0,0,0,0,0,0,0,0,271,189,271,189,271,189,271,189
0,0,0,0,0,0,0,0,0,0,15,8,15,8,15,8,15,8
0,0,0,0,0,0,0,0,0,0,0,0,166,229,166,229,166,229
0,0,0,0,0,0,0,0,0,0,0,0,6,13,6,13,6,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,195,151,195
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,173
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
