PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
2040,617,2040,617,2040,617,2040,617,2040,617,2040,617,2040,617,2040,617,2040,617
100,55,100,55,100,55,100,55,100,55,100,55,100,55,100,55,100,55
0,0,546,762,546,762,546,762,546,762,546,762,546,762,546,762,546,762
0,0,35,42,35,42,35,42,35,42,35,42,35,42,35,42,35,42
0,0,0,0,376,502,376,502,376,502,376,502,376,502,376,502,376,502
0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25
0,0,0,0,0,0,285,376,285,376,285,376,285,376,285,376,285,376
0,0,0,0,0,0,19,17,19,17,19,17,19,17,19,17,19,17
0,0,0,0,0,0,0,0,227,301,227,301,227,301,227,301,227,301
0,0,0,0,0,0,0,0,13,14,13,14,13,14,13,14,13,14
0,0,0,0,0,0,0,0,0,0,198,242,198,242,198,242,198,242
0,0,0,0,0,0,0,0,0,0,11,13,11,13,11,13,11,13
0,0,0,0,0,0,0,0,0,0,0,0,174,205,174,205,174,205
0,0,0,0,0,0,0,0,0,0,0,0,11,8,11,8,11,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,179,152,179
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,6,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,157
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
