PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
2027,630,2027,630,2027,630,2027,630,2027,630,2027,630,2027,630,2027,630,2027,630
105,50,105,50,105,50,105,50,105,50,105,50,105,50,105,50,105,50
0,0,756,552,756,552,756,552,756,552,756,552,756,552,756,552,756,552
0,0,43,34,43,34,43,34,43,34,43,34,43,34,43,34,43,34
0,0,0,0,492,386,492,386,492,386,492,386,492,386,492,386,492,386
0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25
0,0,0,0,0,0,358,303,358,303,358,303,358,303,358,303,358,303
0,0,0,0,0,0,23,13,23,13,23,13,23,13,23,13,23,13
0,0,0,0,0,0,0,0,290,238,290,238,290,238,290,238,290,238
0,0,0,0,0,0,0,0,17,10,17,10,17,10,17,10,17,10
0,0,0,0,0,0,0,0,0,0,239,201,239,201,239,201,239,201
0,0,0,0,0,0,0,0,0,0,14,10,14,10,14,10,14,10
0,0,0,0,0,0,0,0,0,0,0,0,207,172,207,172,207,172
0,0,0,0,0,0,0,0,0,0,0,0,11,8,11,8,11,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,157,174,157
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,11,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,141
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
