PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
474,193,474,193,474,193,474,193,474,193,474,193,474,193,474,193,474,193
28,80,28,80,28,80,28,80,28,80,28,80,28,80,28,80,28,80
0,0,215,114,215,114,215,114,215,114,215,114,215,114,215,114,215,114
0,0,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39
0,0,0,0,138,82,138,82,138,82,138,82,138,82,138,82,138,82
0,0,0,0,8,28,8,28,8,28,8,28,8,28,8,28,8,28
0,0,0,0,0,0,106,60,106,60,106,60,106,60,106,60,106,60
0,0,0,0,0,0,7,19,7,19,7,19,7,19,7,19,7,19
0,0,0,0,0,0,0,0,76,57,76,57,76,57,76,57,76,57
0,0,0,0,0,0,0,0,4,16,4,16,4,16,4,16,4,16
0,0,0,0,0,0,0,0,0,0,56,53,56,53,56,53,56,53
0,0,0,0,0,0,0,0,0,0,6,13,6,13,6,13,6,13
0,0,0,0,0,0,0,0,0,0,0,0,50,44,50,44,50,44
0,0,0,0,0,0,0,0,0,0,0,0,2,13,2,13,2,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,45,38,45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
