PPNP1s,PNNN1s,PPNP15s,PNNN15s,PPNP2s,PNNN2s,PPNP25s,PNNN25s,PPNP3s,PNNN3s,PPNP35s,PNNN35s,PPNP4s,PNNN4s,PPNP45s,PNNN45s,PPNP5s,PNNN5s
3610,530,3610,530,3610,530,3610,530,3610,530,3610,530,3610,530,3610,530,3610,530
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1603,467,1603,467,1603,467,1603,467,1603,467,1603,467,1603,467,1603,467
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1081,299,1081,299,1081,299,1081,299,1081,299,1081,299,1081,299
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,800,235,800,235,800,235,800,235,800,235,800,235
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,643,185,643,185,643,185,643,185,643,185
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,538,152,538,152,538,152,538,152
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,446,145,446,145,446,145
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,130,387,130
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
