TIME_SAMPLE,MINACCX1,MINACCY1,MINACCZ1,MINACCX2,MINACCY2,MINACCZ2,MINACCX3,MINACCY3,MINACCZ3,MAXACCX1,MAXACCY1,MAXACCZ1,MAXACCX2,MAXACCY2,MAXACCZ2,MAXACCX3,MAXACCY3,MAXACCZ3,MEDIANACCX1,MEDIANACCY1,MEDIANACCZ1,MEDIANACCX2,MEDIANACCY2,MEDIANACCZ2,MEDIANACCX3,MEDIANACCY3,MEDIANACCZ3,MEANACCX1,MEANACCY1,MEANACCZ1,MEANCACCX2,MEANACCY2,MEANACCZ2,MEANACCX3,MEANACCY3,MEANACCZ3,ARMEMANX1,ARMMEANY1,ARMMEANZ1,ARMMEANX2,ARMMEANY2,ARMMEANZ2,ARMMEANX3,ARMMEANY3,ARMMEANZ3,RMSX1,RMSY1,RMSZ1,RMSX2,RMSY2,RMSZ2,RMSX3,RMSY3,RMSZ3,VARX1,VARY1,VARZ1,VARX2,VARY2,VARZ2,VARX3,VARY3,VARZ3,STDX1,STDY1,STDZ1,STDX2,STDY2,STDZ2,STDX3,STDY3,STDZ3,KURTX1,KURTY1,KURTZ1,KURTX2,KURTY2,KURTZ2,KURTX3,KURTY3,KURTZ3,SKEWX1,SKEWY1,SKEWZ1,SKEWX2,SKEWY2,SKEWZ2,SKEWX3,SKEWY3,SKEWZ3,MODEX1,MODEY1,MODEZ1,MODEX2,MODEY2,MODEZ2,MODEX3,MODEY3,MODEZ3,TRIMX1,TRIMY1,TRIMZ1,TRIMX2,TRIMY2,TRIMZ2,TRIMX3,TRIMY3,TRIMZ3,ENTROPYX1,ENTROPYY1,ENTROPYZ1,ENTROPYX2,ENTROPYY2,ENTROPYZ2,ENTROPYX3,ENTROPYY3,ENTROPYZ3,RANGEX1,RANGEY1,RANGEZ1,RANGEX2,RANGEY2,RANGEZ2,RANGEX3,RANGEY3,RANGEZ3,SMV1,SMV2,SMV3,SMA1,SMA2,SMA3,EVA1,EVA2,EVA3,AAE1,AAE2,AAE3,FREEZE
750000,-121,950,257,-236,935,131,-106,933,-38,90,1058,396,218,1037,252,38,1066,97,-50,990,326,-81,972,191,-19,1019,14,-50.0120481927711,991.012048192771,324.644578313253,-69.2650602409639,970.909638554217,192.656626506024,-23.7168674698795,1017.45180722892,13.8313253012048,0,990.77184525714,323.111264697461,0,970.683910512326,189.947929945571,0,1017.08488756491,0,62.2737833794089,991.132958875183,325.409852784387,101.198064175018,971.023342317424,193.98268771344,37.6906399169528,1017.6337749898,25.1175549420134,1385.16349032494,241.115005476451,500.485031033224,5476.38992332968,222.143300474626,515.814713399051,863.295107703541,372.564330047462,442.250164293538,37.2177845972183,15.5278783314544,22.3715227696557,74.0026345701941,14.9044724990395,22.7115546231219,29.3818840053449,19.3019255528422,21.0297447510315,4.53446704075836,4.09882380197129,3.76043759350864,4.29704162305781,4.76860067104321,3.11917807488466,2.62175473092809,4.22103588858014,4.33538157632592,0.822882765669668,0.478878656962698,0.178227021339932,0.689727552362144,0.541868174146468,0.105040142508979,-0.103009658362317,-0.364609628895632,0.437581099168867,-50,980,326,-109,972,191,-19,1028,19,-51.8933333333333,990.58,324.446666666667,-71.68,970.546666666667,192.513333333333,-23.4133333333333,1017.59333333333,13.36,0.91695132483845,0.91695132483845,0.91695132483845,0.91695132483845,0.91695132483845,0.91695132483845,0.91695132483845,0.91695132483845,0.91695132483845,211,108,139,454,102,121,144,133,135,578.211629810541,550.71742230766,563.550088090336,758.536666666667,690.846666666667,590.56,1390.09188596723,5574.4008646241,865.150250057002,604303.156666667,548218.686666667,574155.253333333,1
752593,-161,931,277,-263,916,131,-106,961,-67,40,1039,386,118,1009,262,48,1066,87,-50,990,326,-81,972,191,-29,1019,0,-54.9939759036145,988.560240963855,328.861445783133,-80.210843373494,968.849397590361,188.969879518072,-29.5602409638554,1017.46987951807,2.95180722891566,-49.8779970718594,988.310045693403,327.440221110334,0,968.664661174783,186.101490064292,0,1017.12520846026,0,62.7122420361832,988.684604405243,329.559316927156,98.8199348212307,968.941327006297,190.351213122873,39.8339172547143,1017.6418583211,28.4505489391639,913.993902884265,247.387258123403,462.277656078861,3351.79163928441,179.21960569551,527.144541803578,717.253924790069,352.117269076305,805.573420956553,30.232332078162,15.7285491423527,21.5006431550049,57.894659851185,13.3872926947725,22.9596285205919,26.7815967557961,18.7647880104281,28.3826253358732,4.84912922074937,4.4742680977302,3.09108071657286,4.68505848841314,3.9887978990924,2.92440492301208,2.95521984632563,2.77903331145251,3.01584638997031,-0.235006440735629,-0.3117482014685,-0.122029150411012,-0.189190745913723,-0.300913550197451,-0.0367233911517105,2.99149034341813e-05,-0.0751272509153635,0.237320765403532,-50,990,326,-54,962,171,-38,1028,9,-54.74,988.78,329.18,-79.38,969.1,189.166666666667,-29.6266666666667,1017.62,2.61333333333333,0.94975288450321,0.94975288450321,0.94975288450321,0.94975288450321,0.94975288450321,0.94975288450321,0.94975288450321,0.94975288450321,0.94975288450321,201,108,109,381,93,131,154,105,154,577.655840284989,549.084666290394,563.652541631264,760.27,687.81,593.636666666667,926.295029573289,3405.1779165296,1007.22141917468,603155.143333333,544948.263333333,574355.09,1
755187,-151,941,257,-272,925,111,-106,942,-67,10,1039,396,27,1009,252,19,1076,38,-70,990,326,-100,972,191,-48,1019,-9,-64.8614457831325,990.5,324.542168674699,-99.6506024096386,969.566265060241,189.5,-44.3674698795181,1018.76506024096,-8.86144578313253,0,990.250701809621,322.765507552885,0,969.364482285181,185.57590896169,0,1018.26935836987,0,69.8637658814104,990.624146079218,325.423172137227,109.784180395266,969.666903433575,191.309674523441,49.810060918199,1019.01021844788,23.7949321322992,678.023110624317,247.439393939394,576.09215041986,2135.18627236218,196.344067177802,693.318181818182,515.676268711208,502.605074844833,490.629171230376,26.0388769078913,15.7302064175711,24.0019197236359,46.2080758348817,14.0122827254449,26.330935832556,22.7085065275374,22.4188553419846,22.1501505915959,3.53995483872955,3.43896263419321,3.61883528947217,3.74763948686971,3.66715579598912,2.84310313489304,3.03728101432556,3.17833088432831,3.07344550296287,0.119045231894506,-0.212871505824297,0.0985154392844338,-0.0779343808955058,-0.132160460264177,-0.258142679878923,0.444049520149133,-0.445670917099794,-0.139613320645424,-80,990,316,-118,972,202,-48,1019,-9,-65.1266666666667,990.8,324.466666666667,-99.64,969.553333333333,189.82,-44.84,1019.40666666667,-8.57333333333333,0.976661860699991,0.976661860699991,0.976661860699991,0.976661860699991,0.976661860699991,0.976661860699991,0.976661860699991,0.976661860699991,0.976661860699991,161,98,139,299,84,141,125,134,105,578.205625451395,550.201630624974,564.542239666332,763.68,696.67,598.876666666667,713.323218860315,2171.5528244915,720.791148597021,604304.953333333,547194.576666667,576257.416666667,1
757781,-181,950,237,-272,925,90,-106,961,-77,30,1058,376,54,1018,232,9,1104,58,-80,1000,306,-109,972,171,-38,1019,-19,-81.2228915662651,997.825301204819,303.704819277108,-109.28313253012,969.71686746988,175.39156626506,-41.7710843373494,1017.90963855422,-14.7168674698795,0,997.485465416694,301.698781946653,0,969.445041968242,170.489972489638,0,1017.21120673258,0,88.5183596775268,997.997075471969,304.659132059073,127.429522217303,969.852488473165,177.580882640891,50.3684018370095,1018.26269186225,26.9187756394623,1245.84698795181,344.908689302666,584.08809784593,4321.51328952172,264.640562248996,777.451807228915,796.953340635269,723.234209565535,511.113289521723,35.2965577351646,18.5717174570007,24.1679146358541,65.7382178760706,16.2677768072037,27.8828227987934,28.2303620351435,26.8930141405818,22.6078147887345,3.54505711113042,4.0795120660035,3.38228389007736,2.54169126026042,3.04940300274068,2.99129446678346,2.32213178184471,3.45406543977019,3.3287620036767,-0.0631046826254369,0.642424675602488,-0.419962083264609,-0.199603102524188,-0.0901745479823177,-0.27864079688926,-0.0705971589181057,0.481236298795459,0.277932850235447,-80,1000,306,-118,981,171,-48,1009,-19,-81.0333333333333,997.126666666667,304.14,-108.713333333333,969.786666666667,176.08,-41.54,1017.03333333333,-15.1266666666667,0.97735699483046,0.97735699483046,0.97735699483046,0.97735699483046,0.97735699483046,0.97735699483046,0.97735699483046,0.97735699483046,0.97735699483046,211,108,139,326,93,142,115,143,135,579.396705782363,550.069073063032,564.124943257031,765.456666666667,694.876666666667,599.253333333333,1282.86739592912,4397.62424647149,926.594503281483,606813.47,546907.53,575533.346666667,1
760375,-181,941,217,-263,935,70,-116,933,-87,20,1049,415,63,1018,262,19,1123,48,-90,995,306,-118,972,181,-48,1009,-19,-85.2831325301205,995.024096385542,305.385542168675,-111.566265060241,969.493975903614,178.421686746988,-45.2228915662651,1013.67469879518,-18.0361445783133,0,994.629198771316,302.849968048619,0,969.157631445376,172.353733812148,0,1012.59517922659,0,91.808043588075,995.221565208181,306.617398259888,129.599708091297,969.663231814288,180.995473550537,50.8088195550567,1014.22058031878,29.7639306252561,1162.50722891566,395.393355239138,758.46863818912,4375.41073384447,330.202993793356,930.669587440672,539.67729098211,1113.69959839357,563.986564439576,34.0955602522625,19.8845003769051,27.5403093335772,66.1468875597671,18.1714884859044,30.5068777071773,23.2309554470347,33.3721380554734,23.7484013028157,3.06420446483928,3.21027717842606,4.71274219418776,2.70402856152116,2.60898301179791,3.85829514558997,2.99466046869229,3.78333474033712,2.88336138890526,0.327720157435955,0.0541368411461388,0.0335311695824356,0.388201654979002,0.376777032485646,-0.235629418508914,0.0221014978658459,0.437729347254956,0.0355886000824793,-80,990,316,-127,962,171,-58,1019,-9,-86.06,994.866666666667,305.406666666667,-113.22,968.926666666667,178.833333333333,-45.3466666666667,1012.66,-18.2133333333333,0.981303978558843,0.981303978558843,0.981303978558843,0.981303978558843,0.981303978558843,0.981303978558843,0.981303978558843,0.981303978558843,0.981303978558843,201,108,198,326,83,192,135,190,135,578.405563630739,550.446725994136,561.844120564259,766.883333333333,698.953333333333,599.236666666667,1253.43695466709,4481.36311113639,1232.92981279369,604742.93,547690.566666667,571101.316666667,1
762968,-151,950,287,-218,935,141,-174,942,-106,-40,1019,405,-63,990,282,0,1104,48,-90,980,336,-145,962,202,-77,1019,-19,-91.1867469879518,983.771084337349,338.548192771084,-137.765060240964,962.319277108434,202.843373493976,-79.6686746987952,1015.53012048193,-18.4156626506024,-85.7428418166896,983.567150058198,337.246924046635,-128.856941897574,962.143673199964,199.662073085977,0,1014.76394844683,0,93.6485032911616,983.873198069506,339.200841454401,141.499478478327,962.406938076525,204.414739053153,85.0093191206082,1015.91428938346,31.2048227659671,457.777035414384,202.141219423147,445.012814895946,1049.21113545089,169.74592917123,643.829864914202,884.816830960203,785.147572106607,638.450419861263,21.3957246994437,14.217637617521,21.0953268497065,32.3915287606326,13.0286579957888,25.3738027286846,29.7458708220184,28.0204848656587,25.26757645405,2.95258022120484,2.79801472983551,2.98516920587641,2.87931961017879,2.34230466705681,3.33270104338834,3.00152316148719,3.41878817701009,3.86763425436457,-0.14900150701437,0.129023983599209,0.184878382189165,0.186678340645879,-0.097555648602952,0.215630671368335,0.149900557752024,0.175136792708245,-0.35169037348531,-90,980,336,-163,962,191,-87,1019,-9,-90.9933333333333,983.626666666667,338.2,-137.9,962.54,202.52,-80.12,1015.28666666667,-17.8733333333333,0.984868779080223,0.984868779080223,0.984868779080223,0.984868779080223,0.984868779080223,0.984868779080223,0.984868779080223,0.984868779080223,0.984868779080223,111,69,118,155,55,141,174,162,154,578.134798440559,549.968071030558,564.163148834268,782.14,720.953333333333,619.413333333333,558.70852485314,1157.32429481165,1137.88618526015,604147.993333333,546712.48,575622.8,1
765562,-212,950,287,-254,935,141,-145,961,-87,60,1029,386,-27,1000,313,0,1085,48,-80,980,336,-127,962,202,-58,1019,-9,-79.6566265060241,986.433734939759,338.186746987952,-129.728915662651,963.397590361446,200.801204819277,-61.9518072289157,1015.72289156627,-11.066265060241,0,986.19410225532,337.056178372335,-112.216099228797,963.220070531308,197.41807066411,0,1015.28047543754,0,85.2340858905072,986.554372612317,338.754051236167,136.008393610579,963.486452721736,202.544491616873,67.5288425660714,1015.94455426928,25.6368287421008,925.245016429355,239.459218692954,386.358853596204,1678.80485578678,172.265206279664,707.40872581234,726.494633077765,453.07426067908,538.02588535962,30.4178404300725,15.4744699002245,19.6560131663622,40.9732212034493,13.1249840487394,26.5971563482328,26.9535643853974,21.2855411178358,23.1953850013234,8.54136360201032,3.1252764644683,2.66608479879133,3.1106162347808,2.7824099100737,4.43883571460636,2.97806079185744,3.45375406891073,3.69255188704615,0.435777954835182,0.471771484043556,0.171913259372962,0.0189926294453501,0.112257291837057,0.617787317488013,-0.0264126121896007,0.15417780008884,-0.2123952385842,-80,980,336,-136,972,191,-58,1019,-19,-80.0266666666667,985.973333333333,338,-129.84,963.18,200.053333333333,-61.8733333333333,1015.67333333333,-10.88,0.978041453880789,0.978041453880789,0.978041453880789,0.978041453880789,0.978041453880789,0.978041453880789,0.978041453880789,0.978041453880789,0.978041453880789,272,79,99,227,65,172,145,124,135,579.044459022362,549.9043301345,563.454105030423,777.766666666667,715.973333333333,607.363333333333,942.998372314303,1688.30471576846,779.458077989432,606070.806666667,546598.546666667,574006.27,1
768156,-141,950,297,-218,935,151,-106,971,-77,0,1009,405,-45,981,252,-9,1047,38,-70,990,336,-127,962,202,-58,1019,-9,-74.921686746988,985.379518072289,338.05421686747,-126.427710843373,963.457831325301,201.939759036145,-61.7289156626506,1016.51807228916,-12.921686746988,0,985.254832854388,337.259740254383,-116.563239079216,963.376879750835,199.65460798722,-53.045319157842,1016.31176551708,0,77.7719480507879,985.441821893789,338.462069202971,130.771367670487,963.498282177522,203.052221901847,64.5477781387602,1016.62106883064,25.0595675882654,437.85443592552,123.533880978459,277.59098211026,1123.9553486674,78.419423147134,453.269076305221,358.113946695875,210.675428988682,463.805951077035,20.9249715872094,11.1145796581994,16.6610618542234,33.5254433030705,8.85547419098119,21.2901168692241,18.9238988238649,14.5146625516642,21.5361545099638,3.74471009877548,2.87471221410794,4.70237556870423,2.82844274108022,3.07202713086387,2.44272934110612,2.91981281562348,3.11299184317681,3.21846999239738,0.00668097683967113,-0.0313164679283845,0.706040408455096,-0.144441954024032,-0.0458506752584944,-0.0681799891799137,0.0825978770071997,-0.0730572885431197,-0.290466174463138,-70,990,336,-136,962,191,-58,1019,-9,-74.9266666666667,985.266666666667,337.4,-125.9,963.5,202.12,-61.8066666666667,1016.5,-12.4933333333333,0.982534611118938,0.982534611118938,0.982534611118938,0.982534611118938,0.982534611118938,0.982534611118938,0.982534611118938,0.982534611118938,0.982534611118938,141,59,108,173,46,101,97,76,115,578.112569850222,549.609240679769,563.77614941847,773.756666666667,714.81,607.413333333333,438.982386102328,1199.25713315827,479.070119185792,604074.35,545952.03,574533.08,1
770750,-212,941,257,-254,925,151,-106,961,-77,40,1039,386,-63,1027,262,-19,1076,19,-80,990,336,-127,962,202,-67,1019,-19,-80.8373493975904,986.277108433735,336.740963855422,-134.21686746988,961.313253012048,202.012048192771,-69.5542168674699,1016.07228915663,-20.855421686747,-72.5167186022858,986.102202285354,335.749426461171,-124.241607661865,961.133950857868,199.773887528392,-64.7160235164216,1015.80063673012,0,85.3285994231598,986.364598149147,337.223201977277,139.231712908798,961.403642522443,203.115789874607,71.4529923829781,1016.20903124344,28.4998414707068,750.815808689303,173.631836436655,326.980978459292,1379.61328952172,174.846732384082,449.866520627966,269.363709382987,279.58262139467,379.578970427163,27.4010183878137,13.1769433647055,18.082615365574,37.1431459292522,13.2229623150065,21.2100570632888,16.4123035976973,16.7207243083148,19.4827865159777,7.71404821284021,4.98345080754623,5.33002569553061,3.70703185335701,6.35043297399301,2.63816030272867,3.10164024993036,4.24983368929846,2.30660698401594,-0.392091087384566,0.087338389997939,-0.242362826231036,-0.66899985741983,0.669562080452016,0.0657218827797219,0.0780023465643172,0.464755155533517,-0.0833641769029222,-70,990,336,-127,962,202,-67,1019,-29,-80.2666666666667,986.26,336.666666666667,-132.586666666667,961.066666666667,202,-69.5266666666667,1015.62666666667,-20.6733333333333,0.986772522078482,0.986772522078482,0.986772522078482,0.986772522078482,0.986772522078482,0.986772522078482,0.986772522078482,0.986772522078482,0.986772522078482,252,98,129,191,102,111,87,115,96,578.694009170392,549.100941004884,563.834916499986,777.066666666667,717.973333333333,613.473333333333,755.308808530897,1439.69619964711,424.380814366066,605299.953333333,544999.28,574691.206666667,1
773343,-151,941,257,-245,925,121,-135,914,-97,-40,1049,396,-36,1000,262,0,1123,58,-90,980,336,-136,962,202,-77,1014,-9,-89.6566265060241,985.096385542169,333.825301204819,-141.427710843373,962.096385542169,201.28313253012,-71.644578313253,1014.51204819277,-9.7289156626506,-83.0354417714972,984.828478922987,332.460288326184,-129.098000674158,961.886948006991,197.29936556064,0,1013.89868916239,0,92.7687564251817,985.232148045408,334.498122529714,146.932961518928,962.201272684996,203.087271287583,75.4320487319787,1014.81895530592,26.4099971943813,571.172289156627,269.117926250457,452.387477181453,1597.11898503103,203.057320189851,733.961774370207,560.424424972617,626.590763052207,606.489704271631,23.8992110572008,16.4048141181318,21.2694023701056,39.9639710868556,14.2498182511164,27.0917288922322,23.673285048185,25.0317950425495,24.6270116796909,2.70921786245092,5.20037813128842,3.90133720961948,3.00035905549582,2.98192588746976,3.42227800553919,3.68465645760525,5.95022508830722,3.89956034258152,-0.30685224791465,0.873688802480916,-0.0134059437567889,-0.347452356347124,0.141531339232992,-0.331882673620221,0.408871455727894,0.157314843176181,-0.245568822351599,-70,980,336,-136,953,212,-77,1009,-9,-89.2333333333333,984.286666666667,333.806666666667,-140.446666666667,961.986666666667,201.593333333333,-72.1466666666667,1014.34,-9.46666666666667,0.979048149246031,0.979048149246031,0.979048149246031,0.979048149246031,0.979048149246031,0.979048149246031,0.979048149246031,0.979048149246031,0.979048149246031,111,108,139,209,75,141,135,209,155,577.946740499424,550.127940994267,563.106592383845,779.413333333333,721.993333333333,612.043333333333,657.823086532668,1825.61147165173,712.830680699411,603784.84,547061.313333333,573388.896666667,1
