TIME_SAMPLE,MINACCX1,MINACCY1,MINACCZ1,MINACCX2,MINACCY2,MINACCZ2,MINACCX3,MINACCY3,MINACCZ3,MAXACCX1,MAXACCY1,MAXACCZ1,MAXACCX2,MAXACCY2,MAXACCZ2,MAXACCX3,MAXACCY3,MAXACCZ3,MEDIANACCX1,MEDIANACCY1,MEDIANACCZ1,MEDIANACCX2,MEDIANACCY2,MEDIANACCZ2,MEDIANACCX3,MEDIANACCY3,MEDIANACCZ3,MEANACCX1,MEANACCY1,MEANACCZ1,MEANCACCX2,MEANACCY2,MEANACCZ2,MEANACCX3,MEANACCY3,MEANACCZ3,ARMEMANX1,ARMMEANY1,ARMMEANZ1,ARMMEANX2,ARMMEANY2,ARMMEANZ2,ARMMEANX3,ARMMEANY3,ARMMEANZ3,RMSX1,RMSY1,RMSZ1,RMSX2,RMSY2,RMSZ2,RMSX3,RMSY3,RMSZ3,VARX1,VARY1,VARZ1,VARX2,VARY2,VARZ2,VARX3,VARY3,VARZ3,STDX1,STDY1,STDZ1,STDX2,STDY2,STDZ2,STDX3,STDY3,STDZ3,KURTX1,KURTY1,KURTZ1,KURTX2,KURTY2,KURTZ2,KURTX3,KURTY3,KURTZ3,SKEWX1,SKEWY1,SKEWZ1,SKEWX2,SKEWY2,SKEWZ2,SKEWX3,SKEWY3,SKEWZ3,MODEX1,MODEY1,MODEZ1,MODEX2,MODEY2,MODEZ2,MODEX3,MODEY3,MODEZ3,TRIMX1,TRIMY1,TRIMZ1,TRIMX2,TRIMY2,TRIMZ2,TRIMX3,TRIMY3,TRIMZ3,RANGEX1,RANGEY1,RANGEZ1,RANGEX2,RANGEY2,RANGEZ2,RANGEX3,RANGEY3,RANGEZ3,SMV1,SMV2,SMV3,SMA1,SMA2,SMA3,EVA1,EVA2,EVA3,AAE1,AAE2,AAE3,FREEZE
670000,-202,980,217,27,953,40,-38,1000,0,-141,1019,277,81,1000,101,9,1047,58,-171,1000,247,45,981,70,-9,1019,29,-169.568862275449,998.688622754491,250.053892215569,46.4011976047904,986.077844311377,68.8383233532934,-11.4011976047904,1018.53293413174,24.7065868263473,-168.892012327087,998.612520710658,249.362726768308,44.039347007116,986.018195706784,65.7120692059454,0,1018.45669041149,0,169.906102987313,998.726611396421,250.397803265603,47.5776705034927,986.107629767172,70.26493917059,14.6863413672191,1018.5710872984,27.3353536082164,115.174446288146,76.3361950797201,173.14768054253,111.22963711132,59.0963133973019,199.642377894813,86.2175889185484,78.1901738691294,137.630257557175,10.7319358127109,8.73705872017123,13.1585592122591,10.5465462171898,7.68741265949096,14.1294861157373,9.28534269257459,8.84252078703406,11.7315922856693,3.12894654054768,2.91765220842899,2.72232893229166,3.89286230402873,4.1707739706426,2.74876008704253,2.90479679973612,3.07893257804412,2.76983371721658,-0.0946681685272651,-0.16931890726691,0.0130318030583106,0.551592088813134,-0.14074231005316,-0.0160565425906344,-0.174726187646205,0.114831692018991,-0.162149915866057,-171,1000,247,45,981,70,-9,1019,29,-169.476821192053,998.801324503311,250.046357615894,46.0728476821192,986.211920529801,68.8079470198676,-11.2516556291391,1018.49006622517,24.7814569536424,61,39,60,54,47,61,47,47,58,1043.52827490526,989.724212405519,1019.00601006921,1418.31137724551,1101.31736526946,1055.17964071856,188.22399594065,201.756349438636,154.301542697386,1089021.98802395,979609.053892216,1038449.97005988,1
672609,-202,970,227,9,962,30,-97,1000,-19,-141,1019,306,90,1009,111,38,1038,67,-161,1000,257,54,981,70,-19,1019,19,-165.556886227545,998.904191616766,256.574850299401,50.3353293413174,985.329341317365,72.0179640718563,-17.0718562874251,1017.76646706587,19.7844311377245,-164.712016388246,998.820878479739,255.757324371286,44.6888642423957,985.250902503264,68.7781280351864,0,1017.68359634315,0,165.979762131188,998.945740675824,256.982606182285,52.4323344950309,985.368547119652,73.4776433471861,28.2432759206601,1017.80788571104,26.1918303302366,141.043431209869,83.5088377461944,210.667556453358,216.802539499315,77.728230286415,213.656301854123,509.28396219609,84.8186278046318,296.362888680471,11.8761707300741,9.13831700840994,14.514391356628,14.7242160911647,8.81636151064684,14.6169867569935,22.5673206694125,9.20970291619832,17.2151935417663,2.88060957290188,3.11944222713569,3.07229761737347,2.9146579311397,3.84696551848035,2.70143057197369,4.14254536295103,2.7894062842713,2.40313276280517,-0.162483880037893,-0.261927886170532,0.0835187242864406,3.59195397094299e-05,-0.0112447352638863,-0.0337000569575789,-0.640097745314242,-0.0263648167245812,0.102748606066151,-161,1000,257,54,981,70,-9,1019,19,-165.437086092715,999.039735099338,256.668874172185,50.4834437086093,985.350993377483,71.9867549668874,-16.3245033112583,1017.6357615894,19.5562913907285,61,49,79,81,47,81,135,38,86,1044.70324438701,989.45775624163,1018.49473862429,1421.03592814371,1107.68263473054,1060.55089820359,219.178831254585,239.354549115433,592.643827790944,1091481.93413174,979099.28742515,1037416.58682635,1
675218,-202,980,217,-9,962,20,-97,990,-29,-141,1019,277,100,1009,191,19,1057,77,-171,1000,247,45,990,60,-19,1019,9,-169.365269461078,999.610778443114,244.544910179641,41.2874251497006,986.167664670659,62.2395209580838,-24.7245508982036,1018.0119760479,12.7904191616766,-168.436470847564,999.551714505376,243.873063964354,0,986.099246633271,57.0959907637949,0,1017.90283439822,0,169.845086162106,999.640309562892,244.878840871536,44.8783452041569,986.201841336898,64.9405070897806,32.2318509485394,1018.0665837077,22.2718640473516,163.73926845105,59.3957867397734,164.41815164851,311.278334896471,67.8150927061537,345.580838323354,430.164634586249,111.855277397013,334.443763076256,12.796064568884,7.70686620746549,12.8225641604365,17.6430817856879,8.23499196758283,18.5898046876064,20.7404106658053,10.5761655337373,18.2878036701036,3.28397332852526,2.47145178553808,2.60562434429549,3.84210196927258,3.35866959114564,15.346655742145,3.94457702781189,4.38465752969165,4.18918714633612,-0.604348798659629,0.00947301265713574,-0.0157782943964256,-0.307666925010057,-0.0919347201770065,1.90509385431301,-1.11929639377449,0.102451474270594,0.616543103852496,-161,1000,247,45,990,60,-19,1019,9,-168.880794701987,999.556291390728,244.682119205298,41.6622516556291,986.198675496689,61.5894039735099,-23.3841059602649,1017.93377483444,12.0927152317881,61,39,60,109,47,171,116,67,106,1043.08763527333,989.322150303065,1018.76438244322,1413.52095808383,1089.80239520958,1059.8622754491,203.320037926035,421.460504801576,487.187726730254,1088093.74850299,978825.407185629,1037994.49700599,1
677828,-212,970,217,-9,962,40,-106,990,-19,-141,1019,297,81,1009,111,0,1047,38,-181,1000,257,36,990,80,-48,1019,0,-180.065868263473,997.131736526946,257.119760479042,35.2994011976048,985.604790419162,77.6646706586826,-46.1077844311377,1017.05389221557,2.8622754491018,-179.170346212915,997.056880623369,255.967566241726,0,985.5291730662,73.6096559030214,0,1016.94606499202,0,180.500452004012,997.169193867121,257.694325256613,38.6069554094599,985.642548560549,79.5650601859586,52.6070052938582,1017.10774045261,13.322350766292,157.640213548806,75.1512156410069,297.575932472404,245.921867109155,74.879013058221,300.597720222206,645.434095664094,110.195873313614,170.312242983912,12.555485396782,8.66898008078268,17.2503893426324,15.6818961579637,8.65326603417582,17.337754186232,25.4053950109833,10.4974222223179,13.0503732890639,3.3701450473499,3.23052056839901,2.33985298398082,3.37983046533086,3.84844783957836,2.25602690764559,2.58570514469338,3.36257004070027,2.79860844522972,0.240608023663273,0.112011683676349,0.0662121839252115,0.256731386935268,-0.12566972143093,0.0780483501931926,-0.25702364467503,-0.0910871677068121,0.373260838623423,-181,1000,267,36,990,80,-58,1019,0,-180.311258278146,997.145695364238,257.066225165563,35.046357615894,985.715231788079,77.5629139072848,-45.6158940397351,1016.99337748344,2.51655629139073,71,49,80,90,47,71,106,57,57,1045.59155346386,989.566605509715,1018.49639316485,1434.31736526946,1098.67664670659,1073.00598802395,319.46966174468,309.600055497587,654.693903809124,1093333.17964072,979312.329341317,1037453.13772455,1
680437,-202,970,227,0,953,50,-97,990,-38,-151,1019,287,54,1018,111,-38,1038,19,-181,1000,257,27,990,80,-58,1019,-9,-183.491017964072,994.586826347305,259.874251497006,28.0778443113772,985.664670658683,78.9161676646707,-60.6047904191617,1016.8622754491,-8.33532934131737,-182.855585344512,994.491483178742,259.235607946557,0,985.596159782439,76.1954585487898,-58.6393232703417,1016.77658598777,0,183.801099864438,994.634419644984,260.187668336705,29.9307584167391,985.698931334276,80.1592352384426,61.5961834885838,1016.90505565444,14.0520844661677,114.576726065941,95.2439217949644,163.978067960465,108.132457975615,67.9471178125677,198.932688839189,121.879013058221,87.5291104537911,128.75434672823,10.7040518527304,9.75929924712652,12.805392143955,10.3986757799066,8.24300417399917,14.1043499970466,11.0398828371601,9.35569935674459,11.3469972560246,2.76080608426272,2.64816452690465,2.90926791064165,2.81860440453019,5.17525115187904,2.45922482353758,3.49552738653695,2.89504594038244,2.84080081861857,0.298263511795437,-0.149507848403018,-0.272442772133891,0.000370817740871097,0.0552673806577139,-0.179587306065464,-0.490523649573552,-0.144642107662002,0.0591886542947283,-191,1000,257,27,981,80,-58,1019,-9,-183.76821192053,994.662251655629,260.112582781457,28.1920529801325,985.64238410596,79.1456953642384,-60.205298013245,1016.96688741722,-8.3046357615894,51,49,60,54,65,61,59,48,57,1044.35915436414,989.373351350229,1018.82271547681,1437.95209580838,1092.65868263473,1088.65269461078,179.847065631004,206.510050949258,136.60624780284,1090778.09580838,978923.736526946,1038087.44311377,1
683046,-212,970,227,-9,962,60,-106,990,-38,-161,1019,287,63,1009,111,-29,1047,58,-191,990,267,27,990,80,-58,1019,0,-187.467065868263,993.712574850299,262.988023952096,27.5928143712575,985.844311377246,83.7245508982036,-63.0958083832335,1016.7005988024,-2.49101796407186,-186.940562578948,993.624173876897,262.448420042441,0,985.766262094137,81.7295676221261,-59.3546199149424,1016.59003883861,0,187.732721842249,993.756798643561,263.254424873674,31.2235516820351,985.883220544349,84.6844088471804,64.9332683708233,1016.75596905,14.6687986111546,100.274511218527,88.4229132097253,141.036000288579,214.833201067744,77.1804343120986,162.62246591155,236.665464252219,113.271264699517,210.227328475579,10.0137161542819,9.40334585186174,11.8758578759001,14.6571893986448,8.78523957055803,12.7523513875501,15.3839352654715,10.6428973827392,14.4992182022197,2.83948579817062,2.69981301405215,2.91771202732205,2.73770027689506,3.37135680250044,2.38293479085244,2.90874702772979,3.36052428733778,4.21399065890143,-0.279011202231918,0.0742140356543254,-0.181927111658212,-0.383352752429945,-0.310531000186422,0.00214732293714012,-0.41736009844756,0.183268226545274,0.303493176382057,-181,990,267,27,990,80,-58,1019,-9,-187.304635761589,993.629139072848,263.092715231788,27.953642384106,986.099337748344,83.7350993377483,-62.6291390728477,1016.47682119205,-2.6953642384106,51,49,60,72,47,51,77,57,96,1044.99335571534,989.968861512959,1018.87654791306,1444.16766467066,1097.59281437126,1090.76646706587,149.007567917088,227.963096554146,268.980156096539,1092099.04191617,980112.083832335,1038224.20359281,1
685656,-222,970,227,-36,962,40,-116,971,-38,-151,1019,306,72,1018,121,-9,1047,38,-181,990,257,27,990,80,-67,1019,0,-185.544910179641,991.994011976048,262.922155688623,26.0299401197605,986.359281437126,82.5449101796407,-65.9640718562874,1016.98203592814,-2.95808383233533,-184.58830642565,991.903891626708,262.192973628466,0,986.277126426799,80.0865902445871,-55.5208406713993,1016.85025899762,0,186.027877635275,992.039141708952,263.287939188554,32.7771462663434,986.400357193092,83.7570266960217,69.4802776479479,1017.04773526535,14.8477301235024,180.538633576221,90.0782771805786,193.638482072001,399.173796984345,81.5207416492315,202.791645624414,479.119183320107,134.439434384243,212.980160161605,13.4364665584454,9.49095765350255,13.9154044882641,19.9793342477757,9.02888374325594,14.2404931664747,21.8887912713358,11.5948020416152,14.5938398018344,2.52230757483671,2.60725062711892,3.00354858872173,2.86421873408749,3.91974039296285,3.33598833518514,2.60951551966012,4.04681917140721,2.97222965040519,-0.25980675418904,0.17922916499316,0.179116035922795,0.0600531591048337,0.0242691953742263,0.389251722853628,0.238752472894652,-0.215176692100522,0.152191065886604,-181,990,257,18,981,80,-67,1019,-9,-185.377483443709,991.860927152318,262.894039735099,25.8675496688742,986.549668874172,82.2317880794702,-65.9933774834437,1016.98013245033,-3.19867549668874,71,49,79,108,56,81,107,76,76,1043.06411362454,990.453588104948,1019.45930048013,1440.46107784431,1096.55089820359,1094.38323353293,227.026903582068,422.853282367847,485.040755657337,1088068.56886228,981075.245508982,1039434.05988024,1
688265,-222,970,227,-18,962,40,-106,980,-29,-151,1019,297,63,1018,111,-29,1057,29,-181,1000,257,27,990,80,-58,1019,0,-182.25748502994,995.550898203593,261.37125748503,29.1556886227545,985.622754491018,79.1377245508982,-61.8502994011976,1017.32934131737,-3.2814371257485,-181.381704162947,995.463323335398,260.772203134111,0,985.548605930257,76.9069875976775,-57.86873613396,1017.21969941927,0,182.700419030095,995.594676803287,261.67016537829,32.0589838128686,985.659920582102,80.1673399534348,63.8256888946312,1017.38424138119,12.2557575373524,162.626073154895,87.6946829233101,157.28302431282,178.794892143424,73.7062261020127,165.011038164634,249.754563162831,112.378832696053,140.275737681264,12.7524928212054,9.36454392500297,12.541252900441,13.371420722699,8.58523302549283,12.8456622314552,15.8036250007026,10.6008882974991,11.8438058782329,3.39588878396963,3.37514529581423,2.72037619808388,3.461258774155,3.80985398412946,3.13615844968759,2.90344073475804,4.28413431796908,2.662926881249,-0.337837486821066,0.00312903355499849,0.0510448940548799,-0.0950509903499546,0.310683151511134,-0.0463754346643262,-0.488981155816059,0.175261798321557,-0.0580976590689337,-181,1000,257,27,990,80,-58,1019,-9,-182.006622516556,995.529801324503,261.370860927152,29.205298013245,985.41059602649,79.1920529801324,-61.3708609271523,1017.16556291391,-3.2317880794702,71,49,70,81,56,71,77,77,58,1045.45377942059,989.397554668171,1019.40196290902,1439.17964071856,1094.13173652695,1088.73652694611,168.811836910006,191.36588622018,260.304489578116,1093059.47904192,978980.05988024,1039294.61676647,1
690875,-212,970,237,-27,972,60,-126,980,-58,-161,1019,297,54,1009,131,-19,1057,38,-191,990,267,27,990,80,-67,1019,0,-191.790419161677,992.892215568862,263.407185628743,23.0119760479042,986.155688622754,84.3892215568862,-67.4431137724551,1016.59281437126,-2.72455089820359,-191.185789135509,992.800915449752,262.868379021336,0,986.087215646868,82.2166721531114,-59.0769227381706,1016.45028698777,0,192.091280073405,992.937808232703,263.678072179889,28.7740526826589,986.189964817421,85.4965419337807,70.8454926748013,1016.66380844466,14.2562099086007,116.190751028064,91.0846980737319,143.640429983407,300.192626794603,68.0117596133034,189.251208426521,473.344636029147,145.218743236419,196.995959887454,10.7791813709606,9.54383036698222,11.9850085516618,17.3260678399516,8.24692425170157,13.7568604131364,21.7564849189649,12.0506739743642,14.03552492383,2.69329931643511,2.7744485637489,2.86634957005167,3.22102727944604,2.53787003691223,3.15249681349526,2.95086720098441,4.40718702253321,4.01963303712285,-0.0257789702536803,-0.111896875421274,0.2132181018461,-0.485811759792006,0.153791833060045,0.450792949173172,-0.139960682884278,-0.277756237499975,-0.225701983302559,-191,990,267,27,990,80,-67,1019,-9,-191.887417218543,992.986754966887,263.092715231788,23.5430463576159,986.112582781457,84.0066225165563,-67.0397350993377,1016.75496688742,-2.62251655629139,51,49,60,81,37,71,107,77,96,1045.11468570646,990.273928282868,1019.15221755477,1448.08982035928,1095.82035928144,1094.96407185629,163.143098013282,321.937292738322,520.897208504204,1092350.67664671,980708.251497006,1038827.62275449,1
693484,-212,970,237,0,962,50,-97,1000,-29,-161,1009,297,72,1009,131,-19,1038,29,-181,990,267,27,981,80,-58,1019,0,-184.173652694611,992.562874251497,265.323353293413,27.8083832335329,984.778443113772,83.0958083832335,-61.1676646706587,1015.71856287425,-3.64670658682635,-183.737553838053,992.491407045828,264.773673695165,0,984.702897537386,81.0381361777938,-56.156480111236,1015.63308950435,0,184.390840433922,992.598573514849,265.597766656074,30.2290656022582,984.816156587334,84.1116665813359,62.8456430494541,1015.76133801616,12.5050887845302,80.5299040473269,71.2957218093932,146.569511579251,141.336555804055,74.727725272347,170.882331722098,209.345213188081,87.420315994517,143.940696919414,8.97384555513002,8.443679399965,12.1065895932443,11.8885051963674,8.64451995615413,13.0721968973122,14.468766816425,9.34988320753351,11.9975287838544,3.67125515307032,2.87050524472993,3.26783094094989,3.9819927512083,3.55277442353887,3.29869156715434,3.72861627439118,2.68665690560905,2.61779110918663,-0.0589953062390635,-0.095338628212321,0.0788904307961586,0.55792058983785,-0.155100197306447,0.283150045344727,0.614023455301972,0.115623732470088,0.0364390586324666,-181,990,267,27,990,80,-58,1019,0,-184.059602649007,992.556291390728,265.145695364238,27.4172185430464,984.860927152318,82.9072847682119,-61.7019867549669,1015.50331125828,-3.83443708609272,51,39,60,72,47,81,78,38,58,1043.89962598863,988.828007719712,1017.73637216978,1442.05988023952,1095.68263473054,1086.37724550898,157.691257276465,174.734303027247,238.292609750979,1089794.08383234,977851.431137725,1035877.04790419,1
