A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.733574879227053,NaN,NaN,0.733574879227053,NaN,NaN,0.733574879227053,NaN,NaN,0.733574879227053,NaN,NaN,0.733574879227053,NaN,NaN,0.733574879227053,NaN,NaN,0.733574879227053,NaN,NaN,0.733574879227053,NaN,NaN,0.733574879227053,NaN,NaN
0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN
0.102173913043478,NaN,NaN,0.102173913043478,NaN,NaN,0.102173913043478,NaN,NaN,0.102173913043478,NaN,NaN,0.102173913043478,NaN,NaN,0.102173913043478,NaN,NaN,0.102173913043478,NaN,NaN,0.102173913043478,NaN,NaN,0.102173913043478,NaN,NaN
0,0,0,0.685024154589372,NaN,NaN,0.685024154589372,NaN,NaN,0.685024154589372,NaN,NaN,0.685024154589372,NaN,NaN,0.685024154589372,NaN,NaN,0.685024154589372,NaN,NaN,0.685024154589372,NaN,NaN,0.685024154589372,NaN,NaN
0,0,0,0.163285024154589,NaN,NaN,0.163285024154589,NaN,NaN,0.163285024154589,NaN,NaN,0.163285024154589,NaN,NaN,0.163285024154589,NaN,NaN,0.163285024154589,NaN,NaN,0.163285024154589,NaN,NaN,0.163285024154589,NaN,NaN
0,0,0,0.151690821256039,NaN,NaN,0.151690821256039,NaN,NaN,0.151690821256039,NaN,NaN,0.151690821256039,NaN,NaN,0.151690821256039,NaN,NaN,0.151690821256039,NaN,NaN,0.151690821256039,NaN,NaN,0.151690821256039,NaN,NaN
0,0,0,0,0,0,0.671014492753623,NaN,NaN,0.671014492753623,NaN,NaN,0.671014492753623,NaN,NaN,0.671014492753623,NaN,NaN,0.671014492753623,NaN,NaN,0.671014492753623,NaN,NaN,0.671014492753623,NaN,NaN
0,0,0,0,0,0,0.171014492753623,NaN,NaN,0.171014492753623,NaN,NaN,0.171014492753623,NaN,NaN,0.171014492753623,NaN,NaN,0.171014492753623,NaN,NaN,0.171014492753623,NaN,NaN,0.171014492753623,NaN,NaN
0,0,0,0,0,0,0.157971014492754,NaN,NaN,0.157971014492754,NaN,NaN,0.157971014492754,NaN,NaN,0.157971014492754,NaN,NaN,0.157971014492754,NaN,NaN,0.157971014492754,NaN,NaN,0.157971014492754,NaN,NaN
0,0,0,0,0,0,0,0,0,0.658937198067633,NaN,NaN,0.658937198067633,NaN,NaN,0.658937198067633,NaN,NaN,0.658937198067633,NaN,NaN,0.658937198067633,NaN,NaN,0.658937198067633,NaN,NaN
0,0,0,0,0,0,0,0,0,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN,0.164251207729469,NaN,NaN
0,0,0,0,0,0,0,0,0,0.176811594202899,NaN,NaN,0.176811594202899,NaN,NaN,0.176811594202899,NaN,NaN,0.176811594202899,NaN,NaN,0.176811594202899,NaN,NaN,0.176811594202899,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.660628019323672,NaN,NaN,0.660628019323672,NaN,NaN,0.660628019323672,NaN,NaN,0.660628019323672,NaN,NaN,0.660628019323672,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.170289855072464,NaN,NaN,0.170289855072464,NaN,NaN,0.170289855072464,NaN,NaN,0.170289855072464,NaN,NaN,0.170289855072464,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.169082125603865,NaN,NaN,0.169082125603865,NaN,NaN,0.169082125603865,NaN,NaN,0.169082125603865,NaN,NaN,0.169082125603865,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643478260869565,NaN,NaN,0.643478260869565,NaN,NaN,0.643478260869565,NaN,NaN,0.643478260869565,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178260869565217,NaN,NaN,0.178260869565217,NaN,NaN,0.178260869565217,NaN,NaN,0.178260869565217,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178260869565217,NaN,NaN,0.178260869565217,NaN,NaN,0.178260869565217,NaN,NaN,0.178260869565217,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641285956006768,NaN,NaN,0.641285956006768,NaN,NaN,0.641285956006768,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170896785109983,NaN,NaN,0.170896785109983,NaN,NaN,0.170896785109983,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187817258883249,NaN,NaN,0.187817258883249,NaN,NaN,0.187817258883249,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655705996131528,NaN,NaN,0.655705996131528,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189555125725339,NaN,NaN,0.189555125725339,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154738878143133,NaN,NaN,0.154738878143133,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652173913043478,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204347826086957,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143478260869565,NaN,NaN
