A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.86304347826087,NaN,NaN,0.86304347826087,NaN,NaN,0.86304347826087,NaN,NaN,0.86304347826087,NaN,NaN,0.86304347826087,NaN,NaN,0.86304347826087,NaN,NaN,0.86304347826087,NaN,NaN,0.86304347826087,NaN,NaN,0.86304347826087,NaN,NaN
0.136714975845411,NaN,NaN,0.136714975845411,NaN,NaN,0.136714975845411,NaN,NaN,0.136714975845411,NaN,NaN,0.136714975845411,NaN,NaN,0.136714975845411,NaN,NaN,0.136714975845411,NaN,NaN,0.136714975845411,NaN,NaN,0.136714975845411,NaN,NaN
0.000241545893719807,NaN,NaN,0.000241545893719807,NaN,NaN,0.000241545893719807,NaN,NaN,0.000241545893719807,NaN,NaN,0.000241545893719807,NaN,NaN,0.000241545893719807,NaN,NaN,0.000241545893719807,NaN,NaN,0.000241545893719807,NaN,NaN,0.000241545893719807,NaN,NaN
0,0,0,0.770531400966184,NaN,NaN,0.770531400966184,NaN,NaN,0.770531400966184,NaN,NaN,0.770531400966184,NaN,NaN,0.770531400966184,NaN,NaN,0.770531400966184,NaN,NaN,0.770531400966184,NaN,NaN,0.770531400966184,NaN,NaN
0,0,0,0.228985507246377,NaN,NaN,0.228985507246377,NaN,NaN,0.228985507246377,NaN,NaN,0.228985507246377,NaN,NaN,0.228985507246377,NaN,NaN,0.228985507246377,NaN,NaN,0.228985507246377,NaN,NaN,0.228985507246377,NaN,NaN
0,0,0,0.000483091787439614,NaN,NaN,0.000483091787439614,NaN,NaN,0.000483091787439614,NaN,NaN,0.000483091787439614,NaN,NaN,0.000483091787439614,NaN,NaN,0.000483091787439614,NaN,NaN,0.000483091787439614,NaN,NaN,0.000483091787439614,NaN,NaN
0,0,0,0,0,0,0.732608695652174,NaN,NaN,0.732608695652174,NaN,NaN,0.732608695652174,NaN,NaN,0.732608695652174,NaN,NaN,0.732608695652174,NaN,NaN,0.732608695652174,NaN,NaN,0.732608695652174,NaN,NaN
0,0,0,0,0,0,0.0782608695652174,NaN,NaN,0.0782608695652174,NaN,NaN,0.0782608695652174,NaN,NaN,0.0782608695652174,NaN,NaN,0.0782608695652174,NaN,NaN,0.0782608695652174,NaN,NaN,0.0782608695652174,NaN,NaN
0,0,0,0,0,0,0.189130434782609,NaN,NaN,0.189130434782609,NaN,NaN,0.189130434782609,NaN,NaN,0.189130434782609,NaN,NaN,0.189130434782609,NaN,NaN,0.189130434782609,NaN,NaN,0.189130434782609,NaN,NaN
0,0,0,0,0,0,0,0,0,0.710144927536232,NaN,NaN,0.710144927536232,NaN,NaN,0.710144927536232,NaN,NaN,0.710144927536232,NaN,NaN,0.710144927536232,NaN,NaN,0.710144927536232,NaN,NaN
0,0,0,0,0,0,0,0,0,0.171014492753623,NaN,NaN,0.171014492753623,NaN,NaN,0.171014492753623,NaN,NaN,0.171014492753623,NaN,NaN,0.171014492753623,NaN,NaN,0.171014492753623,NaN,NaN
0,0,0,0,0,0,0,0,0,0.118840579710145,NaN,NaN,0.118840579710145,NaN,NaN,0.118840579710145,NaN,NaN,0.118840579710145,NaN,NaN,0.118840579710145,NaN,NaN,0.118840579710145,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.718599033816425,NaN,NaN,0.718599033816425,NaN,NaN,0.718599033816425,NaN,NaN,0.718599033816425,NaN,NaN,0.718599033816425,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.0905797101449275,NaN,NaN,0.0905797101449275,NaN,NaN,0.0905797101449275,NaN,NaN,0.0905797101449275,NaN,NaN,0.0905797101449275,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0.190821256038647,NaN,NaN,0.190821256038647,NaN,NaN,0.190821256038647,NaN,NaN,0.190821256038647,NaN,NaN,0.190821256038647,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694202898550725,NaN,NaN,0.694202898550725,NaN,NaN,0.694202898550725,NaN,NaN,0.694202898550725,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13768115942029,NaN,NaN,0.13768115942029,NaN,NaN,0.13768115942029,NaN,NaN,0.13768115942029,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168115942028985,NaN,NaN,0.168115942028985,NaN,NaN,0.168115942028985,NaN,NaN,0.168115942028985,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705583756345178,NaN,NaN,0.705583756345178,NaN,NaN,0.705583756345178,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879864636209814,NaN,NaN,0.0879864636209814,NaN,NaN,0.0879864636209814,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206429780033841,NaN,NaN,0.206429780033841,NaN,NaN,0.206429780033841,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688588007736944,NaN,NaN,0.688588007736944,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121856866537718,NaN,NaN,0.121856866537718,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189555125725339,NaN,NaN,0.189555125725339,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669565217391304,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11304347826087,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217391304347826,NaN,NaN
