TIME,ACCX1,ACCY1,ACCZ1,ACCX2,ACCY2,ACCZ2,ACCX3,ACCY3,ACCZ3,FR
750000,-30,990,326,-45,972,181,-38,1000,29,1
1137687,323,1294,811,1654,1805,-626,-359,1285,48,1
1137703,-848,647,-9,1063,287,-282,-19,971,194,1
1137718,-676,735,445,-390,481,383,252,885,19,1
1137734,-232,1098,425,-981,1203,676,252,961,-9,1
1137750,-232,1098,425,-509,1203,484,155,1114,145,1
1137765,-171,1078,188,209,1055,141,48,1076,194,1
1137781,-10,1107,267,627,907,-101,48,1076,194,1
1137796,-10,1107,267,427,981,131,9,1038,165,1
1137812,-272,1019,356,190,888,343,-19,971,203,1
1137828,-323,921,435,-100,870,464,-67,923,242,1
1137843,-373,921,445,-209,981,464,-116,1028,223,1
1137859,-434,970,326,-218,1009,424,-126,1095,262,1
1137875,-292,970,247,-127,1111,191,-135,1085,252,1
1137890,-222,1000,267,-81,1009,202,-126,1057,242,1
1137906,-282,980,287,18,962,181,-145,1009,203,1
1137921,-303,990,316,118,916,282,-174,923,145,1
1137937,-171,960,366,272,851,272,-174,923,145,1
1137953,-131,1000,346,472,796,333,-320,761,174,1
1137968,-70,1019,465,709,740,383,-330,828,48,1
1137984,-20,1117,356,909,796,343,-330,828,48,1
1138000,30,1156,376,990,787,272,-359,904,67,1
1138015,-40,1235,346,872,787,282,-262,866,-9,1
1138031,-70,1303,415,572,879,181,-126,714,-19,1
1138046,-181,1382,455,263,1037,282,-135,600,77,1
1138062,-242,1656,435,218,1435,333,-106,733,213,1
1138078,-151,1460,267,163,1407,525,19,1161,184,1
1138093,-151,1264,207,36,1175,595,97,1380,223,1
1138109,-202,1029,366,-227,916,575,135,1342,165,1
1138125,-393,813,405,-327,851,535,194,1209,194,1
1138140,-444,794,247,-318,907,636,203,1142,184,1
1138156,-494,882,148,-263,1138,575,174,1066,77,1
1138171,-515,813,148,-381,1296,383,97,1066,116,1
1138187,-444,735,237,-281,1250,212,0,1114,135,1
1138203,-60,568,227,-290,842,141,-19,1142,145,1
1138218,191,470,227,-190,703,151,-48,1104,174,1
1138234,353,470,485,-63,750,343,-58,1076,233,1
1138250,353,431,613,-45,861,323,-58,1076,174,1
1138265,70,490,633,-145,898,252,-29,1076,116,1
1138281,-191,490,574,-354,870,252,-9,1028,184,1
1138296,-272,549,524,-454,888,292,19,1009,223,1
1138312,-292,637,405,-454,879,212,19,1009,233,1
1138328,-292,696,435,-472,833,171,-9,971,194,1
1138343,-212,686,455,-427,833,60,29,923,155,1
1138359,-161,774,495,-336,814,40,29,914,145,1
1138375,-1424,813,-138,-118,842,0,58,895,155,1
1138390,-494,2137,79,263,1074,70,67,904,116,1
1138406,-2343,960,356,409,1231,-30,19,876,145,1
1138421,-2828,1117,405,636,1259,-101,-48,895,145,1
1138437,-3838,1019,-297,-354,1037,-90,-184,1085,-48,1
1138453,707,401,-425,-1445,833,40,-320,895,378,1
1138468,-353,303,950,-645,1138,10,-203,952,174,1
1138484,313,2039,158,827,1333,-10,-174,1228,77,1
1138500,-404,1274,178,1309,1175,222,-97,1457,-29,1
1138515,-242,1049,277,354,1055,292,-48,1295,87,1
1138531,-404,872,297,-363,824,272,29,1114,135,1
1138546,-474,852,356,-309,898,262,116,1038,106,1
1138562,-303,970,306,-18,1027,232,77,952,116,1
1138578,-181,950,316,281,1000,151,-19,914,106,1
1138593,-222,980,306,418,879,90,-106,904,97,1
1138609,-232,1000,267,81,907,171,-194,895,174,1
1138625,-373,901,366,-200,1000,282,-155,952,165,1
1138640,-454,950,316,-236,1074,292,-145,971,194,1
1138656,-373,1019,178,-9,1018,313,-174,1066,145,1
1138671,-222,980,346,227,953,323,-194,1038,165,1
1138687,-292,1009,336,181,898,303,-174,990,165,1
1138703,-282,950,346,72,916,313,-184,952,145,1
1138718,-353,1000,326,72,1018,282,-184,933,155,1
1138734,-333,970,306,45,944,262,-174,961,174,1
1138750,-333,980,297,36,916,191,-194,933,184,1
1138765,-282,931,346,118,861,292,-97,904,155,1
1138781,-232,980,326,172,879,333,-116,904,145,1
1138796,-252,970,366,209,898,262,-38,980,106,1
1138812,-292,960,346,209,898,262,-38,1038,174,1
1138828,-333,1029,336,209,907,252,-29,990,106,1
1138843,-323,1196,376,190,935,313,-135,952,116,1
1138859,-262,1264,465,372,981,383,-29,1133,-77,1
1138875,-131,1401,415,463,1074,353,67,1238,-174,1
1138890,-60,1441,326,590,1212,262,-213,1238,-9,1
1138906,50,1411,198,627,1185,161,-407,1047,174,1
1138921,-10,1441,128,563,1129,101,-349,876,87,1
1138937,-40,1313,118,436,1111,10,-242,742,67,1
1138953,-101,1078,168,127,1064,141,-77,780,9,1
1138968,-333,882,306,-90,990,343,38,914,19,1
1138984,-575,784,267,-254,907,434,87,1095,58,1
1139000,-505,725,118,-363,842,585,155,1142,77,1
1139015,-252,696,207,-345,870,666,155,1114,155,1
1139031,40,480,257,-400,981,505,174,1076,213,1
1139046,-40,352,445,-427,935,444,165,1066,184,1
1139062,131,352,504,-390,879,373,165,1066,194,1
1139078,0,382,455,-345,805,292,155,1085,174,1
1139093,-60,441,455,-345,805,292,126,1076,184,1
1139109,-30,549,465,-327,777,282,67,1095,106,1
1139125,-121,705,445,-345,759,242,48,1047,174,1
1139140,-252,862,405,-309,824,303,29,1047,233,1
1139156,-111,754,504,-345,944,222,9,980,116,1
1139171,0,774,594,-363,1000,70,29,866,106,1
1139187,-1434,519,1811,-236,888,-40,29,866,106,1
1139203,-1414,1127,89,127,888,-151,0,800,155,1
1139218,-1949,774,831,518,1055,-70,-9,828,48,1
1139234,-2929,1000,495,200,935,101,-87,971,29,1
1139250,-2727,1401,-237,-27,1027,70,-87,1000,77,1
1139265,1141,382,-574,-109,1129,-10,-38,1047,271,1
1139281,50,1274,-19,-1090,1027,-20,-38,1047,271,1
1139296,-70,1245,663,-1090,1046,202,-87,1000,87,1
1139312,-595,1029,396,263,1250,90,-174,1133,184,1
1139328,-333,1029,247,1281,1231,-90,-9,1228,29,1
1139343,-383,901,346,754,907,202,87,1171,29,1
1139359,-272,1088,277,90,1027,232,135,1057,48,1
1139375,-363,1323,99,127,833,0,-29,876,174,1
1139390,-363,1323,99,454,861,-131,-165,904,165,1
1139406,-50,990,316,445,972,-10,-320,1000,29,1
1139421,-70,1009,396,454,768,202,-310,866,174,1
1139437,-282,803,386,18,648,414,-165,752,174,1
1139453,-414,607,316,-681,916,555,-38,714,349,1
1139468,-1040,539,594,-1363,1148,888,194,990,417,1
1139484,-626,843,475,-763,1537,717,58,1371,135,1
1139500,-202,1245,178,272,1203,-30,-67,1590,-97,1
1139515,-404,1166,39,527,1194,-242,-77,1514,-67,1
1139531,-282,1166,237,154,981,-171,9,1314,-97,1
1139546,-565,941,326,-45,944,30,-29,1142,-116,1
1139562,-292,862,257,-100,888,262,-77,914,-48,1
1139578,-232,754,405,-72,824,353,-145,752,135,1
1139593,-252,637,257,-163,796,484,-349,742,252,1
1139609,-636,676,544,-572,824,626,-213,942,223,1
1139625,-676,784,425,-554,981,575,-97,1009,48,1
1139640,-343,1068,188,-63,1194,222,-97,1076,-135,1
