leaveout1,leaveout2,leaveout3,leaveout4,leaveout5,leaveout6,leaveout7
3,1,1,0.756554307116105,0.407894736842105,0.162162162162162,0.723066298342541
3,1,2,0.701538461538462,0.277777777777778,0.157894736842105,0.618090452261307
3,1,3,0.884579870729455,0.344,0.164705882352941,0.746121297602257
3,1,4,0.873791102514507,NaN,NaN,0.873791102514507
3,1,5,0.807909604519774,0.237226277372263,0.131578947368421,0.611531190926276
3,1,6,0.723821989528796,0.307692307692308,0,0.682955899880811
3,1,7,0.808630393996248,0.3,0.0625,0.761658031088083
3,1,8,0.816666666666667,0.19,0,0.623697916666667
3,1,9,0.873676781933663,0.205992509363296,0.148148148148148,0.748561565017261
3,1,10,0.938061041292639,NaN,NaN,0.938061041292639
