B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
750000,-30,990,326,-45,972,181,-38,1000,29,1
750062,0,990,316,36,990,212,-29,1038,29,1
750125,-40,1009,297,-90,972,151,9,1009,29,1
750187,-121,1019,267,-163,962,131,38,1000,9,1
750250,-90,970,326,-109,953,181,-58,990,0,1
750312,-40,1009,326,0,981,232,-77,1028,9,1
750375,70,1009,306,-63,972,171,19,1009,38,1
750437,-111,990,297,-163,953,181,0,1028,0,1
750500,-60,1000,336,-45,972,191,-48,1038,0,1
750562,-20,980,326,0,972,181,-19,1009,-9,1
750625,-70,990,336,-145,972,202,-19,1019,48,1
750687,-50,990,326,-90,972,191,-48,1009,19,1
750750,-30,980,326,0,972,181,0,1047,-29,1
750812,-60,990,306,-109,953,151,19,1038,9,1
750875,-70,980,316,-100,953,181,-38,1000,-29,1
750937,-70,990,326,-109,962,191,-58,1028,-9,1
751000,-50,1000,316,-72,981,191,-9,1047,29,1
751062,-80,1019,306,-45,981,181,0,1009,-19,1
751125,-50,980,326,-54,990,191,-48,1038,-9,1
751187,-30,980,336,-90,972,202,-38,990,0,1
751250,-30,970,326,-109,962,212,-67,1009,29,1
751312,-50,970,356,-45,981,161,0,1028,29,1
751375,-30,990,326,-9,962,191,-9,1047,9,1
751437,-80,990,326,-145,972,212,-38,1028,0,1
751500,-90,980,326,-145,962,191,-67,980,19,1
751562,0,980,336,36,981,232,-38,1038,-19,1
751625,-20,990,326,-9,981,191,-9,1019,48,1
751687,-111,980,316,-227,944,212,9,1019,29,1
751750,-30,980,336,-27,972,202,-58,1000,19,1
751812,-20,990,346,45,972,252,-67,1038,29,1
751875,-70,1009,306,-36,990,191,38,1019,29,1
751937,-60,1000,336,-54,981,212,9,1047,0,1
752000,-90,990,297,-200,944,171,0,990,58,1
752062,-90,980,356,-127,935,222,-67,1000,19,1
752125,30,970,396,54,981,222,-19,1057,-9,1
752187,-30,990,316,36,972,181,0,1028,0,1
752250,-90,970,356,-163,953,212,0,990,29,1
752312,-80,1000,326,-118,962,212,-48,1038,48,1
752375,-30,1000,316,-27,972,141,-9,1009,38,1
752437,-40,990,346,-72,981,191,0,1038,-19,1
752500,-60,970,326,-109,953,202,-38,1009,29,1
752562,-40,980,356,-63,962,191,-38,1000,29,1
752625,-30,980,306,-27,990,181,0,1057,9,1
752687,-60,1000,326,-81,962,181,-38,1000,9,1
