matrix_tr1,matrix_tr2,matrix_tr3
-12.4614087516204,-23.7646234826842,1
-12.0292770075993,-23.4156023591887,1
-11.8596538204518,-24.1853548146235,1
-12.3955502297147,-24.2382702306428,1
-12.6675806107583,-23.6713556847599,1
-12.9367000068797,-24.0327602321846,1
-12.7532427563736,-23.9917866740292,1
-12.4121605798159,-23.7241519138573,1
-12.1628242008786,-23.9069148902512,1
-12.217914903278,-23.5645537174843,1
-12.0662092026738,-23.6391601570298,1
-12.2218389842735,-23.9665486304942,1
-12.9041366949128,-23.8205525219211,1
-13.433495761114,-23.3021797245224,1
-13.5686288938745,-23.4061560636186,1
-13.1030949472889,-23.9001676498762,1
-13.1555042395763,-23.4924363588164,1
-13.4664987450066,-23.3415544130209,1
-13.6406508819954,-23.4042112060242,1
-14.0341045960066,-23.9306466543923,1
-13.8454702308406,-23.7730419456728,1
-13.1978190680085,-23.1849784288154,1
-13.5524015737625,-23.2967346152527,1
-13.4507549584591,-23.6654349453012,1
-13.7826034590683,-23.7614852514824,1
-14.0806758954737,-23.6377906970618,1
-13.8989683079509,-23.3281414366713,1
-14.2435926264435,-23.6563782217119,1
-13.4799496103711,-23.2450557447451,1
-12.7809342635217,-23.167028556023,1
-12.906030662633,-23.6666425601651,1
-13.2676582203527,-23.3839457650621,1
-13.6265985326706,-23.2039643462983,1
-13.1256826729457,-23.1737531471518,1
-13.0453726130069,-22.9887058868222,1
-13.3791683105997,-23.2486207952919,1
-13.2338493212344,-23.0996587545214,1
-13.3790451446431,-23.4268723676321,1
-13.1320041402991,-23.6064832614208,1
-12.8435677410553,-23.1418621474011,1
-12.9682047213194,-23.0782979558994,1
-12.8817030966344,-23.3043421431881,1
-13.0840694379937,-23.703905779307,1
-13.4256748223017,-23.6384839054885,1
-13.2648043469175,-23.4946757268309,1
-12.294267153315,-23.1353519041582,1
-12.1632103319115,-23.2209619109434,1
-12.85831585071,-23.8557090232229,1
-12.9998891813303,-23.5994733662778,1
-13.3736256969563,-22.9720189638684,1
-11.3473459358846,-23.7087918366863,1
-11.3976201616407,-23.3925567630564,1
-12.0199631743503,-26.7027736827633,1
-13.3919014306208,-26.8432228731294,1
-13.7459536137332,-27.6049081246408,1
-13.5631507746917,-27.7265093753976,1
-14.1141205487596,-28.089763242091,1
-12.2077767447997,-23.756525107505,1
-12.7934559421053,-23.3270178003131,1
-13.1767697254841,-25.4614411887674,1
-11.9531936760819,-24.3493092789235,1
-13.3802444909741,-25.7205555849456,1
-13.3585136403733,-26.7657935142062,1
-13.1656627477981,-23.9904605628498,1
-9.23872209049011,-25.298212539223,1
-7.33890517650079,-24.3694274655249,1
-8.96432190283157,-23.6423001155866,1
-10.3161437128321,-24.594039435821,1
-12.8087637620224,-24.3474997658019,1
-14.6038921521354,-25.0890990678261,1
-14.3316096762278,-22.4928561385278,1
-14.1682122131132,-20.4410329591142,1
-14.2957563570523,-24.0435786099667,1
-14.7348230647673,-26.3627825324806,1
-11.7072660129691,-23.8613042613623,1
-12.8199822558959,-24.0110597457558,1
-14.9653685258183,-23.8202876193593,1
-13.1404226164762,-24.6381755492713,1
-10.5659381005332,-25.8464464241992,1
-9.965483325335,-27.7555178935748,1
-9.99715137982162,-29.2982110305019,1
-10.2102060582725,-28.0499664120595,1
-10.8885729872866,-26.2082649188061,1
-10.9189990573766,-23.9451629649443,1
-12.2106719374159,-26.4942033119808,1
-12.7021537199205,-26.9029354079137,1
-11.8888855635049,-23.3276202995841,1
-13.0079685604198,-22.3009361976471,1
-14.1061791357978,-25.8735305075979,1
-13.2843671076345,-26.7217223085441,1
-11.4729019971771,-23.0386475929212,1
-11.1583800182912,-23.3181285492291,1
-12.8752248774975,-23.433897195944,1
-16.1539666994317,-25.5005151523669,1
-13.2110057477192,-26.6879272626119,1
-9.2661102692495,-26.9457476065492,1
-10.5926399113624,-26.7607884510245,1
-8.85132923362775,-27.8333652637082,1
-9.19262131066456,-23.4309529453233,1
-10.1946498058858,-23.4424703344561,1
-12.4106936365703,-23.0235992394069,1
-13.0675876709182,-22.3108243225682,1
-13.3810655906985,-23.6514213777186,1
-13.2197574826592,-24.1794809458003,1
-13.0777627421946,-25.3493277336639,1
-14.3321499961327,-25.7516939352836,1
-17.4679262417246,-27.5459790554071,1
-16.7901668920844,-29.8225073488884,1
-13.9946002593307,-28.1467040100134,1
-9.88713674167604,-26.5315295039165,1
-9.05477355251714,-26.698033027161,1
-9.99659300544538,-28.1916325301687,1
-9.84475442862944,-25.0182293125011,1
-10.5978837299205,-20.6691271145499,1
-14.5864501844759,-24.1493374638652,1
-13.0865285328048,-25.4382219245076,1
-10.2606251194461,-23.8774917223527,1
-14.1769684698906,-25.6386246791054,1
-14.2326372928485,-26.9685856640565,1
-12.3546244722511,-26.4791549199741,1
-13.7929505282771,-24.2230466851499,1
-14.1824531173971,-24.4355790893579,1
-12.3991707736829,-23.6309078185231,1
-10.5918418105011,-23.449845852091,1
-11.3189703830705,-24.3410377177514,1
-12.6244927750714,-28.9297203772069,1
-10.7660097060988,-27.6321028620885,1
-8.93636539076173,-25.0925490074331,1
-7.51971822039914,-26.9488714707308,1
-7.69214248854171,-26.3467199018488,1
-10.031961306323,-28.3329537621449,1
-11.1196042811178,-26.6142787196209,1
-12.4083427430415,-25.7466080505475,1
-13.5034470572145,-26.3825231891746,1
-13.6147181472479,-26.0940795804497,1
-13.4089401918931,-24.1920038150939,1
-12.7708843439179,-24.6170801745262,1
-12.2311084650283,-23.7722251295369,1
-13.2680622898672,-23.9678058653226,1
-13.146278569945,-28.8365567832594,1
-11.0734376210716,-28.641043803591,1
-12.6090718782353,-24.6213819149995,1
-12.1874223251497,-25.8202003962975,1
-12.0439734686253,-27.6686654135566,1
-9.85504296125439,-27.2857054873136,1
-10.3037838476544,-25.8147975985635,1
-12.8589760462508,-25.7813733884811,1
-11.9716670403828,-25.3636465572451,1
-12.5449236378802,-24.7815426097999,1
-13.1354932863958,-25.1107474333585,1
-12.3292396421067,-25.562075048231,1
-12.4801033219096,-26.0176066553667,1
-13.5766654678292,-23.3078337600618,1
-11.1008023976132,-23.8820449985531,1
-12.6738382715651,-25.561116512579,1
-14.284187308836,-23.6386347389306,1
-14.211612381108,-25.5063911474065,1
-12.7775175437511,-25.5524524056876,1
-11.8310718462184,-27.6840804763099,1
-9.69836428893907,-28.2599873564307,1
-7.47146446216473,-27.0082327465731,1
-9.65197847386064,-23.8286942320008,1
-12.9283483337986,-24.6886042216726,1
-15.5066066929423,-25.6345812527521,1
-13.1574231644919,-24.7463931371268,1
-15.0332738294583,-25.4898492301804,1
-15.6009484402302,-27.5922165901037,1
-13.9449157572422,-25.3973014862878,1
-12.0540745732788,-24.2451960446505,1
-13.7204040753124,-29.9626380737253,1
-14.9223375536539,-28.6616544153515,1
-13.2019349550408,-24.7767865008796,1
-11.047469742749,-27.367052341446,1
-12.135602020086,-25.3078498248548,1
-9.75901096446501,-24.8571011246997,1
-9.13221017907363,-26.6654786083565,1
-11.5901939231954,-26.1180386728628,1
-11.1118054370266,-21.7433637913964,1
-8.26671787932627,-23.7191343494402,1
-9.06969722815414,-24.7703027663179,1
-10.7230795248093,-25.0373560429879,1
-8.80478148561031,-24.8154540934654,1
-11.4181764023284,-23.1314828423152,1
-11.6450130875699,-23.433329449348,1
-11.6833851662983,-23.7960013254617,1
-11.6598459265481,-23.6128288648272,1
-11.6183182463903,-23.9320154518737,1
-11.8980015720983,-24.1074887804153,1
-11.8012261339107,-22.905397990705,1
-11.6551734201344,-23.4459488575055,1
-10.7585640209024,-23.6240084097264,1
-10.5916503638246,-23.2447718015436,1
-10.0973325859209,-23.8690635932584,1
-9.81193949804186,-23.5339748820247,1
-9.776564860626,-23.6329297620129,1
-9.70639247872793,-23.1162150362471,1
-10.1770514975463,-23.3709153948621,1
-10.1982287719588,-23.4639033476761,1
-10.2354535903133,-22.9059104125918,1
