matrix_tr1,matrix_tr2,matrix_tr3
-50.4803606170114,-11.3861948506499,1
-50.3751893550756,-11.1319135623488,1
-50.3946714449903,-11.2925286028824,1
-50.0130161350289,-11.3107566509686,1
-50.2015549076546,-11.7381149362275,1
-50.1883059820252,-12.1084397796939,1
-50.7258878556108,-11.9755368007298,1
-51.0016326129044,-11.7535297565081,1
-51.2258138648409,-11.131228381279,1
-51.4647057694207,-11.3681958189781,1
-51.6651157355669,-11.8394592163116,1
-51.8617476194951,-11.7644620949762,1
-51.3236560373083,-10.9686902079971,1
-51.0799741685452,-11.0637050130411,1
-50.8561097147492,-11.2264043321169,1
-50.8939156744623,-11.4470453625501,1
-51.1021256630572,-11.8946293873963,1
-50.3498381544701,-11.5626239049743,1
-50.4721022390859,-11.7090225106735,1
-50.4704460310242,-11.177983043848,1
-50.6354438065239,-10.4858577710462,1
-50.2337760797578,-10.7971530526465,1
-49.8866717592552,-11.530654893168,1
-50.1030538817843,-11.8209531316715,1
-50.6021162296919,-11.6523903812599,1
-51.5946881985731,-10.8566083390862,1
-51.8850698947011,-10.9635693356795,1
-52.7753187887176,-10.5653667140195,1
-52.591559252279,-11.037481181598,1
-52.5925245809991,-11.0617624291757,1
-51.6230340867631,-11.0097928075255,1
-51.6326889943933,-10.8492777788732,1
-51.6462847741902,-10.8601789357719,1
-51.9467738178062,-10.0914425869128,1
-52.4290104769669,-10.991121349896,1
-52.1762623778656,-10.5255652611937,1
-52.1660473244962,-10.9627234017599,1
-52.4158908534136,-10.9842383141159,1
-52.7048153496066,-10.9709925584627,1
-52.949907474654,-10.9133060171987,1
-53.0680868292174,-10.9256840144266,1
-53.4112836372687,-11.1498621243115,1
-52.8988847932002,-11.3591238565264,1
-51.7103261895002,-10.907389151106,1
-51.705329928922,-11.0013780216237,1
-51.5437867283607,-10.4788641109524,1
-52.4341773412303,-10.7650223175022,1
-52.4730345722317,-11.4203583842054,1
-52.6074445536985,-11.3031370929286,1
-52.6691208586979,-10.7290241277514,1
-52.5999316285968,-11.1426688336436,1
-52.5717640906403,-10.8687826096449,1
-52.5845867151604,-11.0949813966859,1
-52.6045275891889,-11.1258543602582,1
-52.9090113143091,-11.2669233975591,1
-53.0234733243,-11.284539837865,1
-52.4980084741772,-10.9619891324425,1
-52.1899868595519,-10.8056707777362,1
-51.7646896679904,-10.8951169192126,1
-51.4983529894057,-11.0072750474805,1
-51.3663491531434,-11.0500746561485,1
-51.2779964844906,-10.8234255890253,1
-51.5427454426011,-10.7775633461204,1
-52.0420875090722,-11.0433260219828,1
-52.4261447650438,-10.2907868260483,1
-52.3278154916703,-10.5372027138435,1
-51.8968962811345,-10.7344264676794,1
-51.7513046479157,-10.9211077925778,1
-51.7861703899653,-10.6542176747527,1
-52.3669646462914,-11.1653101130852,1
-51.9087848841235,-11.0177649476311,1
-51.8969465690898,-10.9897575256293,1
-51.8866448794698,-10.7536006438973,1
-51.860075451163,-10.631876978759,1
-51.8237304876298,-10.6730915612405,1
-51.7483720694366,-10.8514058392575,1
-52.090106602479,-11.300829879412,1
-51.54729685253,-11.4964193651839,1
-51.2786281987161,-10.6103170219389,1
-51.2697311676938,-10.4468422483301,1
-51.1971915843361,-10.6833733655846,1
-51.3606874558385,-10.3936894268327,1
-51.3203765311619,-10.6433865086145,1
-51.3230560429398,-10.8974053798798,1
-51.5162413478014,-11.1847447592239,1
-51.6667273883727,-11.2232479358478,1
-51.7466892836472,-11.1932842751179,1
-52.243943508488,-11.2043382654352,1
-51.9500858072364,-11.2517849935558,1
-51.7094011480294,-11.362070029438,1
-51.0370755458072,-11.2869419350796,1
-50.407170743687,-10.9202052498649,1
-50.5183598729911,-10.7205268490464,1
-50.6572647371211,-10.9589016688751,1
-51.271522352126,-11.3338462085019,1
-51.3395844816934,-11.1790286096813,1
-51.4611971262752,-10.9986101874274,1
-51.6635264560175,-10.7328749100861,1
-51.7375309545084,-10.4918236675648,1
-51.831199907231,-9.96450979476275,1
-51.2971023188311,-10.1668370277978,1
-49.1052622230471,-11.2387010909659,1
-49.8691744404024,-14.5363646387201,1
-49.3953354313269,-11.1922794290574,1
-51.1421609250478,-13.0683881047605,1
-52.0224226301082,-13.224511151805,1
-56.019308502251,-13.2949082648562,1
-54.3051419506926,-13.4955134612645,1
-52.8232663018,-14.1790520426174,1
-54.3206173457011,-18.2884151924434,1
-52.4714562329043,-12.217688323187,1
