matrix_tr1,matrix_tr2
-197.742365275924,1
-210.225438809072,1
-210.899689208496,1
-207.280019062138,1
-190.049593391616,1
-203.050978919665,1
-220.461844247221,1
-202.310416371337,1
-194.672723383919,1
-186.683902595734,1
-228.098255608389,1
-207.212634398028,1
-194.32515107317,1
-199.560215024267,1
-198.658292745657,1
-192.465507127021,1
-199.427455755173,1
-188.973143267234,1
-215.815482601604,1
-190.58315024071,1
-207.185677129288,1
-205.295640011285,1
-226.925077313835,1
-195.423980817823,1
-189.048449280778,1
-197.310165579527,1
-203.89694073323,1
-198.740953883035,1
-208.530969448336,1
-217.829039798195,1
-203.438096571357,1
-195.96642621519,1
-179.6605484009,1
-179.454953121387,1
-198.065413434978,1
-228.031481276732,1
-201.35273880252,1
-189.282479246817,1
-202.053758596784,1
-189.415030954996,1
-198.070028911615,1
-198.752954626021,1
-198.464776053457,1
-234.798360611293,1
-214.585771927197,1
-177.984466664759,1
-196.519102545501,1
-195.487184039307,1
-214.140454011353,1
-226.393417196368,1
-236.222199065054,1
-279.379175979947,1
-259.711929498801,1
-343.626315728651,1
-215.625615083051,1
-243.035133398546,1
-304.316014060627,1
-292.880034419575,1
-323.064691325966,1
-297.786540787386,1
-302.125569321855,1
-179.869709677693,1
-262.609802846318,1
-355.591861750417,1
-253.666748448317,1
-236.137495339149,1
-283.418344947138,1
-362.024022235439,1
-329.766804049816,1
-345.195250860772,1
-288.799430524506,1
-323.756198103349,1
-319.753841218441,1
-243.913271754372,1
-326.27016818966,1
-357.361769451653,1
-376.088462648425,1
-312.68817705221,1
-276.467201790309,1
-320.8272593632,1
-330.381650021434,1
-262.020923804196,1
-324.545634540943,1
-282.134046914469,1
-288.279688358608,1
-369.813555831237,1
-280.599181843798,1
-206.034211219098,1
-527.651795556479,1
-388.496484332484,1
-164.425548937049,1
-277.964189468446,1
-276.027132706634,1
-440.758619494379,1
-333.084531202983,1
-257.945521958342,1
-314.73165875365,1
-293.129813871172,1
-276.544897743866,1
-373.143175311386,1
-405.543421062828,1
-366.53458228025,1
-390.345455501982,1
-347.390706070703,1
-401.109888618899,1
-241.446371745745,1
-291.758439806456,1
-322.300808321586,1
-374.438604752898,1
-380.906051263541,1
-294.21387899455,1
-321.816485378235,1
-224.589284030168,1
-297.39652138189,1
-343.324511324175,1
-355.057652856938,1
-331.858839451083,1
-365.795322451362,1
-314.641888219523,1
-272.404823034493,1
-221.244761366365,1
-206.394112845215,1
-320.68096740794,1
-321.355050367686,1
-263.249268751186,1
-333.306571841598,1
-263.874993905126,1
-287.287910925242,1
-254.709481051568,1
-258.339867841801,1
-280.703459185501,1
-449.719859105346,1
-402.010054340863,1
-419.028656151996,1
-282.821109198946,1
-286.057956068255,1
-311.791810251196,1
-368.407479241497,1
-423.49734518011,1
-317.745705439273,1
-224.159348782647,1
-271.752637249906,1
-247.428011449091,1
-283.285521035528,1
-334.211590638322,1
-370.084186613997,1
-361.209584515858,1
-425.589881629422,1
-439.04504278013,1
-399.622048981575,1
-279.403137629645,1
-449.208385987436,1
-432.811656714581,1
-395.030516804589,1
-330.669232803467,1
-511.100375792286,1
-399.369402953787,1
-346.189810344043,1
-366.197267548249,1
-402.909208513679,1
-316.870257760481,1
-270.576519162368,1
-334.601248872228,1
-357.405271445718,1
-334.411923847225,1
-398.043407967871,1
-252.609724135983,1
-348.533369257637,1
-206.892795958801,1
-307.558423540641,1
-328.9126736564,1
-176.210553417181,1
-319.170186039578,1
-388.463951616692,1
-410.440198790776,1
-211.742538812359,1
-253.026112723948,1
-316.601128667587,1
-177.947329087447,1
-198.546983801105,1
-242.834682728761,1
-154.346253620594,1
-209.96669490482,1
-215.726836593933,1
-183.244730581267,1
-182.932676717737,1
-185.665055462746,1
-185.504589364271,1
-209.36201830763,1
-219.576974055688,1
-190.11669587726,1
-189.456138785746,1
-246.745238213084,1
-234.927078373756,1
-198.634279870528,1
-200.680090521622,1
-177.082319611804,1
-181.635435590826,1
-203.394187210428,1
-194.124738077585,1
-203.761713173668,1
-207.789199164009,1
-195.411709074488,1
-193.46011051237,1
-204.646309115016,1
-221.33389213145,1
-202.425925164578,1
-230.237679086904,1
-223.438337609189,1
-230.044899108983,1
-231.027358247278,1
-232.684464297132,1
-236.97233956681,1
-236.38471452899,1
-196.056528737313,1
-189.480057646583,1
-202.756635102011,1
-219.744467720771,1
-218.663169374034,1
-214.088483692639,1
-178.208256975176,1
-241.783182790448,1
-300.908285307343,1
-251.047205444441,1
-261.328000274212,1
-227.602641621148,1
-257.260552250213,1
-183.379574918758,1
-216.623210161953,1
-185.286395986351,1
-176.122095922501,1
-200.54820394179,1
-242.675355778342,1
-230.858640085465,1
-211.193944016001,1
-222.344988072706,1
-205.287853771648,1
-202.577947094491,1
-206.001878316106,1
-214.86581274585,1
-264.15834797074,1
-300.331726211747,1
-377.696543659535,1
-228.042126750963,1
-202.923141115653,1
-199.293510084209,1
-237.99453151181,1
-238.789360971556,1
-241.639095640644,1
-251.915517256678,1
-296.657266027428,1
-304.328882136777,1
-235.88015307279,1
-346.692784492714,1
-340.610953330798,1
-212.309620202296,1
-227.415066185374,1
-227.745374314702,1
-320.200514728858,1
-243.889152824785,1
-287.558555630946,1
-164.538752471404,1
-367.238551919301,1
-391.391274319882,1
-333.038272747401,1
-412.178011030779,1
-417.626385180433,1
-296.997307976533,1
-328.701988127303,1
-431.931682271204,1
-387.83870749236,1
-336.626251758141,1
-364.883327518279,1
-297.594796036382,1
-223.099864803855,1
-327.754995136352,1
-298.887298030986,1
-346.656551181999,1
-402.696225134058,1
-286.536085605464,1
-235.963210341475,1
-319.919226257116,1
-189.796455693164,1
-122.893713332323,1
-328.745826169931,1
-285.942030715622,1
-326.014864590606,1
-312.61425319783,1
-205.910150186945,1
-186.66735596047,1
-228.280037164419,1
-252.420942919033,1
-251.35488979633,1
-257.819111130147,1
-236.758735457662,1
-252.31473889918,1
-265.04558567759,1
-259.09755237215,1
-218.603574795242,1
-197.752796501654,1
-335.324059748453,1
-420.940358841713,1
-306.270635564116,1
-305.055362726854,1
-311.962950350764,1
-232.988369207703,1
-385.064634825974,1
-380.677912453443,1
-338.283991246557,1
-319.05548730329,1
-251.153247230535,1
-419.759007981811,1
-436.217839480463,1
-220.881270308857,1
-303.645393163117,1
-272.532088768188,1
-219.667896545736,1
-239.166054990904,1
-258.937113896038,1
-325.268767196791,1
-246.695635064614,1
-323.511003303044,1
-371.736467307983,1
-346.383405461853,1
-465.598997205031,1
-411.629169631395,1
-305.784813642495,1
-409.18395802773,1
-403.428796015488,1
-336.905007030089,1
-365.024447490592,1
-257.224003076223,1
-365.566434949733,1
-349.909636481564,1
-440.871518793464,1
-304.590464353575,1
-407.01241230087,1
-322.417336713094,1
-203.947502407208,1
-221.461349951987,1
-334.751527753979,1
-264.097174852924,1
-299.8365396737,1
-274.00015374708,1
-414.273204889795,1
-379.241647796409,1
-207.418310305655,1
-224.184064572499,1
-213.91097694708,1
-377.856825424511,1
-450.149429778111,1
-337.466610124292,1
-261.15715096094,1
-307.860673206001,1
-325.765017422447,1
-248.877744841384,1
-320.401110941654,1
-284.332130271211,1
-398.40609054723,1
-491.343362049971,1
-362.195732988764,1
-251.067191959347,1
-251.606545802774,1
-267.302053899968,1
-196.00746727518,1
-309.176628904386,1
-387.352525576253,1
-263.644904621966,1
-271.031087867374,1
-352.729207782848,1
-349.771596231513,1
-285.928841135864,1
-191.63817567042,1
-192.317687186572,1
-204.837474975696,1
-212.642657344541,1
-245.962100378148,1
-237.471777508646,1
-344.964661862783,1
-365.351511363992,1
-318.431745690132,1
-265.1817324602,1
-294.125656490555,1
-384.410359645069,1
-316.9672074085,1
-339.127028854262,1
-381.969903553529,1
-321.673307458642,1
-234.650589829174,1
-283.477634958259,1
-286.024940972471,1
-174.990301941976,1
-286.730496140884,1
-300.933501093155,1
-364.347130628866,1
-314.900339243318,1
-358.909137358556,1
-279.474394270511,1
-272.495437865747,1
-278.093295609126,1
-219.217187181372,1
-256.976413591445,1
-239.705730559614,1
-271.643773023322,1
-366.153708916194,1
-378.791250819482,1
-333.519236489493,1
-312.099792681734,1
-319.337425261091,1
-288.314958031993,1
-241.011865708272,1
-295.604346566438,1
-358.92026951897,1
-409.079671002214,1
-416.606616309098,1
-249.382098007769,1
-403.560520269567,1
-252.718448397313,1
-254.125478377709,1
-284.52065464393,1
-306.267534898434,1
-343.789969906285,1
-272.48925916981,1
-196.624109061726,1
-275.197740400868,1
-264.142338932512,1
-384.518094534729,1
-328.951344156607,1
-321.01101025965,1
-313.600923634761,1
-265.60623091056,1
-341.28710538824,1
-405.75816066543,1
-365.017703257496,1
-393.990435236592,1
-363.139930514204,1
-254.078665576089,1
-225.903130250116,1
-410.081257074278,1
-454.721382405887,1
-406.116676713073,1
-411.497582480926,1
-415.540563348664,1
-442.166181034121,1
-436.979175259193,1
-437.477768719993,1
-433.412083487197,1
-429.10261991205,1
-430.630102289075,1
-434.143974384144,1
-429.255054938471,1
-430.914599766285,1
-423.84040103935,1
