F1,F2,F3,F4,F5,F6,F7
670000,5209.70741408899,63631.4046618048,706.197391794531,1312.03322921362,70226.0315494351,1
671000,1268.30056014022,11494.0713887774,631.897587299113,536.690146374054,12342.7916616583,1
672000,661.862769699976,2438.69694137035,679.978195009322,405.423900251163,2771.95179431439,1
673000,519.408506117654,975.594457004505,621.296134136805,403.955736588593,1108.44457671517,1
674000,449.209653768342,474.484482898121,619.176832485763,387.396607576197,485.873526002365,1
675000,466.848362879184,364.564312508047,609.156241106274,380.303812299439,398.599636640122,1
676000,447.932607631894,348.448380667866,562.094744322333,360.16048253232,391.917200264203,1
677000,471.000168627428,365.229211250669,617.668448168833,329.742465766601,383.454016116608,1
678000,493.689959883051,366.269287365119,601.831342352575,338.509989126681,391.436826263128,1
679000,474.536301281534,361.993893341742,616.446921394171,291.213878567641,382.431473590868,1
680000,555.142776256144,373.755124714158,817.522182845439,469.694634938889,1053.65673567355,1
681000,31521.0178178962,27962.9697217827,61043.8903267735,16514.9749029808,13048.3950158665,1
682000,202267.398993811,67858.731350765,185748.636160277,52056.6027578326,51087.2111506465,1
683000,486797.329953358,130869.250740877,445604.397114304,92761.3864998651,99460.8753244886,1
684000,904813.93270521,201497.28461409,728134.583568403,167036.870774751,166624.287836345,1
685000,1407952.19439172,234282.533267951,893302.69165356,284268.350624487,236281.970780899,1
686000,1327602.50662717,221777.061639234,863733.869413577,323782.268751095,236106.526774314,1
687000,1085343.3380874,171160.627118665,635110.966639751,329804.286480633,237191.090916545,1
688000,712787.058293508,122915.31028272,435622.421785471,315842.668430153,220696.975592247,1
689000,193500.992999974,80446.4326430782,275684.114145986,200520.527855775,153590.215358,2
690000,116434.809199249,73835.7369956634,229810.246117436,134776.881921685,119931.073768294,2
691000,74291.0503036549,61433.1667585842,198727.796191705,88554.7394843053,70566.454614282,2
692000,28841.535303552,39021.2218882001,115552.868719178,28276.529793366,19247.041535794,2
693000,14034.0224500804,21142.8669189682,50047.8557278446,10538.6612321797,4785.37807232181,2
694000,789.193604031911,446.734230071552,1148.29143584489,2073.0770106271,1722.51485879311,2
695000,692.733219855399,453.263890574559,1017.13894235496,1659.45381173973,1680.27948371,2
696000,604.465914392917,468.131056647269,953.404160470587,1457.40859944472,1668.95963601293,2
697000,612.099273503111,453.002063163961,1030.54058031188,1476.89172225545,1706.05273341761,1
698000,133122.04978366,10601.7553497457,35654.3534605778,27070.5942222226,21711.0170817727,1
699000,196659.616562455,24000.501524004,63513.9027869563,64016.3576482836,61682.5544106204,1
700000,219391.277276831,37462.9890823111,80714.167470509,79451.7555114166,74120.0595414076,1
701000,239623.612404391,56173.9056163224,142051.472172423,90760.609880251,77150.0972348015,1
702000,108120.424398529,46007.8962477099,107438.68614042,64737.2793478988,56136.5894230106,1
703000,44724.9911448366,32615.7561294089,79714.02975893,27983.7962163198,16197.134800878,1
704000,22051.3371258515,19157.998514583,62578.313336866,12621.9357688242,3734.13915276438,1
705000,1786.0052233877,440.935751489868,1310.30519312352,1441.9952993158,618.132420371857,1
706000,678.928366110707,376.475731451693,985.930202061326,1166.13812538321,605.007605629878,1
707000,484.037243651567,352.761434525088,910.785146123287,962.050992148922,594.750657719776,1
708000,530.69101805897,333.900345277294,868.543307795054,1074.47320981978,666.833875484117,1
709000,556.386454545489,374.520391149423,748.56711227201,1027.14549284597,700.315074302854,1
710000,638.753150906358,381.377836354207,846.921180131732,1157.70946832004,649.496766865027,1
711000,37431.6998289015,13020.411450807,29494.3604458295,11048.9749053667,5975.14011492685,1
712000,37610.9987404075,13208.2286828522,29863.3621767273,11694.0631370689,6074.63089561507,1
713000,37641.5641223099,13182.5698995117,29931.0689290814,11525.9173006075,6055.50710424263,1
714000,37587.324497148,13178.3848194774,29842.321833084,11318.2685860991,5988.87671284788,1
715000,793.80058212932,542.506559187818,1103.81665146517,1401.32114074278,607.293619506912,1
716000,529.823941374439,363.266815086081,720.504622006073,577.990973700062,428.885677586691,1
717000,489.909829928363,342.718298552123,670.820476200956,454.732368052861,453.343494369958,1
718000,440.254294282494,333.509207379509,631.29470683662,364.940022173581,430.239241634346,1
719000,419.741778446473,331.244342587557,657.403070113947,346.728296145051,429.921064767647,1
720000,401.915586834638,301.267450488317,641.269230984867,337.809126545733,412.918724601636,1
721000,395.656507349848,301.596776056227,623.640329722834,326.871109157842,351.812312069021,1
722000,437.383933647864,265.575674974477,626.916631051088,406.808622667277,382.363851460399,1
723000,508.029892627891,236.779897012137,565.068180510279,472.077852975103,398.869118569339,1
724000,517.346620060575,272.092437078889,581.12193221667,498.087406170048,474.671413016568,1
725000,534.197392137799,276.774269710857,532.014147141807,513.623100459322,501.300600099235,1
726000,546.752953462789,293.360231936483,523.296812159651,461.826690956213,483.475336529847,1
727000,511.147502331396,320.015907970131,510.421854380559,427.491505713362,436.236363919215,1
728000,563.107269406822,300.468065702854,498.498675015206,413.353381962957,372.988561709712,1
729000,518.502211149641,318.592673230266,510.620929059459,387.139113804984,341.147993517947,1
730000,547.603840101241,374.750689107829,500.297551881599,373.182403202174,311.777419183522,1
731000,553.403581218068,384.802873212543,490.764151412252,328.196521004105,359.939325052639,1
732000,505.890701408178,391.648181570292,508.946957310979,312.272593597297,385.360253710354,1
733000,557.116594713894,379.08931052955,468.259760635319,331.390028883971,382.896783115384,1
734000,466.975832132314,330.686442550259,460.430254022943,339.267276054417,422.297605549224,1
735000,485.240169823633,332.767022967552,496.065824648797,335.876847680861,392.392226497038,1
736000,463.043866150971,339.494367001671,499.601954610785,303.384622731244,388.27677151238,1
737000,428.899503176856,338.591770373162,554.243581611095,317.783432308158,405.437020729174,1
738000,480.764003937178,345.463049447408,596.491650766062,306.954829901902,387.48773727896,1
739000,459.308825064195,359.837380082231,615.179951543937,309.363337974147,430.843015262447,1
740000,493.400837125091,335.682581483274,574.885422569165,380.323362177635,463.567912831983,1
741000,507.462573750276,335.700475198298,605.007546044745,347.0074299988,462.327035733359,1
742000,491.568715532332,364.299264381299,577.474951765588,370.710758280919,466.103929109775,1
743000,506.662661436277,343.485626332626,608.772169158258,385.634668618901,422.98002228711,1
744000,481.864944256803,358.736121327669,672.827008248261,404.10459378938,399.811858411871,1
745000,456.129936900814,331.507952989872,663.969435147727,394.232584942067,408.014934877217,1
746000,449.86068072428,295.959933597022,647.178434033129,361.848754456241,433.648756136161,1
747000,421.401091137676,309.003393493202,603.246259998008,343.282732611158,429.498827576103,1
748000,451.718134218323,309.633759846939,549.437280058814,287.304548121415,409.726433794373,1
749000,447.599931541579,312.477704699181,530.839679272796,336.782510072029,384.133986597168,1
750000,486.299705207052,359.772451120901,606.044277195406,386.047930974648,400.503634654836,1
751000,505.636171518119,352.761776784388,647.560529277486,396.128241277592,404.954415816521,1
752000,495.755927651241,362.279117782053,662.219299229644,414.074762497248,434.299331679875,1
753000,493.122479441533,369.759318184665,625.351545196549,379.21455435748,424.830273937916,1
754000,437.028488296441,300.943447775177,548.132992618275,338.075515890546,397.422997248063,1
755000,478.218099209087,292.916063495904,515.519415680838,307.152558756565,423.240201821174,1
756000,502.803389076926,275.332979624725,524.949550674054,330.055027941564,453.078147886543,1
757000,545.634771783865,310.110377195959,620.336246600896,397.14347375128,555.53175904074,1
758000,606.941043993908,343.279305664177,663.340195332202,399.066570521293,587.032932148385,1
759000,569.642015049522,339.556004173069,670.996595424983,432.498319880905,606.196987046357,1
760000,492.424072824916,336.689030017573,658.449928638557,431.336832899287,569.254579872334,1
761000,580.841567794527,425.130109214523,756.168844642409,728.021992047039,1067.33201191097,1
762000,5385.67287472028,3454.80366941046,17761.8985507346,11732.4375128493,8133.04481148311,1
763000,95137.0883132687,30119.3352532245,53077.3953949878,29553.7546262408,17900.4375571325,1
764000,112302.594091783,43954.471567905,89018.3473910977,48130.0253490398,32674.5114003311,1
765000,219956.991088502,81404.1373757213,140244.42127924,66241.9284747719,45099.3141317696,1
766000,307124.749919507,114427.001126089,167689.172765374,78078.8408397315,49639.2140055559,1
767000,323430.904102865,116661.479080773,170690.661841515,76615.9428911335,55442.4459665908,1
768000,400954.509782754,144644.402934621,175221.110197462,80691.7208364906,58650.8524395636,1
769000,384593.546166321,157381.916756529,181162.064843978,89333.2838978525,58318.9922210609,1
770000,358586.723468761,174053.487893808,203253.226811727,100850.408721297,63530.6186772622,1
771000,312210.067095639,194932.523161413,245866.063056449,111816.307823291,65067.8075960586,1
772000,286969.146018324,207192.691909549,287662.400891844,114647.806162694,75224.6915263918,1
773000,261630.022261617,217032.942824205,333182.094841487,124000.34200816,94535.1068314326,1
774000,405001.417331108,241750.824348475,433295.214757457,131919.955044758,112135.919767351,1
775000,417218.225361365,244933.466931685,451170.405573995,124233.099102537,115943.890026155,1
776000,427110.961897576,260140.72262799,470797.504579607,125908.44084262,110910.276024343,1
777000,573090.938016832,300830.598234514,527391.741148363,129702.48032166,104415.503323209,1
778000,465169.446833358,298309.658914129,479512.564169573,117212.370980799,104927.758896897,1
779000,504124.650927865,311925.546685631,565024.201386684,129744.596981301,107300.085671678,1
780000,568826.949614217,444190.291921197,920030.075885909,462983.375180426,165909.553218683,1
781000,518725.376327227,589919.936782032,1240994.60393604,977467.530687793,360906.566964329,1
782000,464668.959700008,578347.66208146,1281012.22556319,976543.66496814,353239.589341161,1
783000,489672.334968947,564314.120958591,1316438.90295406,1053831.23305816,367411.00362618,1
784000,535453.047226947,413095.676120022,982975.120641047,772286.424601526,320181.435155542,2
785000,400022.255722182,196632.369304751,597391.747701523,240386.57753377,113786.202671873,2
786000,474024.726709259,168715.280613196,650014.82060391,280512.018285461,108142.458088783,2
787000,399454.93409683,124528.538205323,510548.852111293,242736.914034857,101382.090617386,2
788000,241216.817484051,91268.3478519678,427177.655607855,307080.614371342,118771.486008298,2
789000,282674.022255409,83774.8476374606,593863.842395545,382911.077456208,146790.800998074,2
790000,321627.085459279,192365.320246425,710019.026892582,468794.520748744,222746.690639051,1
791000,894791.373421215,496497.509918091,1483861.04381391,937748.050651901,491264.454634527,1
792000,998338.943105469,513852.643403217,1551588.72726663,852268.426621624,467097.236872083,2
793000,947897.032108632,519906.158946482,1352910.92499759,772123.86763582,442973.881992002,2
794000,824351.99320647,420972.547454128,1100326.90881209,632906.981163896,355916.03288534,2
795000,256455.454284437,172694.348735936,358418.592898757,114867.750607957,73154.3692404678,2
796000,203894.837963953,193873.968656777,334270.1345952,91775.0079504467,64951.4499950215,1
797000,284100.853902045,245379.147155135,423936.387352275,103079.137012479,67873.5155236359,1
798000,331932.814933227,267320.441665098,495625.530071674,111516.032655562,68569.8550127954,1
799000,379838.998759206,297546.250794009,520640.411030761,128994.332856659,70724.0308096301,1
800000,349327.8057033,307892.93769064,578873.649541388,128318.356510464,77678.3363449437,1
801000,319390.782350102,321722.682772616,573260.446804825,142165.846693437,80197.4677919872,1
802000,320445.597459009,313799.691259703,528576.242423734,150678.525700743,105412.529944126,1
803000,253968.28688358,289088.199339235,500120.276332001,137846.623138434,111643.609000045,1
804000,496779.284800919,349411.440654466,585921.376250634,144349.658653305,119828.524247559,1
805000,492766.010637065,305716.867269474,548570.247948997,132848.891124069,125711.928541688,1
806000,517248.874285216,368791.647600739,665363.464025837,127982.894216989,115107.752603446,1
807000,585124.217603967,371979.153255438,694729.840170854,134862.340636206,111980.43881343,1
808000,311132.518304563,294210.693337799,530708.254629776,113816.58395045,93919.2216872129,1
809000,352071.59669839,349842.478964184,650102.980622697,110542.950806872,99438.0396868512,1
810000,305957.524629575,287927.661967149,593955.427328887,118962.737879034,103231.67662051,1
811000,281117.047497101,310574.878154517,663642.899452123,123468.045175147,124160.845785033,1
812000,641343.809953776,446530.949480042,1146834.85704257,468832.238333848,236089.010617215,1
813000,598292.235701906,388026.763800442,1099284.42566358,563920.169905402,249025.805448684,1
814000,574818.817360763,385021.339251206,1065930.39979645,576328.778026907,236881.875998383,1
815000,512843.768300288,308444.320267507,949167.877105714,560438.658350697,204863.75882746,1
816000,203272.848146776,187994.218575814,530768.516552946,227219.075414533,89517.1315977634,1
817000,142206.948237476,141224.698274384,350479.792571447,104822.438040845,42475.4013380784,2
818000,104065.909783123,84889.312992967,224815.484655415,77201.8910928633,35363.4000046981,2
819000,75747.724447893,66178.5968798065,135232.281634714,55811.2178762337,24905.278635294,2
820000,4441.85648276223,2212.84760597496,6976.35226793724,24578.0646736256,11768.8084097422,2
821000,3887.32710956464,1579.47746839801,6047.249687475,23101.2792816025,11119.1241873388,2
822000,1474.71861319881,655.324994094113,2469.01098657666,2226.91128461233,759.429176088944,2
823000,771.346775704242,404.061436468239,1031.6451325792,913.014199921162,610.326195139138,2
824000,587.485771075409,398.923051544626,849.41109759211,586.300882547394,569.01087836301,2
825000,600.538138824317,378.612813649366,674.945040093047,447.145001951318,501.00359800985,2
826000,602.796011747368,384.412993778668,595.602167310741,372.761619712835,457.366572314569,1
827000,558.240175005651,378.692818128687,597.717595502565,349.782806483474,411.49429752316,1
828000,553.999441405712,342.109853467615,670.082020236599,345.068015725871,408.672429795307,1
829000,498.79972445476,351.180397624729,742.660021682706,329.630214708026,381.857903275988,1
830000,449.773309743867,323.857854175065,773.892284222187,354.463000509269,401.741311739105,1
831000,491.113186561799,295.855851568494,771.1916233008,321.067724610996,403.667002360719,1
832000,501.759778190374,303.821609647066,665.060219108847,303.827429283321,388.275306808363,1
833000,571.413276934798,298.884832808144,581.386107738885,325.742266261676,399.070608797908,1
834000,583.505849842608,319.796988481179,580.359005609984,317.101618430563,434.182506704235,1
835000,544.048529813233,368.830823091008,514.321624454082,351.530421721304,462.124462905402,1
836000,563.647678762087,373.851233317255,597.460922297177,389.682175846636,496.094429136472,1
837000,495.168438181559,362.316767618033,683.351671174515,432.896060756703,567.23182877848,1
838000,528.272856161359,368.240766856846,707.394856201858,476.183196595452,593.866402126604,1
839000,17630.0985533937,2560.72306537347,6095.05561978535,6884.22741682216,2872.18062788599,1
840000,25222.440628478,6627.81732653432,15381.0269548803,66669.8613776604,33300.4325177003,1
841000,59593.2283818479,27841.4066393888,120785.980923872,102756.276351106,46455.8643617969,1
842000,60634.0412630139,29279.1174913551,125076.477525708,107396.878063676,49853.6677952127,1
843000,60452.0366278119,39141.7038564823,198491.727184444,118230.090296708,66731.3891259457,1
844000,249100.432486492,114705.700414702,353948.855768041,86775.1326875519,44871.5925620704,1
845000,231288.507457459,100380.348495275,273139.089203423,68426.3983568555,54102.3698662397,1
846000,232038.122577929,100313.147314786,274243.501016979,71044.9694356315,60654.4934494023,1
847000,285990.449817887,119383.700039355,327705.894114496,69717.3290370843,53411.0224680455,1
848000,129541.354094434,55036.843335701,250310.000359516,55560.0073652408,49942.4595603232,1
849000,170280.397244322,70561.4685093167,316799.51519422,59429.9521227915,36211.5575625313,2
850000,212316.461995926,83830.2867465456,340960.021522824,58487.4887574137,39426.077043627,2
851000,224407.879746123,64692.4218274192,303431.448224704,56642.430519553,35537.760909383,2
852000,359924.060186918,92953.6495155907,430124.647893676,86458.2440827903,66243.9621628025,2
853000,319056.719151679,73803.773680203,373319.567256472,75126.0543617294,63672.4090883653,2
854000,300783.561492621,68151.6234262509,390212.856257011,83334.468293958,59494.8694973575,2
855000,221890.001365858,58594.3993424108,302929.235124843,86599.026264324,60842.2299687431,2
856000,46624.5252862034,15113.0814868421,88978.5499076886,42691.1662984086,25187.3064446967,2
857000,125901.705788466,35759.2676524959,97985.4359787837,45271.6579807489,27289.9137307765,2
858000,100639.819282865,26904.3627326389,51817.2938402464,31319.5654049527,18553.6011093132,2
859000,96642.8695323762,24459.2247772725,44428.4800438093,14023.8019095813,9180.31005233513,2
860000,96605.1413009611,24389.7828934741,44309.8052630904,13997.155240859,9052.78788237124,2
861000,906.324890430596,482.320501536445,1003.21358613355,1103.93548218225,795.604864579273,2
862000,581.276384496735,322.787324978113,692.540305106143,508.821659270655,517.281774036338,2
863000,506.709569415032,305.397603574279,665.881052358809,483.82152410761,475.91729809665,2
864000,473.184252202169,305.070063800876,588.330527570319,429.265383402355,465.815415833751,2
865000,452.60559371226,296.044943336797,520.111149266486,517.226148869772,497.361674692739,2
866000,462.438599714439,336.890295929905,520.798450242824,499.393863038972,462.886305097319,1
867000,460.883619316622,317.608149391972,495.618974718793,464.601097286193,500.800415398559,1
868000,515.45436006549,335.707588177384,578.131908034168,511.97697038262,462.61791433349,1
869000,593.343102125804,382.183627227731,869.851605193876,493.705235732676,608.440056699509,1
870000,4852.22756192018,1644.78237523744,10418.9328794339,3600.48988808529,3642.20945101336,1
871000,30799.9185423815,11746.7181770512,29584.2413601878,16283.6006802574,8704.58690545866,1
872000,165879.942602688,34028.0929205155,76467.0877748709,32462.2361503548,17137.2242586818,1
873000,217063.114298522,65477.4729364404,115353.395494545,53872.0689866734,29956.9914544451,1
874000,395261.454901437,116320.052003211,166807.906702456,85991.8851295986,43012.7007688145,1
875000,432655.740947934,172403.065137635,233167.521914379,112492.71486457,57246.6208410585,1
876000,386552.098157668,268260.662536344,334253.047623937,146117.534734459,79896.5937595296,1
877000,472852.554128137,293470.427854166,360380.819730875,152499.891941007,93465.993482476,1
878000,407403.999339141,333031.470157443,386968.123195017,163891.792914685,118447.453873904,1
879000,412804.421001328,357665.50297953,394661.604125993,153640.018103438,121083.302024986,1
880000,442279.365141957,302492.433870766,354296.083938009,136946.180822412,129325.369571628,1
881000,442307.703515803,323091.085568587,403962.430808555,145086.658212993,137988.960103394,1
882000,662460.874006585,326379.729077388,544288.530264905,126796.748184143,138883.784748529,1
883000,667786.598352973,337527.812151159,660788.331157474,148812.680719646,170215.860654081,1
884000,716351.167459563,377028.598886361,745739.46752482,143276.033319636,165676.680565479,1
885000,1056598.59988623,396417.775246392,829732.198355131,138129.294517387,150971.74687451,1
886000,733428.906437474,305594.122480147,621942.132563698,132634.349114322,119032.410260146,1
887000,714242.510251211,222214.399862944,448806.720914564,232437.910396135,125908.951291328,1
888000,551603.619531994,121859.658528226,261331.030172517,206757.518770256,94866.619965,1
889000,106173.614339703,30156.3363902412,67670.9162013406,181878.043994657,78675.3455304628,1
890000,120551.724852049,36385.2451416062,110368.541250099,171379.476596543,80145.2089523164,1
