F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
620000,33.0881774724117,2471.61431419555,69484.4680688789,7621.83515431854,14182.7367735932,67600.0330251181,8196.64235750992,24904.2886090797,71456.1863704533,1
621000,28.8232955696291,2096.60316935274,12776.3629984989,2122.93327354631,10473.9817656161,17321.4395289327,4481.27498389317,23756.0026577157,14374.9425964466,1
622000,27.370893709339,1749.81643410138,3307.0001446396,1098.80400942201,8792.81274325302,7898.55958082237,3510.19879799245,21012.1572190467,4416.54933921969,1
623000,27.2431924971798,1524.89997619655,1675.57363858391,861.240427122988,10308.4454507626,6046.18656921276,3841.84274585279,18602.0442421636,2825.60613953571,1
624000,27.7607309151994,1871.12359651254,1305.08688601766,824.231264014124,12647.569091459,5499.83418242057,3938.37782505404,20123.7534215066,2189.75797301238,1
625000,30.5950963976109,2450.87075826371,1462.78209482731,857.296612100549,14272.7529085233,5997.92219217101,4373.00174150601,25286.5948662922,2234.20371031969,1
626000,30.5559586232489,3155.47262155566,1492.12925995463,988.783993448402,18227.4998575132,7243.12103684456,4675.61847589618,31256.5043204189,3202.29968836541,1
627000,30.4805014293539,3405.03151747286,1410.3227295874,1016.82225063429,18101.4279916443,7509.00468611927,4975.84811490482,38724.5165900029,3279.12304148592,1
628000,31.3667541324486,4466.99950349916,1317.59363845179,1191.20936391573,24327.5533492713,9137.34101357222,4982.42114992644,42969.3351200655,4441.98715756137,1
629000,31.282264175659,5051.72926527976,1164.95082023261,1214.55255733872,31178.9272044116,10584.1727502679,5883.38969294085,48173.5994098514,5551.51520950301,1
630000,32.9512993137336,5782.35840136544,1174.55795296407,1246.56111768725,36690.8185562743,11228.0786925591,6596.16449331082,55110.7317743846,5331.50788494957,1
631000,33.7450758823525,6644.69823588298,1246.48175715562,1326.08697328223,42501.5973193011,12008.5364809307,5974.35263007644,54669.8495873135,5649.97400613895,1
632000,33.7425182713481,6598.58643958984,1304.83655456742,1266.00164242382,43892.8165061243,12147.3458568535,6435.66292535691,56337.2887218538,5703.22240325291,1
633000,33.756189077544,6667.04989304232,1241.46679061577,1194.94546818112,42201.2502539326,11507.0325998764,6043.10132504426,55815.1263984196,5350.22769802255,1
634000,32.9993280787416,7043.55117636337,1409.19084253725,1321.37461977723,49921.3661528147,12503.9753502459,6955.54261425566,54339.0670328918,6523.91276050811,1
635000,34.148131790897,7206.88733735588,1540.51396331098,1424.04019905685,51333.7641348103,12178.0701112288,7184.66419546194,61260.9508036427,7092.59025924366,1
636000,33.6576723257263,6740.37118358608,1620.50236860627,1381.2826716308,49191.9985796424,10749.5054282549,6132.65361187676,57824.1533803824,7470.61732388274,1
637000,31.189364870114,6731.30166384451,1772.62461125903,1508.40912650134,48816.0255785192,9721.55021245845,5166.63746740101,48658.6714495708,8892.29621171037,1
638000,30.1797899292025,5078.06823741929,1586.9029145936,1226.32156046458,32228.7274550685,6492.29878412396,3461.88693972972,37689.2499276947,7193.53732841072,1
639000,26.7122274910408,3770.71392526893,1579.13627808781,1035.69018120803,22177.6067370382,4706.17727527744,2722.76051341542,20492.5549423554,6386.69244498746,1
640000,26.2927852944898,2885.12146944888,1348.88753865501,904.987257753011,14319.2593931496,3267.9339327232,2620.87545652304,17310.2184045724,4779.46949060897,1
641000,25.8675883518341,2139.56542105815,1285.99401925808,915.423145252939,11595.4909457463,3165.32662598358,2809.92300601502,17953.6878142534,3430.45480175695,1
642000,25.55615209771,2751.23281145816,1376.59454364929,1088.03546601343,15317.8372141916,3546.63912520745,2604.96940848112,21620.0181392726,4961.40781746092,1
643000,28.4639136166117,2968.62384938737,1203.90698895599,1175.69340807269,18161.2088333308,3949.94400877102,2829.63922549386,29474.6650921664,6185.94242452167,1
644000,28.4899643311419,3134.03290611535,1191.38513061827,1257.64508964167,20188.8448466982,4286.79731758169,3085.27104019312,31718.1055277197,7191.26559956517,1
645000,31.6955012411325,3289.85095626771,1089.52596013485,1292.00221950527,19641.9679618767,4040.45758060572,3473.40730139816,38595.8982410342,7332.38340599348,1
646000,36.9673988188252,3392.9127692352,1136.99266180476,1304.58513414496,20731.1543715826,4181.74782890296,3820.00369415656,52241.073090874,6831.09571431952,1
647000,37.4545130276064,4060.36895227375,1310.17277159898,1286.62887538745,22700.5724169136,3869.98058482941,3937.98440641385,63557.5450087032,5310.65677446007,1
648000,38.7129869636927,4206.22069074546,1520.10105866099,1255.30343959393,22465.8125830067,3911.74912791212,4179.15328364972,66060.3160323318,5104.28403539396,1
649000,35.6375172018346,3643.53277121164,1501.16482214882,1044.61894705043,19284.616392714,3199.42242266724,3227.75494382057,54822.2365149098,3945.26091137032,1
