Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,45","0,69","0,48","0,57","0,50","0,63","0,21","0,32","0,47","0,43","0,51","0,46","0,46","0,38","0,50","0,44","0,92","0,72","0,34","0,46","0,44","0,69","0,49","0,57"
,"3,00","5,00","0,00","0,00","4,00","4,50","0,00","0,00","0,50","3,50","0,00","0,00","0,50","3,50","0,00","0,00","1,50","2,00","0,00","0,00","1,00","5,00","0,00","0,00"
S02,"0,44","0,46","0,63","0,53","0,65","0,55","0,53","0,54","0,45","0,57","0,67","0,62","0,43","0,46","0,66","0,54","0,83","0,61","0,35","0,45","0,82","0,61","0,34","0,43"
,"0,50","2,00","0,00","0,00","1,50","4,50","0,00","0,00","1,00","2,50","0,00","0,00","2,00","4,50","0,00","0,00","2,00","5,00","0,00","0,00","4,50","5,00","0,00","0,00"
S03,"0,70","0,51","0,57","0,54","0,77","0,79","0,57","0,66","0,68","0,50","0,58","0,54","0,77","0,55","0,56","0,56","0,75","0,78","0,54","0,64","0,75","0,78","0,54","0,63"
,"2,00","2,50","0,00","0,00","0,50","2,50","0,00","0,00","2,00","2,50","0,00","0,00","1,50","3,50","0,00","0,00","1,50","2,50","0,00","0,00","0,50","2,50","0,00","0,00"
S04,"1,00","0,33","0,00","0,00","0,68","0,33","0,00","0,00","0,62","0,33","0,00","0,00","0,62","0,33","0,00","0,00","1,00","0,33","0,00","0,00","1,00","0,33","0,00","0,00"
,"2,00","4,00","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,50","0,00","0,00","1,50","3,00","0,00","0,00","0,50","1,00","0,00","0,00","2,00","4,00","0,00","0,00"
S05,"0,53","0,57","0,56","0,57","0,59","0,54","0,57","0,56","0,38","0,33","0,47","0,39","0,41","0,34","0,48","0,40","0,59","0,46","0,48","0,47","0,60","0,47","0,49","0,48"
,"1,00","3,50","0,00","0,00","2,00","3,50","0,00","0,00","4,50","5,00","0,00","0,00","1,00","3,50","0,00","0,00","2,00","5,00","0,00","0,00","2,00","4,50","0,00","0,00"
S06,"0,57","0,36","0,32","0,34","0,30","0,36","0,41","0,38","0,52","0,44","0,44","0,44","0,51","0,41","0,38","0,40","0,91","0,64","0,34","0,44","0,86","0,32","0,37","0,34"
,"1,00","1,50","0,00","0,00","1,00","2,00","0,00","0,00","1,00","2,50","0,00","0,00","0,50","1,50","0,00","0,00","1,50","3,50","0,00","0,00","1,00","5,00","0,00","0,00"
S07,"0,82","0,38","0,48","0,43","0,92","0,31","0,33","0,32","0,57","0,35","0,37","0,36","0,89","0,31","0,32","0,31","0,84","0,36","0,50","0,42","0,92","0,31","0,33","0,32"
,"1,50","5,00","0,00","0,00","1,50","5,00","0,00","0,00","2,50","4,50","0,00","0,00","1,50","4,50","0,00","0,00","1,50","3,00","0,00","0,00","3,50","4,50","0,00","0,00"
S08,"0,31","0,59","0,42","0,49","0,33","0,47","0,49","0,48","0,53","0,38","0,40","0,39","0,67","0,36","0,35","0,35","0,71","0,57","0,34","0,42","0,56","0,69","0,38","0,49"
,"3,00","4,50","0,00","0,00","1,00","3,00","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,50","0,00","0,00","0,50","4,50","0,00","0,00","1,50","2,00","0,00","0,00"
S09,"0,51","0,47","0,55","0,51","0,50","0,66","0,50","0,57","0,53","0,50","0,58","0,54","0,54","0,51","0,60","0,55","0,81","0,77","0,34","0,47","0,80","0,40","0,36","0,38"
,"2,00","3,50","0,00","0,00","3,50","4,00","0,00","0,00","1,50","2,00","0,00","0,00","0,50","1,50","0,00","0,00","3,00","4,00","0,00","0,00","3,00","4,50","0,00","0,00"
S10,"0,73","0,33","0,00","0,00","0,33","0,33","0,00","0,00","0,24","0,33","0,00","0,00","0,50","0,33","0,00","0,00","1,00","0,33","0,00","0,00","1,00","0,33","0,00","0,00"
,"0,50","1,00","0,00","0,00","0,50","5,00","0,00","0,00","1,50","5,00","0,00","0,00","4,00","4,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00"
