Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,49","0,39","0,54","0,45","0,47","0,63","0,24","0,34","0,49","0,38","0,47","0,42","0,48","0,37","0,49","0,42","0,92","0,31","0,33","0,32","0,50","0,52","0,44","0,48"
,"1,00","2,50","0,00","0,00","0,50","2,50","0,00","0,00","0,50","2,00","0,00","0,00","1,00","2,50","0,00","0,00","1,50","2,00","0,00","0,00","1,50","2,50","0,00","0,00"
S02,"0,39","0,41","0,49","0,45","0,53","0,59","0,22","0,32","0,44","0,39","0,44","0,42","0,44","0,39","0,43","0,41","0,82","0,61","0,34","0,44","0,81","0,27","0,33","0,30"
,"0,50","1,00","0,00","0,00","0,50","2,00","0,00","0,00","1,50","2,00","0,00","0,00","1,00","2,00","0,00","0,00","0,50","2,00","0,00","0,00","1,50","2,50","0,00","0,00"
S03,"0,68","0,50","0,56","0,53","0,77","0,79","0,55","0,65","0,16","0,40","0,33","0,36","0,71","0,51","0,55","0,53","0,76","0,92","0,34","0,49","0,76","0,61","0,51","0,56"
,"2,00","2,50","0,00","0,00","1,50","2,00","0,00","0,00","0,50","2,50","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,00","0,00","0,00","0,50","1,50","0,00","0,00"
S04,"1,00","0,33","0,00","0,00","0,66","0,33","0,00","0,00","0,62","0,33","0,00","0,00","0,62","0,33","0,00","0,00","1,00","0,33","0,00","0,00","1,00","0,33","0,00","0,00"
,"0,50","1,00","0,00","0,00","0,50","1,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","2,00","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00"
S05,"0,52","0,53","0,50","0,51","0,60","0,52","0,54","0,53","0,27","0,29","0,29","0,29","0,33","0,24","0,21","0,22","0,67","0,56","0,33","0,42","0,24","0,47","0,35","0,40"
,"2,00","2,50","0,00","0,00","2,00","2,50","0,00","0,00","1,00","1,50","0,00","0,00","1,50","2,00","0,00","0,00","1,00","1,50","0,00","0,00","2,00","2,50","0,00","0,00"
S06,"0,56","0,34","0,35","0,34","0,42","0,32","0,31","0,32","0,54","0,40","0,40","0,40","0,56","0,33","0,35","0,34","0,90","0,30","0,33","0,32","0,88","0,30","0,32","0,31"
,"0,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00","1,50","2,00","0,00","0,00","1,50","2,00","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,50","0,00","0,00"
S07,"0,41","0,37","0,42","0,39","0,41","0,33","0,33","0,33","0,35","0,35","0,40","0,37","0,32","0,37","0,48","0,42","0,92","0,31","0,33","0,32","0,54","0,35","0,42","0,38"
,"0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00","0,50","2,00","0,00","0,00","1,00","2,50","0,00","0,00","1,00","1,50","0,00","0,00","1,50","2,00","0,00","0,00"
S08,"0,34","0,58","0,24","0,34","0,40","0,35","0,39","0,37","0,51","0,34","0,35","0,35","0,68","0,36","0,35","0,36","0,70","0,57","0,34","0,42","0,70","0,23","0,33","0,28"
,"1,00","2,00","0,00","0,00","0,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00","0,50","2,50","0,00","0,00","0,50","2,50","0,00","0,00","1,00","1,50","0,00","0,00"
S09,"0,51","0,31","0,48","0,38","0,51","0,47","0,52","0,49","0,57","0,53","0,61","0,56","0,60","0,43","0,48","0,45","0,81","0,60","0,33","0,43","0,57","0,36","0,40","0,38"
,"0,50","2,00","0,00","0,00","1,00","2,50","0,00","0,00","2,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00","0,50","1,50","0,00","0,00","1,50","2,50","0,00","0,00"
S10,"1,00","0,33","0,00","0,00","0,26","0,33","0,00","0,00","0,69","0,33","0,00","0,00","0,13","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,78","0,33","0,00","0,00"
,"0,50","1,50","0,00","0,00","0,50","2,00","0,00","0,00","1,00","2,00","0,00","0,00","1,50","2,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00"
