Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,92","0,31","0,33","0,32","0,29","0,31","0,32","0,31","0,48","0,38","0,47","0,42","0,23","0,35","0,35","0,35","0,92","0,81","0,35","0,48","0,92","0,31","0,33","0,32"
,"2,00","2,50","0,00","0,00","0,50","2,50","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,50","0,00","0,00","1,00","2,00","0,00","0,00","2,00","2,50","0,00","0,00"
S02,"0,49","0,56","0,48","0,52","0,35","0,41","0,41","0,41","0,38","0,42","0,48","0,45","0,41","0,39","0,42","0,40","0,82","0,61","0,34","0,43","0,82","0,44","0,35","0,39"
,"0,50","2,00","0,00","0,00","1,00","2,00","0,00","0,00","1,00","1,50","0,00","0,00","1,00","1,50","0,00","0,00","0,50","1,00","0,00","0,00","1,00","2,00","0,00","0,00"
S03,"0,69","0,58","0,57","0,57","0,67","0,70","0,56","0,62","0,16","0,25","0,27","0,26","0,71","0,50","0,56","0,53","0,69","0,68","0,51","0,58","0,75","0,43","0,50","0,46"
,"1,50","2,50","0,00","0,00","1,00","1,50","0,00","0,00","1,00","2,50","0,00","0,00","1,00","2,50","0,00","0,00","0,50","2,00","0,00","0,00","0,50","2,50","0,00","0,00"
S04,"0,69","0,33","0,00","0,00","0,61","0,33","0,00","0,00","0,60","0,33","0,00","0,00","0,60","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,67","0,33","0,00","0,00"
,"0,50","1,00","0,00","0,00","1,00","2,50","0,00","0,00","0,50","2,00","0,00","0,00","1,00","2,50","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,00","0,00","0,00"
S05,"0,56","0,50","0,51","0,51","0,52","0,52","0,53","0,52","0,33","0,22","0,19","0,21","0,26","0,23","0,27","0,25","0,67","0,56","0,33","0,42","0,56","0,43","0,44","0,44"
,"1,50","2,50","0,00","0,00","1,00","2,50","0,00","0,00","0,50","2,00","0,00","0,00","0,50","2,50","0,00","0,00","1,50","2,50","0,00","0,00","1,00","2,00","0,00","0,00"
S06,"0,58","0,36","0,38","0,37","0,18","0,26","0,18","0,21","0,52","0,36","0,46","0,40","0,56","0,37","0,44","0,40","0,91","0,42","0,34","0,38","0,57","0,36","0,34","0,35"
,"1,00","1,50","0,00","0,00","0,50","1,00","0,00","0,00","0,50","2,50","0,00","0,00","0,50","1,50","0,00","0,00","2,00","2,50","0,00","0,00","1,50","2,50","0,00","0,00"
S07,"0,50","0,34","0,44","0,38","0,44","0,34","0,32","0,33","0,81","0,33","0,32","0,32","0,32","0,37","0,43","0,40","0,92","0,47","0,34","0,39","0,92","0,47","0,34","0,39"
,"0,50","1,00","0,00","0,00","1,00","2,00","0,00","0,00","1,00","2,00","0,00","0,00","0,50","1,00","0,00","0,00","2,00","2,50","0,00","0,00","0,50","1,00","0,00","0,00"
S08,"0,70","0,68","0,34","0,45","0,34","0,38","0,42","0,40","0,64","0,34","0,34","0,34","0,63","0,33","0,32","0,33","0,70","0,57","0,34","0,42","0,69","0,23","0,33","0,27"
,"1,50","2,00","0,00","0,00","0,50","2,50","0,00","0,00","1,00","2,00","0,00","0,00","0,50","1,00","0,00","0,00","1,50","2,50","0,00","0,00","1,00","2,50","0,00","0,00"
S09,"0,52","0,37","0,39","0,38","0,57","0,51","0,59","0,55","0,59","0,44","0,50","0,47","0,60","0,43","0,48","0,45","0,81","0,60","0,34","0,43","0,81","0,60","0,33","0,43"
,"2,00","2,50","0,00","0,00","1,50","2,50","0,00","0,00","1,00","2,00","0,00","0,00","0,50","1,00","0,00","0,00","0,50","2,00","0,00","0,00","1,50","2,00","0,00","0,00"
S10,"1,00","0,33","0,00","0,00","0,32","0,33","0,00","0,00","0,63","0,33","0,00","0,00","0,13","0,33","0,00","0,00","1,00","0,33","0,00","0,00","1,00","0,33","0,00","0,00"
,"0,50","1,00","0,00","0,00","0,50","2,50","0,00","0,00","0,50","2,00","0,00","0,00","0,50","2,00","0,00","0,00","0,50","1,00","0,00","0,00","0,50","1,00","0,00","0,00"
