Tutti,CMEANS,,,,KMEANS-CITYBLOCK,,,,KMEANS-CORRELATION,,,,KMEANS-COSINE,,,,KMEANS-EUCLIDEAN,,,,NEURAL NETWORK,,,
Paziente,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure,Accuratezza,Precisione,Recall,F1-measure
S01,"0,92","0,31","0,33","0,32","0,50","0,35","0,44","0,39","0,49","0,39","0,55","0,45","0,47","0,38","0,47","0,42","0,93","0,64","0,35","0,45","0,42","0,67","0,48","0,56"
,"0,50","2,50","0,00","0,00","2,00","2,50","0,00","0,00","2,50","5,00","0,00","0,00","0,50","3,00","0,00","0,00","0,50","5,00","0,00","0,00","3,00","5,00","0,00","0,00"
S02,"0,53","0,41","0,55","0,47","0,87","0,29","0,33","0,31","0,49","0,47","0,54","0,50","0,49","0,41","0,51","0,46","0,87","0,96","0,34","0,50","0,87","0,63","0,34","0,44"
,"1,50","2,00","0,00","0,00","1,00","5,00","0,00","0,00","0,50","5,00","0,00","0,00","2,50","5,00","0,00","0,00","1,00","1,50","0,00","0,00","3,50","4,50","0,00","0,00"
S03,"0,67","0,69","0,53","0,60","0,80","0,82","0,60","0,69","0,76","0,60","0,58","0,59","0,76","0,51","0,56","0,53","0,70","0,68","0,53","0,60","0,74","0,51","0,56","0,53"
,"3,00","3,50","0,00","0,00","1,00","4,50","0,00","0,00","1,00","3,00","0,00","0,00","2,00","4,00","0,00","0,00","0,50","2,50","0,00","0,00","1,50","3,50","0,00","0,00"
S04,"1,00","0,33","0,00","0,00","0,63","0,33","0,00","0,00","0,61","0,33","0,00","0,00","0,61","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,67","0,33","0,00","0,00"
,"0,50","3,50","0,00","0,00","1,00","3,00","0,00","0,00","0,50","4,50","0,00","0,00","0,50","1,50","0,00","0,00","1,00","1,50","0,00","0,00","0,50","2,00","0,00","0,00"
S05,"0,60","0,46","0,58","0,51","0,65","0,41","0,52","0,46","0,56","0,47","0,55","0,51","0,64","0,43","0,52","0,47","0,63","0,76","0,54","0,63","0,83","0,61","0,33","0,43"
,"3,00","4,00","0,00","0,00","2,50","3,00","0,00","0,00","3,50","4,00","0,00","0,00","2,00","5,00","0,00","0,00","3,50","5,00","0,00","0,00","2,50","3,00","0,00","0,00"
S06,"0,93","0,31","0,33","0,32","0,52","0,39","0,40","0,39","0,43","0,40","0,51","0,45","0,53","0,35","0,40","0,37","0,93","0,64","0,37","0,47","0,93","0,31","0,33","0,32"
,"3,50","4,50","0,00","0,00","1,00","4,00","0,00","0,00","1,50","4,50","0,00","0,00","0,50","1,50","0,00","0,00","0,50","2,50","0,00","0,00","2,00","2,50","0,00","0,00"
S07,"0,95","0,32","0,33","0,32","0,95","0,32","0,33","0,32","0,92","0,32","0,32","0,32","0,88","0,32","0,31","0,31","0,95","0,65","0,35","0,46","0,95","0,32","0,33","0,32"
,"3,00","4,00","0,00","0,00","1,50","3,00","0,00","0,00","0,50","4,00","0,00","0,00","2,50","4,50","0,00","0,00","0,50","4,50","0,00","0,00","1,50","4,50","0,00","0,00"
S08,"0,54","0,37","0,43","0,40","0,85","0,29","0,33","0,31","0,80","0,29","0,31","0,30","0,79","0,32","0,33","0,32","0,87","0,29","0,33","0,31","0,85","0,31","0,33","0,32"
,"1,00","3,50","0,00","0,00","1,50","2,50","0,00","0,00","2,50","4,50","0,00","0,00","1,00","3,50","0,00","0,00","4,50","5,00","0,00","0,00","1,00","2,00","0,00","0,00"
S09,"0,53","0,42","0,53","0,47","0,49","0,46","0,57","0,51","0,51","0,46","0,57","0,51","0,46","0,45","0,56","0,49","0,84","0,95","0,34","0,50","0,84","0,61","0,33","0,43"
,"2,00","3,50","0,00","0,00","1,00","5,00","0,00","0,00","1,00","1,50","0,00","0,00","0,50","3,00","0,00","0,00","0,50","2,00","0,00","0,00","1,50","2,50","0,00","0,00"
S10,"0,65","0,33","0,00","0,00","0,33","0,33","0,00","0,00","0,65","0,33","0,00","0,00","0,64","0,33","0,00","0,00","1,00","0,33","0,00","0,00","0,97","0,33","0,00","0,00"
,"1,00","3,00","0,00","0,00","2,00","5,00","0,00","0,00","1,00","2,00","0,00","0,00","1,00","3,00","0,00","0,00","0,50","1,00","0,00","0,00","2,00","4,00","0,00","0,00"
