CLUSTER,CLUSTER_MOD,REAL
1,3,0
1,3,15.8507458790441
1,3,32.3848585682865
1,3,50.1665423094782
1,3,69.499187678997
1,3,87.6281474791014
1,3,104.813905916439
1,3,122.997877565641
1,3,141.892168500056
1,3,162.322548214214
1,3,182.325424870741
1,3,200.468073096759
1,3,218.981145169031
1,3,236.045901633634
1,3,252.761199987881
1,3,272.509720520267
1,3,293.566523539344
1,3,312.973220828351
1,3,328.649236018121
1,3,343.736641674814
1,3,357.771199910705
1,3,374.484270560513
1,3,392.824078995086
1,3,409.034372458141
1,3,427.70089590613
1,3,451.095977851746
1,3,479.000473996158
1,3,507.204727364215
1,3,533.874315184476
1,3,558.522722713281
1,3,603.196062261369
2,4,694.982376504789
2,4,826.693049587583
2,4,964.974066097905
2,4,1124.23811659081
2,4,1309.57543666524
2,4,1472.49403437922
2,4,1607.93569715122
2,4,1746.45908547643
2,4,1883.81092301991
2,4,2001.37042298658
2,4,2139.42082225168
2,4,2271.39344925702
2,4,2388.3089388237
2,4,2526.09018618023
2,4,2699.16569300659
2,4,2882.37879107755
2,4,3051.67069112415
2,4,3206.13046124723
2,4,3337.47974821206
2,4,3486.47575800366
2,4,3665.98877727971
2,4,3865.31029682677
2,4,4074.7542209245
2,4,4262.07292768813
1,3,4358.44757399319
1,3,4418.68558937327
2,4,4532.16073103988
1,3,4615.49818050717
1,3,4644.17830553283
1,3,4671.54879653339
1,3,4693.43578323385
1,3,4710.16395178657
1,3,4727.47392433438
1,3,4745.80002511637
1,3,4762.77898378616
1,3,4778.23522194345
1,3,4791.46483726776
1,3,4804.89446393263
1,3,4818.62567351456
1,3,4830.97525424729
1,3,4842.99629825577
1,3,4891.12649925369
2,4,4989.40935359264
2,4,5111.7050881514
2,4,5232.45222151295
2,4,5335.70858041093
2,4,5442.64254066739
2,4,5560.7879276772
2,4,5674.02045559119
2,4,5788.43859247449
2,4,5919.38023845584
2,4,6055.96591725806
2,4,6171.85198246272
2,4,6280.01702918103
2,4,6393.96343984883
2,4,6508.86096680898
2,4,6636.47072705062
2,4,6763.05561257953
2,4,6884.91115523374
2,4,7023.92441903357
2,4,7168.65991697204
2,4,7314.77523034542
2,4,7478.56604049496
2,4,7648.82456616249
2,4,7845.10268024207
2,4,8074.18114705945
2,4,8303.73413105128
1,3,8436.54018892307
1,3,8471.21205989534
1,3,8517.65912393784
1,3,8569.74058205892
2,4,8641.17233408811
2,4,8739.01993175798
2,4,8840.45518968366
1,3,8936.61598224101
2,4,9041.92773411233
2,4,9162.15380107346
1,3,9233.57576497602
1,3,9257.27979762822
1,3,9276.06388218257
1,3,9298.97370610311
2,4,9372.46187559714
2,4,9510.98380582542
1,3,9677.62427375693
1,3,9792.24683705758
1,3,9825.92862957554
1,3,9843.88202554611
1,3,9859.95203732322
1,3,9872.61652196945
1,3,9887.57746538067
1,3,9931.43130032068
2,4,10027.2270078277
2,4,10136.1427721625
2,4,10272.1601743446
1,3,10403.9010619439
2,4,10530.5761760073
2,4,10668.8820953576
1,3,10752.0393445053
1,3,10809.5326115529
2,4,10897.296798629
2,4,11015.6209231841
1,3,11105.9755375115
1,3,11163.2578781697
1,3,11216.8687063955
1,3,11294.4591639063
2,4,11407.6332432383
2,4,11526.9283671459
1,3,11584.7617668848
2,4,11636.2232960654
2,4,11740.5604866453
2,4,11845.9498109648
2,4,11949.726342024
2,4,12074.9508771704
1,3,12174.6944788204
1,3,12230.9472852091
1,3,12275.5500532015
1,3,12306.3138618256
1,3,12339.017727613
1,3,12369.7385044917
1,3,12398.523979573
1,3,12429.8671511729
1,3,12459.80518313
1,3,12523.2531271572
2,4,12614.7881419337
2,4,12705.4038152368
2,4,12804.8020287129
2,4,12899.7250235989
2,4,13018.6358262056
1,3,13137.5903512206
2,4,13284.2431337973
2,4,13504.8184138024
2,4,13745.2031595549
