CLUSTER,CLUSTER_MOD,REAL
2,4,0
2,4,15.8507458790441
2,4,32.3848585682865
2,4,50.1665423094782
2,4,69.499187678997
2,4,87.6281474791014
2,4,104.813905916439
2,4,122.997877565641
2,4,141.892168500056
2,4,162.322548214214
2,4,182.325424870741
2,4,200.468073096759
2,4,218.981145169031
2,4,236.045901633634
2,4,252.761199987881
2,4,272.509720520267
2,4,293.566523539344
2,4,312.973220828351
2,4,328.649236018121
2,4,343.736641674814
2,4,357.771199910705
2,4,374.484270560513
2,4,392.824078995086
2,4,409.034372458141
2,4,427.70089590613
2,4,451.095977851746
2,4,479.000473996158
2,4,507.204727364215
2,4,533.874315184476
2,4,558.522722713281
2,4,603.196062261369
1,3,694.982376504789
1,3,826.693049587583
1,3,964.974066097905
1,3,1124.23811659081
1,3,1309.57543666524
1,3,1472.49403437922
1,3,1607.93569715122
1,3,1746.45908547643
1,3,1883.81092301991
1,3,2001.37042298658
1,3,2139.42082225168
1,3,2271.39344925702
1,3,2388.3089388237
1,3,2526.09018618023
1,3,2699.16569300659
1,3,2882.37879107755
1,3,3051.67069112415
1,3,3206.13046124723
1,3,3337.47974821206
1,3,3486.47575800366
1,3,3665.98877727971
1,3,3865.31029682677
1,3,4074.7542209245
1,3,4262.07292768813
2,4,4358.44757399319
2,4,4418.68558937327
1,3,4532.16073103988
2,4,4615.49818050717
2,4,4644.17830553283
2,4,4671.54879653339
2,4,4693.43578323385
2,4,4710.16395178657
2,4,4727.47392433438
2,4,4745.80002511637
2,4,4762.77898378616
2,4,4778.23522194345
2,4,4791.46483726776
2,4,4804.89446393263
2,4,4818.62567351456
2,4,4830.97525424729
2,4,4842.99629825577
2,4,4891.12649925369
1,3,4989.40935359264
1,3,5111.7050881514
1,3,5232.45222151295
1,3,5335.70858041093
1,3,5442.64254066739
1,3,5560.7879276772
1,3,5674.02045559119
1,3,5788.43859247449
1,3,5919.38023845584
1,3,6055.96591725806
2,4,6171.85198246272
1,3,6280.01702918103
1,3,6393.96343984883
1,3,6508.86096680898
1,3,6636.47072705062
1,3,6763.05561257953
1,3,6884.91115523374
1,3,7023.92441903357
1,3,7168.65991697204
1,3,7314.77523034542
1,3,7478.56604049496
1,3,7648.82456616249
1,3,7845.10268024207
1,3,8074.18114705945
2,4,8303.73413105128
2,4,8436.54018892307
2,4,8471.21205989534
2,4,8517.65912393784
2,4,8569.74058205892
2,4,8641.17233408811
1,3,8739.01993175798
1,3,8840.45518968366
2,4,8936.61598224101
1,3,9041.92773411233
1,3,9162.15380107346
2,4,9233.57576497602
2,4,9257.27979762822
2,4,9276.06388218257
2,4,9298.97370610311
2,4,9372.46187559714
1,3,9510.98380582542
2,4,9677.62427375693
2,4,9792.24683705758
2,4,9825.92862957554
2,4,9843.88202554611
2,4,9859.95203732322
2,4,9872.61652196945
2,4,9887.57746538067
2,4,9931.43130032068
1,3,10027.2270078277
2,4,10136.1427721625
1,3,10272.1601743446
2,4,10403.9010619439
1,3,10530.5761760073
1,3,10668.8820953576
2,4,10752.0393445053
2,4,10809.5326115529
2,4,10897.296798629
2,4,11015.6209231841
2,4,11105.9755375115
2,4,11163.2578781697
2,4,11216.8687063955
2,4,11294.4591639063
1,3,11407.6332432383
1,3,11526.9283671459
2,4,11584.7617668848
1,3,11636.2232960654
2,4,11740.5604866453
1,3,11845.9498109648
1,3,11949.726342024
2,4,12074.9508771704
2,4,12174.6944788204
2,4,12230.9472852091
2,4,12275.5500532015
2,4,12306.3138618256
2,4,12339.017727613
2,4,12369.7385044917
2,4,12398.523979573
2,4,12429.8671511729
2,4,12459.80518313
2,4,12523.2531271572
1,3,12614.7881419337
1,3,12705.4038152368
2,4,12804.8020287129
1,3,12899.7250235989
1,3,13018.6358262056
2,4,13137.5903512206
1,3,13284.2431337973
1,3,13504.8184138024
1,3,13745.2031595549
1,3,14004.2132925371
1,3,14224.595081173
1,3,14378.9029155434
1,3,14558.6393819081
2,4,14717.3740472992
2,4,14833.913210012
2,4,14924.1657262318
2,4,14965.0006374893
2,4,14998.2870544308
2,4,15031.9273386004
2,4,15071.176137685
2,4,15147.5524086911
1,3,15259.5728064133
1,3,15480.5442766477
1,3,15805.0228021027
1,3,16062.9521958304
1,3,16290.4873050228
1,3,16508.3688063603
1,3,16673.2859876875
1,3,16834.8710713494
2,4,16971.195783481
2,4,17036.440609282
2,4,17091.0582292689
2,4,17143.6051084863
2,4,17189.4042706844
2,4,17243.2274386
2,4,17330.6036108824
1,3,17608.0327783607
1,3,18009.7835198599
1,3,18322.4683893772
2,4,18464.8200026437
2,4,18505.0267112916
2,4,18532.3042680849
2,4,18552.5021343932
2,4,18581.3955793046
2,4,18628.7366429093
2,4,18685.3676183495
2,4,18733.9537321431
2,4,18783.1217127665
2,4,18821.097914201
2,4,18842.3064776736
2,4,18863.1384990702
2,4,18879.9521955651
2,4,18898.5599311222
2,4,18924.3968522065
2,4,18967.0610783962
1,3,19087.5969182622
1,3,19381.3348673533
1,3,19714.4056578955
1,3,19988.8520947942
2,4,20187.7988891124
2,4,20262.3017381746
2,4,20325.9264792184
2,4,20391.2002297788
2,4,20425.5416734751
1,3,20578.9572243522
2,4,20759.4739148163
2,4,20815.6006694762
2,4,20846.5629062737
2,4,20872.658285695
2,4,20889.9825653926
2,4,20908.566195017
2,4,20930.0081636051
2,4,20953.6229654987
2,4,20974.292492332
2,4,20991.4009950343
2,4,21007.150438646
2,4,21021.6474683457
2,4,21039.9791386918
2,4,21062.2567928153
2,4,21082.4068451431
2,4,21105.717816283
2,4,21133.0452505268
2,4,21154.6751982973
2,4,21186.37692398
2,4,21267.1649205625
2,4,21333.1440543584
2,4,21415.2928475513
1,3,21571.9084371086
1,3,21757.6287354784
2,4,21920.1556013011
1,3,22056.2576748065
2,4,22206.1576035227
1,3,22387.4460082201
1,3,22589.1737665375
1,3,22755.5189762055
1,3,22905.3420885459
1,3,23059.5541057352
1,3,23191.7903073206
1,3,23289.4461142806
1,3,23380.2224979932
1,3,23483.2457485197
1,3,23609.5020702571
1,3,23737.4024008188
1,3,23850.8836157756
1,3,23986.0709468746
2,4,24116.7823587579
1,3,24254.354608464
1,3,24406.0605833648
1,3,24536.216029445
1,3,24664.3311293004
1,3,24804.9952044097
1,3,24970.2883526821
1,3,25129.7861047555
1,3,25318.2085352297
1,3,25520.2783751974
2,4,25648.4011746991
2,4,25734.8603779775
1,3,25863.1850953955
1,3,26044.5834385805
2,4,26162.0997179611
2,4,26248.6807184397
2,4,26356.2895560323
2,4,26455.3060120195
2,4,26562.5395165081
2,4,26667.8843331898
1,3,26759.5782548769
1,3,26858.8343853791
2,4,26980.684929432
1,3,27083.7886665266
1,3,27188.556503844
1,3,27299.1510410962
2,4,27391.3247116525
1,3,27487.2123320006
1,3,27603.7530310086
1,3,27729.3401076444
1,3,27854.3236304282
1,3,27972.9569343537
2,4,28079.0419702488
1,3,28186.8706992371
2,4,28293.9425564627
2,4,28388.4065482904
2,4,28488.2448321013
2,4,28568.9200444563
2,4,28612.7294266258
2,4,28641.8129544627
2,4,28677.0486805906
2,4,28731.9693736132
2,4,28780.2409827593
2,4,28816.7083133049
2,4,28845.7451626223
2,4,28867.2511066933
2,4,28888.2063403133
2,4,28920.299329928
2,4,28972.930403181
2,4,29016.5891920509
2,4,29075.367816795
2,4,29167.1741446717
1,3,29283.1473843359
1,3,29407.2099455671
1,3,29518.7430797977
2,4,29630.7413887569
2,4,29723.8435843091
2,4,29802.1254078795
2,4,29851.3879823874
2,4,29874.1025286012
2,4,29901.5763113658
2,4,29926.6763229448
2,4,29947.8121481046
2,4,29973.8880472865
2,4,30013.6103641724
2,4,30056.4360520362
2,4,30092.9067739637
2,4,30122.5523792652
2,4,30145.2888687035
2,4,30172.1217042123
2,4,30203.8740039571
2,4,30233.9472161351
2,4,30260.9988494354
2,4,30284.9985897165
2,4,30306.440172746
2,4,30327.9339945324
2,4,30357.9552991395
2,4,30389.6302610228
2,4,30419.82266571
2,4,30455.4278614886
2,4,30503.6073699006
2,4,30566.3714291849
1,3,30700.3993451929
2,4,30877.6139994848
2,4,30981.406051527
2,4,31034.3443002594
2,4,31089.2921556444
2,4,31151.4831543377
2,4,31205.3837948853
2,4,31268.3641690497
2,4,31413.1404722444
2,4,31604.5417512441
1,3,31778.1232684116
2,4,31919.6586216042
1,3,32048.3397184022
2,4,32162.266510878
1,3,32262.9015710088
2,4,32377.7954440552
1,3,32494.6481641088
2,4,32594.9593884991
2,4,32678.6381929594
1,3,32808.5102737253
1,3,32972.7926103695
1,3,33152.0559126799
1,3,33312.5567960156
1,3,33442.1201365852
1,3,33602.0565072992
1,3,33744.0788687452
1,3,33864.0036278068
1,3,34014.2206266703
1,3,34162.1424120351
1,3,34289.4682675457
1,3,34423.8457158639
1,3,34556.5160179219
1,3,34679.8744189102
1,3,34809.6740815897
2,4,34923.8001591149
2,4,34990.8693243851
2,4,35028.5471379867
2,4,35074.3249752443
2,4,35120.2751200202
2,4,35175.6389099415
2,4,35230.7914183294
2,4,35287.4763824975
2,4,35342.2666483448
2,4,35384.8147235216
1,3,35595.6633896209
2,4,35786.26453511
1,3,35884.4962284084
1,3,36043.9541701696
1,3,36167.9037923471
1,3,36313.6329643183
1,3,36498.4354459344
1,3,36677.0704645468
1,3,36893.0123084253
1,3,37138.3478245547
2,4,37323.8594535881
2,4,37499.9795678501
2,4,37652.4940726128
2,4,37735.6687481467
2,4,37790.8429609294
2,4,37821.6826199363
