CLUSTER,CLUSTER_MOD,REAL
1,3,0
1,3,15.2020185649878
1,3,31.3841076522082
1,3,48.0365443085324
1,3,65.1563013737375
1,3,84.6960453542238
1,3,103.147600013481
1,3,117.961778192185
1,3,132.56970449869
1,3,145.89674143375
1,3,157.445505435763
1,3,171.471094188025
1,3,187.453985020269
1,3,201.816914649198
1,3,215.286119268187
1,3,229.290646492371
1,3,242.563001370454
1,3,256.288663932657
1,3,271.073117102143
1,3,286.053085510596
1,3,301.342871204823
1,3,313.955706507852
1,3,325.756862175924
1,3,340.854516826854
1,3,355.692470764337
1,3,422.908113268692
2,4,714.593127012446
2,4,1213.86526063921
2,4,1778.06613794042
1,3,2346.68135738131
2,4,2848.0587381894
2,4,3311.78460825418
1,3,3747.6029787963
1,3,4076.46956804032
2,4,4463.6651484798
2,4,5040.71936705537
2,4,5619.21432853803
2,4,6110.63080737873
2,4,6620.37662604244
2,4,7149.14532724332
1,3,7551.90548730903
1,3,7923.98018982017
1,3,8344.02015537684
2,4,8804.17448014761
2,4,9318.18380003975
2,4,9852.12149053231
2,4,10353.5676487165
2,4,10743.6503129712
1,3,10983.181502829
2,4,11387.3034893142
2,4,11988.9867831033
2,4,12503.5448273902
2,4,13037.5522726377
2,4,13656.8731333885
2,4,14238.8531570735
2,4,14737.06366074
1,3,15086.9089778752
2,4,15463.0434603297
1,3,15947.8421985194
2,4,16387.4216441168
2,4,16857.2127132108
2,4,17401.3913587427
1,3,17912.1544494251
2,4,18362.4849826586
1,3,18738.8806489403
1,3,19023.6760221904
2,4,19465.288347399
2,4,20035.0442784244
2,4,20574.5139403976
2,4,21058.2799410896
2,4,21525.4621796758
2,4,22007.0353452953
1,3,22371.6870215294
2,4,22733.681056586
2,4,23225.8494270263
2,4,23784.7661700474
2,4,24353.7595891604
2,4,24869.0546405696
2,4,25379.4033916989
2,4,25855.4119438112
1,3,26188.546725308
2,4,26561.6981238743
2,4,27115.5268311939
2,4,27699.9862163745
2,4,28231.6236042369
2,4,28705.755461349
2,4,29137.8733824349
1,3,29539.5995105368
2,4,29954.6900248789
1,3,30276.1888555133
1,3,30477.4425878707
1,3,30589.6273740595
1,3,30614.7083170918
1,3,30638.5414625955
1,3,30661.1650045758
1,3,30687.0534008616
1,3,30718.0276807069
1,3,30748.940270118
1,3,30781.6865908616
1,3,30814.003513723
1,3,30839.3617968255
1,3,30860.8883716338
1,3,30883.3852601016
1,3,30910.3533463931
1,3,30940.3386078919
1,3,30965.8493586987
1,3,30989.8820738428
1,3,31018.4908557947
1,3,31044.2373435655
1,3,31063.9491055301
1,3,31140.4256565351
1,3,31261.2664424811
1,3,31335.6206665216
1,3,31391.3040870765
1,3,31476.9264345152
1,3,31581.9078913763
1,3,31646.3024500111
1,3,31667.5205246483
1,3,31693.5687679465
1,3,31718.9258836222
1,3,31772.0481463944
2,4,32083.3539556587
1,3,32366.1762396584
1,3,32394.4402118609
1,3,32427.8098721395
1,3,32676.9752758298
2,4,33156.1120342122
2,4,33634.3027881329
1,3,34039.685862157
2,4,34440.5819700315
2,4,34842.6614080493
2,4,35311.0905816775
2,4,35894.6361515857
2,4,36420.4792880682
1,3,36792.5720872632
2,4,37121.815392678
2,4,37588.8802803196
2,4,38095.8801613046
2,4,38559.5938780914
2,4,39030.6450143481
2,4,39493.9882328759
2,4,39879.1125268975
2,4,40373.3593888029
2,4,40946.5411349141
1,3,41272.494906421
1,3,41372.9131008724
1,3,41400.7142683023
1,3,41435.3349488138
1,3,41486.4485215664
1,3,41531.4783113919
1,3,41655.4154023701
2,4,42050.4342093521
1,3,42563.6731058555
2,4,43006.9132838224
2,4,43499.3183217229
2,4,43997.6023194512
2,4,44440.5030581987
1,3,44738.4334302984
1,3,44968.403210646
1,3,45203.0557331316
2,4,45552.9909934367
2,4,46164.9120982775
2,4,46799.413058334
2,4,47301.8944951553
2,4,47749.1936344297
2,4,48209.8366035002
2,4,48626.4449893926
2,4,49038.0779057473
2,4,49461.8911354344
1,3,49820.8015526606
2,4,50319.3123961175
2,4,51053.6306599496
1,3,51638.1397504035
2,4,52038.8185606741
2,4,52487.7702912626
2,4,52964.6049661103
1,3,53334.431222008
2,4,53884.8023551153
2,4,54515.5433450297
2,4,54940.0300658886
2,4,55413.7528293716
2,4,56023.7927213214
2,4,56634.2809425413
2,4,57170.8883001341
2,4,57729.5700878994
1,3,58168.996974967
1,3,58369.897679859
2,4,58653.5854034158
1,3,59091.9312307792
2,4,59619.5812461969
2,4,60127.1892245052
1,3,60328.6467555464
1,3,60360.6345631261
1,3,60410.6640125877
1,3,60591.8110117032
2,4,60969.1427820889
2,4,61515.2555771645
1,3,62021.4183038058
2,4,62437.4672351204
2,4,62885.449603468
1,3,63334.893129744
1,3,63716.1414094407
2,4,64097.2558901071
2,4,64590.9396534326
2,4,65102.3549642472
2,4,65686.2394657806
1,3,66195.7402943748
2,4,66726.6950997845
2,4,67469.2736333068
2,4,68174.7857749916
2,4,68764.510783044
2,4,69323.0322410553
2,4,69827.8624398428
1,3,70192.826765111
2,4,70544.3844819894
2,4,70972.3204884753
2,4,71457.1189823628
2,4,71910.5126157497
1,3,72284.3941233193
1,3,72628.6299058528
2,4,72988.1765593997
1,3,73355.8660631723
1,3,73690.5098698992
1,3,73867.3290736323
1,3,73917.2045515792
1,3,74039.0497839062
2,4,74382.6442244872
2,4,74901.0948543987
2,4,75408.5574393456
2,4,75871.3170039204
2,4,76312.2260061752
1,3,76720.5021326793
1,3,76984.5098072042
1,3,77110.1667909188
1,3,77179.5312966654
1,3,77207.8659398402
1,3,77226.7138247958
1,3,77241.6481562535
1,3,77251.4652245937
1,3,77261.8455836519
1,3,77273.3016855394
1,3,77285.4635595276
1,3,77298.5065978698
1,3,77313.0157177455
1,3,77327.0702770049
1,3,77338.3789652088
1,3,77349.2140424052
1,3,77360.430304878
1,3,77371.1236260931
1,3,77381.4904979002
1,3,77391.3190781201
1,3,77400.6548803434
1,3,77410.5356503098
1,3,77420.3281239697
1,3,77429.8985122533
1,3,77440.5099692939
1,3,77451.7484649394
1,3,77463.5453602128
1,3,77475.8888155531
1,3,77486.9369386348
1,3,77499.936338453
1,3,77513.2035068784
1,3,77524.6921380987
1,3,77536.7486158634
1,3,77549.3763202677
1,3,77561.8320207554
1,3,77573.4857995056
1,3,77584.7991581473
1,3,77596.4788585724
1,3,77608.3658511598
1,3,77619.0134888642
1,3,77629.5274015325
1,3,77640.0287875725
1,3,77649.8860057328
1,3,77660.0219586513
1,3,77674.1996773832
1,3,77688.9837364657
1,3,77700.0423340425
1,3,77709.8208302987
1,3,77720.0926868343
1,3,77744.5314531703
1,3,77782.9606553368
1,3,77816.0148359952
1,3,77840.9693190994
1,3,77862.5182599017
1,3,77885.1223539936
1,3,77906.2733021518
1,3,78032.7582919412
2,4,78420.2233679997
2,4,78991.6173821534
2,4,79592.0991663205
2,4,80096.8915551759
2,4,80518.897744007
1,3,80940.7396618647
2,4,81370.5661884044
2,4,81852.1999964338
1,3,82167.8180709661
1,3,82400.3995282772
1,3,82656.4102574025
1,3,82748.7022764531
1,3,82773.7830745818
1,3,82813.2984862425
1,3,82850.7139671657
1,3,82878.5941727705
1,3,82911.6143716997
1,3,82943.8429073216
1,3,83086.9675277892
2,4,83486.9052482317
1,3,83991.6427788796
2,4,84480.0665951091
2,4,84942.1997578111
1,3,85314.1396437508
1,3,85490.1445225248
1,3,85511.1188046476
1,3,85530.7541660422
1,3,85551.2549662413
1,3,85572.104888923
1,3,85609.306587196
1,3,85805.5421644094
1,3,86157.9687830573
2,4,86574.4379141645
2,4,87103.7255504345
2,4,87635.3292039503
2,4,88140.6927680189
1,3,88565.9451289549
1,3,88756.2929875543
1,3,88803.6069516023
1,3,88826.5858318972
1,3,88848.7276103302
1,3,88873.024250149
1,3,88902.2805862972
1,3,88931.810167317
1,3,88961.4064653442
1,3,88987.5598849779
1,3,89010.7657376481
1,3,89032.7185734136
1,3,89055.5214623439
1,3,89078.2882219058
1,3,89099.5138454084
1,3,89119.9314987163
1,3,89135.64128216
1,3,89149.5608773085
1,3,89163.0615296334
1,3,89178.6462252815
1,3,89195.3408325197
1,3,89210.8323857153
1,3,89225.8063198469
1,3,89240.0449032562
1,3,89253.7163106481
1,3,89358.2449021296
1,3,89469.2105065754
1,3,89501.2133117131
2,4,89787.3108656637
2,4,90416.3041082189
2,4,91092.433003391
2,4,91721.4732381273
2,4,92326.1413839039
2,4,92879.3791433942
2,4,93412.3220175299
2,4,94034.5336782118
2,4,94701.7837432552
2,4,95284.2140048526
2,4,95842.0652880778
2,4,96420.8360667444
1,3,96833.4964226367
2,4,97242.0208320403
2,4,97829.2727040193
2,4,98410.6624075652
2,4,98981.1750795857
2,4,99593.8633515507
2,4,100123.787532662
